index,n
8454e21ffffffff-2019-07,2
8454e21ffffffff-2021-04,1
8454e21ffffffff-2021-05,1
8454e25ffffffff-2021-04,1
8458d13ffffffff-2013-01,2
8458db5ffffffff-2023-05,1
846ac0bffffffff-2013-04,1
846ac15ffffffff-2012-06,1
846ac15ffffffff-2018-07,1
846ac15ffffffff-2021-11,1
846ac15ffffffff-2022-02,1
846ac15ffffffff-2022-03,1
846ac15ffffffff-2023-02,4
846ac89ffffffff-2019-05,1
846ac89ffffffff-2021-08,1
846acd1ffffffff-2023-09,1
846ace5ffffffff-2021-10,1
846ad1bffffffff-2013-04,1
846adc1ffffffff-2012-01,4
846adc1ffffffff-2012-05,2
846adc1ffffffff-2012-09,2
846adc1ffffffff-2012-11,2
846adc1ffffffff-2013-01,1
846adc1ffffffff-2013-06,3
846adc1ffffffff-2013-11,1
846adc1ffffffff-2014-02,3
846adc1ffffffff-2014-06,3
846adc1ffffffff-2015-02,2
846adc1ffffffff-2015-04,1
846adc1ffffffff-2015-06,3
846adc1ffffffff-2015-07,3
846adc1ffffffff-2015-12,1
846adc1ffffffff-2016-07,2
846adc1ffffffff-2016-08,2
846adc1ffffffff-2016-11,4
846adc1ffffffff-2017-01,1
846adc1ffffffff-2017-02,2
846adc1ffffffff-2017-05,2
846adc1ffffffff-2017-06,1
846adc1ffffffff-2017-07,5
846adc1ffffffff-2017-08,3
846adc1ffffffff-2017-11,3
846adc1ffffffff-2018-01,2
846adc1ffffffff-2018-05,1
846adc1ffffffff-2018-06,1
846adc1ffffffff-2018-07,11
846adc1ffffffff-2018-08,1
846adc1ffffffff-2018-10,4
846adc1ffffffff-2018-12,7
846adc1ffffffff-2019-02,1
846adc1ffffffff-2019-03,1
846adc1ffffffff-2019-06,4
846adc1ffffffff-2019-07,4
846adc1ffffffff-2019-09,1
846adc1ffffffff-2019-12,4
846adc1ffffffff-2021-01,3
846adc1ffffffff-2021-02,2
846adc1ffffffff-2021-03,2
846adc1ffffffff-2021-05,1
846adc1ffffffff-2021-06,20
846adc1ffffffff-2021-07,16
846adc1ffffffff-2021-08,3
846adc1ffffffff-2021-09,2
846adc1ffffffff-2021-10,5
846adc1ffffffff-2021-11,6
846adc1ffffffff-2021-12,1
846adc1ffffffff-2022-01,3
846adc1ffffffff-2022-02,3
846adc1ffffffff-2022-04,1
846adc1ffffffff-2022-05,3
