index,n
8481819ffffffff-2020-01,1
8481819ffffffff-2020-09,1
8481819ffffffff-2023-01,2
8481819ffffffff-2023-10,1
848181dffffffff-2013-04,1
848181dffffffff-2014-06,1
848181dffffffff-2019-05,3
8481851ffffffff-2012-04,1
8481851ffffffff-2013-10,1
8481851ffffffff-2015-01,1
8481851ffffffff-2016-05,1
8481851ffffffff-2017-03,3
8481851ffffffff-2017-08,2
8481851ffffffff-2019-01,3
8481851ffffffff-2020-10,2
8481851ffffffff-2021-01,2
8481851ffffffff-2021-10,1
8481851ffffffff-2021-12,3
8481851ffffffff-2022-01,4
8481851ffffffff-2022-03,3
8481851ffffffff-2023-02,1
8481851ffffffff-2023-03,1
8481851ffffffff-2023-04,1
8481851ffffffff-2023-11,1
8481853ffffffff-2017-06,2
8481853ffffffff-2018-10,1
8481857ffffffff-2013-10,1
8481857ffffffff-2015-01,2
8481857ffffffff-2015-02,1
8481857ffffffff-2015-04,1
8481857ffffffff-2015-09,2
8481857ffffffff-2015-12,5
8481857ffffffff-2016-01,1
8481857ffffffff-2016-10,3
8481857ffffffff-2016-11,10
8481857ffffffff-2016-12,4
8481857ffffffff-2017-01,4
8481857ffffffff-2017-03,7
8481857ffffffff-2017-05,2
8481857ffffffff-2017-06,4
8481857ffffffff-2017-07,2
8481857ffffffff-2017-09,1
8481857ffffffff-2017-10,1
8481857ffffffff-2017-11,10
8481857ffffffff-2018-05,1
8481857ffffffff-2018-09,39
8481857ffffffff-2018-10,1
8481857ffffffff-2018-11,10
8481857ffffffff-2018-12,3
8481857ffffffff-2019-01,4
8481857ffffffff-2019-03,1
8481857ffffffff-2019-08,1
8481857ffffffff-2019-10,3
8481857ffffffff-2019-11,49
8481857ffffffff-2020-01,2
8481857ffffffff-2020-02,1
8481857ffffffff-2020-03,6
8481857ffffffff-2020-05,1
8481857ffffffff-2020-10,3
8481857ffffffff-2020-11,3
8481857ffffffff-2021-05,2
8481857ffffffff-2021-10,13
8481857ffffffff-2021-11,31
8481857ffffffff-2021-12,42
8481857ffffffff-2022-01,35
8481857ffffffff-2022-03,12
8481857ffffffff-2022-04,1
8481857ffffffff-2022-05,2
8481857ffffffff-2022-08,2
8481857ffffffff-2022-09,9
8481857ffffffff-2022-10,1
8481857ffffffff-2022-11,35
8481857ffffffff-2022-12,3
8481857ffffffff-2023-01,40
8481857ffffffff-2023-02,1
8481857ffffffff-2023-04,6
8481857ffffffff-2023-08,2
8481857ffffffff-2023-09,12
8481857ffffffff-2023-10,1
8481857ffffffff-2023-11,2
848185bffffffff-2017-10,1
848185bffffffff-2018-07,1
848185bffffffff-2018-09,1
848185bffffffff-2020-01,2
848185bffffffff-2020-11,1
848185bffffffff-2022-08,1
848185bffffffff-2022-09,2
848185bffffffff-2023-04,1
848185bffffffff-2023-07,7
