index,n
848b645ffffffff-2017-01,1
848b647ffffffff-2019-09,1
848b647ffffffff-2021-09,2
848b649ffffffff-2017-05,1
848b649ffffffff-2018-05,1
848b649ffffffff-2019-05,2
848b649ffffffff-2021-11,1
848b669ffffffff-2017-05,1
848e45dffffffff-2022-12,1
848e45dffffffff-2023-07,1
848e45dffffffff-2023-09,1
848e45dffffffff-2023-10,1
848e687ffffffff-2016-10,1
848e693ffffffff-2016-02,1
848e6b9ffffffff-2020-10,1
848e6b9ffffffff-2022-08,1
84a8a25ffffffff-2016-10,1
84a8a25ffffffff-2017-10,1
84a9187ffffffff-2023-05,23
84a9187ffffffff-2023-06,13
84a9187ffffffff-2023-08,6
84a9187ffffffff-2023-09,1
84a91b7ffffffff-2016-08,1
84a91b7ffffffff-2018-04,4
84a91b7ffffffff-2018-05,12
84a91b7ffffffff-2018-08,1
84a91b7ffffffff-2018-09,3
84a91b7ffffffff-2019-04,5
84a91b7ffffffff-2021-03,1
84a91b7ffffffff-2021-04,10
84a91b7ffffffff-2021-05,9
84a91b7ffffffff-2021-06,1
84a91b7ffffffff-2022-10,1
84a91b7ffffffff-2023-10,12
84a91b7ffffffff-2023-11,11
84a9213ffffffff-2016-10,1
84a9217ffffffff-2016-06,1
84a9217ffffffff-2016-07,1
84a9217ffffffff-2016-10,2
84b205bffffffff-2014-06,1
84b205bffffffff-2018-05,1
84b205bffffffff-2021-04,1
84b205bffffffff-2022-01,2
84b205bffffffff-2023-03,3
84b205bffffffff-2023-09,1
84b208dffffffff-2016-02,1
84b208dffffffff-2018-01,1
84b20abffffffff-2020-01,1
84b20c3ffffffff-2014-03,1
84b20c7ffffffff-2014-03,2
84b20c7ffffffff-2016-02,1
84b20c7ffffffff-2017-01,1
84b20c7ffffffff-2017-11,1
84b20c7ffffffff-2018-01,1
84b20c7ffffffff-2018-12,1
84b20c7ffffffff-2019-01,5
84b20c7ffffffff-2019-03,2
84b20c7ffffffff-2019-10,3
84b20c7ffffffff-2019-11,1
84b20c7ffffffff-2020-01,3
84b20c7ffffffff-2021-02,4
84b20c7ffffffff-2022-01,1
84b20c7ffffffff-2022-12,1
84b20c7ffffffff-2023-11,1
84b20c9ffffffff-2020-02,1
84b20cbffffffff-2017-02,1
84b20cbffffffff-2017-12,1
84b20cbffffffff-2020-02,1
84b20cbffffffff-2022-03,1
84b20cbffffffff-2022-04,1
84b20cbffffffff-2023-03,1
84b20cdffffffff-2012-01,2
84b20cdffffffff-2014-03,1
84b20cdffffffff-2021-02,2
84b20cdffffffff-2022-03,1
84b20cdffffffff-2022-04,2
84b20cdffffffff-2022-05,1
84b20cdffffffff-2023-04,4
84b21bbffffffff-2015-06,11
84b21bbffffffff-2015-07,3
84b2213ffffffff-2020-01,2
84b2213ffffffff-2020-08,1
84b2213ffffffff-2021-04,3
84b2213ffffffff-2021-10,5
84b2213ffffffff-2022-10,8
84b2213ffffffff-2023-04,7
84b2213ffffffff-2023-10,2
84b2215ffffffff-2014-01,5
84b2215ffffffff-2014-02,1
84b2215ffffffff-2014-03,2
84b2215ffffffff-2014-04,1
84b221bffffffff-2020-01,2
84b221bffffffff-2020-08,1
84b221bffffffff-2021-10,2
84b221bffffffff-2022-10,8
84b221bffffffff-2023-04,1
84b221bffffffff-2023-10,1
84b2259ffffffff-2012-04,1
84b2259ffffffff-2012-07,4
84b2259ffffffff-2013-01,1
84b2259ffffffff-2013-04,1
84b2259ffffffff-2013-08,11
84b2259ffffffff-2013-11,1
84b2259ffffffff-2013-12,3
84b2259ffffffff-2014-01,1
84b2259ffffffff-2014-05,1
84b2259ffffffff-2014-06,4
84b2259ffffffff-2014-07,7
84b2259ffffffff-2014-08,1
84b2259ffffffff-2014-11,2
84b2259ffffffff-2014-12,1
