index,n
848320dffffffff-2022-12,1
8483263ffffffff-2022-11,1
848326bffffffff-2023-11,1
8483305ffffffff-2022-10,1
8483307ffffffff-2016-08,1
848330dffffffff-2022-08,3
848330dffffffff-2022-09,3
848330dffffffff-2023-08,1
848332bffffffff-2022-08,3
8483331ffffffff-2022-06,1
8483335ffffffff-2022-08,3
8483335ffffffff-2022-10,1
8483335ffffffff-2023-08,2
8483335ffffffff-2023-09,1
8483335ffffffff-2023-10,2
8483337ffffffff-2022-10,2
8483337ffffffff-2023-05,1
8483337ffffffff-2023-08,3
848333dffffffff-2016-09,3
848333dffffffff-2017-09,4
848333dffffffff-2018-02,1
848333dffffffff-2018-05,2
848333dffffffff-2022-08,5
848333dffffffff-2022-09,5
848333dffffffff-2023-06,1
848333dffffffff-2023-08,1
848333dffffffff-2023-09,2
848333dffffffff-2023-10,2
8483ac1ffffffff-2022-06,4
8483ac1ffffffff-2023-07,3
8496089ffffffff-2023-10,1
8496095ffffffff-2019-10,2
8496095ffffffff-2023-10,3
8496097ffffffff-2018-08,2
8496097ffffffff-2018-09,1
8496097ffffffff-2020-06,1
8496097ffffffff-2021-07,4
8496097ffffffff-2021-08,2
8496097ffffffff-2021-10,1
8496097ffffffff-2021-11,2
8496097ffffffff-2021-12,9
8496097ffffffff-2022-09,10
8496097ffffffff-2022-10,7
84960bbffffffff-2023-10,2
849649bffffffff-2023-07,2
8496569ffffffff-2012-01,1
8496569ffffffff-2012-07,1
8496569ffffffff-2012-10,1
8496569ffffffff-2021-11,2
8496569ffffffff-2022-09,2
8496569ffffffff-2023-09,2
