index,n
84089a5ffffffff-2022-07,1
8410a2dffffffff-2022-06,1
841845dffffffff-2019-07,1
841845dffffffff-2020-08,2
8418461ffffffff-2012-08,1
8418461ffffffff-2012-09,8
8418461ffffffff-2020-08,1
8418461ffffffff-2021-08,1
8418461ffffffff-2022-09,2
841846bffffffff-2018-08,1
8418495ffffffff-2017-08,2
8418495ffffffff-2017-09,3
8418495ffffffff-2018-08,1
8418495ffffffff-2019-08,6
8418495ffffffff-2019-09,5
8418495ffffffff-2020-08,1
8418495ffffffff-2021-08,3
8418495ffffffff-2022-08,1
84184b1ffffffff-2017-08,2
84184b1ffffffff-2018-08,3
84184b1ffffffff-2019-08,2
84184b1ffffffff-2020-09,1
84184b1ffffffff-2022-08,1
84184b9ffffffff-2017-08,1
84184b9ffffffff-2019-08,1
84184bdffffffff-2017-08,1
8418597ffffffff-2021-08,1
8418597ffffffff-2022-08,1
8418597ffffffff-2022-09,2
8418597ffffffff-2023-08,1
8418597ffffffff-2023-09,1
84185bbffffffff-2022-08,1
8418607ffffffff-2014-08,1
8418607ffffffff-2015-08,1
8418627ffffffff-2022-08,2
841865dffffffff-2019-08,1
84186a1ffffffff-2023-08,1
84186a1ffffffff-2023-09,2
84186b5ffffffff-2019-08,1
84186edffffffff-2018-08,1
841870dffffffff-2022-08,4
841870dffffffff-2023-09,1
84194a5ffffffff-2023-09,27
84194ddffffffff-2020-08,2
84194ebffffffff-2023-08,11
8419591ffffffff-2020-09,1
8419597ffffffff-2022-08,4
841959bffffffff-2017-08,2
8419681ffffffff-2020-08,1
8419681ffffffff-2021-08,1
84196bbffffffff-2020-08,3
841e2d3ffffffff-2018-04,1
841e2d3ffffffff-2018-05,3
841e2d3ffffffff-2020-05,6
841e2d3ffffffff-2020-07,1
841e2d3ffffffff-2021-04,1
841e2d3ffffffff-2021-05,1
841e2d3ffffffff-2021-06,1
841e2d3ffffffff-2021-07,2
841e2d3ffffffff-2022-05,8
841e2d3ffffffff-2022-08,1
841e2d3ffffffff-2023-04,1
841e2d3ffffffff-2023-05,3
841e351ffffffff-2022-04,2
841e63dffffffff-2017-05,1
841e6e9ffffffff-2019-06,1
841e6e9ffffffff-2020-06,3
841e749ffffffff-2021-05,5
841ec45ffffffff-2017-05,1
841f051ffffffff-2018-08,1
841f0ebffffffff-2022-08,1
841f0edffffffff-2023-08,1
841f133ffffffff-2014-09,1
841f14bffffffff-2019-10,1
841f15bffffffff-2017-08,2
