index,n
84209a5ffffffff-2018-04,1
84209a5ffffffff-2019-07,1
84209a5ffffffff-2020-02,1
84209a5ffffffff-2020-04,9
84209a5ffffffff-2020-05,4
84209a5ffffffff-2020-06,2
84209a5ffffffff-2020-12,1
84209a5ffffffff-2021-01,6
84209a5ffffffff-2021-02,4
84209a5ffffffff-2021-03,2
84209a5ffffffff-2021-05,4
84209a5ffffffff-2022-01,4
84209a5ffffffff-2022-02,1
84209a5ffffffff-2022-03,1
84209a5ffffffff-2022-11,4
84209a5ffffffff-2022-12,1
84209a5ffffffff-2023-01,2
84209a5ffffffff-2023-03,2
84209a5ffffffff-2023-04,2
84209a5ffffffff-2023-06,1
84209a5ffffffff-2023-07,1
84209a5ffffffff-2023-10,5
84209a5ffffffff-2023-11,3
84209a7ffffffff-2023-02,2
84209abffffffff-2018-11,6
84209b5ffffffff-2022-11,1
84209b5ffffffff-2023-01,4
84209b5ffffffff-2023-02,1
84209e7ffffffff-2021-03,6
84209e7ffffffff-2021-12,5
84209e7ffffffff-2023-01,1
8430911ffffffff-2013-06,3
8430911ffffffff-2014-02,1
8430911ffffffff-2017-05,1
8430911ffffffff-2018-05,1
8430911ffffffff-2019-11,1
8430911ffffffff-2020-12,1
8430911ffffffff-2021-01,2
8430911ffffffff-2021-02,2
8430911ffffffff-2021-04,2
8430911ffffffff-2021-11,1
8430911ffffffff-2022-02,7
8430911ffffffff-2022-04,2
8430911ffffffff-2022-05,3
8430911ffffffff-2022-06,2
8430911ffffffff-2022-07,1
8430911ffffffff-2022-12,1
8430911ffffffff-2023-01,3
8430911ffffffff-2023-02,3
8430911ffffffff-2023-03,1
8430911ffffffff-2023-05,1
8430911ffffffff-2023-06,1
8430911ffffffff-2023-10,1
843092dffffffff-2020-11,1
84309a5ffffffff-2013-03,1
84309a5ffffffff-2013-06,1
84309a5ffffffff-2016-06,3
84309a5ffffffff-2017-07,2
84309a5ffffffff-2018-03,1
84309a5ffffffff-2018-08,1
84309a5ffffffff-2019-02,1
84309a5ffffffff-2019-05,1
84309a5ffffffff-2019-06,13
84309a5ffffffff-2019-11,1
84309a5ffffffff-2020-04,2
84309a5ffffffff-2020-05,4
84309a5ffffffff-2020-06,1
84309a5ffffffff-2020-07,1
84309a5ffffffff-2020-09,1
84309a5ffffffff-2021-01,1
84309a5ffffffff-2021-02,3
84309a5ffffffff-2021-03,8
84309a5ffffffff-2021-05,3
84309a5ffffffff-2021-06,3
84309a5ffffffff-2021-07,1
84309a5ffffffff-2021-10,4
84309a5ffffffff-2021-11,2
84309a5ffffffff-2021-12,2
84309a5ffffffff-2022-01,5
84309a5ffffffff-2022-02,5
84309a5ffffffff-2022-03,4
84309a5ffffffff-2022-04,12
84309a5ffffffff-2022-05,6
84309a5ffffffff-2022-06,3
84309a5ffffffff-2022-07,3
84309a5ffffffff-2022-08,1
84309a5ffffffff-2023-01,16
84309a5ffffffff-2023-02,19
84309a5ffffffff-2023-03,15
84309a5ffffffff-2023-04,16
84309a5ffffffff-2023-05,12
84309a5ffffffff-2023-06,12
84309a5ffffffff-2023-07,11
84309a5ffffffff-2023-08,1
84309a5ffffffff-2023-09,1
84309a5ffffffff-2023-10,3
84309a5ffffffff-2023-11,2
84309adffffffff-2022-03,1
84309e1ffffffff-2017-02,1
84309e1ffffffff-2019-01,4
84309e1ffffffff-2021-09,2
84309e7ffffffff-2020-08,1
843c021ffffffff-2018-03,1
843c021ffffffff-2020-12,3
843c021ffffffff-2021-11,1
843c021ffffffff-2022-04,3
