index,n
84309a5ffffffff-2022-06,1
84309e1ffffffff-2023-07,1
843c021ffffffff-2022-05,1
843c029ffffffff-2019-06,1
843c029ffffffff-2020-05,2
843c029ffffffff-2020-06,2
843c029ffffffff-2021-04,1
843c029ffffffff-2022-08,1
843c029ffffffff-2023-06,4
843c02dffffffff-2019-06,8
843c02dffffffff-2021-07,5
843c02dffffffff-2021-10,1
843c02dffffffff-2022-05,1
843c02dffffffff-2022-08,2
843c02dffffffff-2023-05,4
843c02dffffffff-2023-07,1
843c02dffffffff-2023-09,1
843c065ffffffff-2022-05,2
843c065ffffffff-2022-06,1
843c067ffffffff-2020-06,1
843c067ffffffff-2021-04,1
843c067ffffffff-2021-05,1
843c067ffffffff-2022-05,2
843c067ffffffff-2023-05,3
843c067ffffffff-2023-06,3
843c06dffffffff-2022-05,1
843c0a3ffffffff-2023-05,1
843c0a5ffffffff-2016-04,1
843c0a5ffffffff-2017-06,1
843c0a5ffffffff-2017-09,2
843c0a5ffffffff-2018-01,2
843c0a5ffffffff-2019-05,2
843c0a5ffffffff-2020-05,1
843c0a5ffffffff-2021-03,1
843c0a5ffffffff-2021-04,6
843c0a5ffffffff-2021-05,5
843c0a5ffffffff-2021-06,2
843c0a5ffffffff-2022-04,20
843c0a5ffffffff-2022-05,5
843c0a5ffffffff-2022-06,3
843c0a5ffffffff-2023-04,1
843c0a5ffffffff-2023-05,13
843c0a5ffffffff-2023-06,6
843c0a5ffffffff-2023-07,3
843c0a7ffffffff-2023-04,2
843c0a7ffffffff-2023-05,2
843c0a9ffffffff-2019-05,1
843c0a9ffffffff-2022-06,1
843c0adffffffff-2021-04,1
843c0adffffffff-2022-04,6
843c0adffffffff-2022-05,5
843c0adffffffff-2022-06,3
843c0adffffffff-2022-10,3
843c0adffffffff-2023-05,1
843c0adffffffff-2023-06,1
843c0b5ffffffff-2018-05,2
843c0b5ffffffff-2022-05,1
843c0b5ffffffff-2023-04,1
843c0b7ffffffff-2016-04,3
843c0b7ffffffff-2018-04,1
843c0b7ffffffff-2019-04,1
843c0b7ffffffff-2020-04,1
843c0b7ffffffff-2020-05,2
843c0b7ffffffff-2021-05,3
843c0b7ffffffff-2021-06,1
843c0b7ffffffff-2022-04,1
843c0b7ffffffff-2022-05,1
843c0b7ffffffff-2022-07,1
843c0b7ffffffff-2022-08,1
843c0b7ffffffff-2023-04,6
843c0b7ffffffff-2023-05,1
843c159ffffffff-2016-05,3
843c159ffffffff-2017-06,1
843c159ffffffff-2018-04,1
843c159ffffffff-2020-05,2
843c159ffffffff-2021-05,1
843c159ffffffff-2021-09,2
843c159ffffffff-2022-04,4
843c159ffffffff-2022-05,6
843c159ffffffff-2022-06,8
843c159ffffffff-2022-07,4
843c159ffffffff-2022-10,1
843c159ffffffff-2023-05,3
843c159ffffffff-2023-06,1
843c15bffffffff-2022-04,1
843c15bffffffff-2022-06,1
843c15bffffffff-2022-07,3
843c15bffffffff-2023-03,1
843c15bffffffff-2023-04,3
843c199ffffffff-2016-05,1
843c199ffffffff-2017-04,1
843c199ffffffff-2018-04,7
843c199ffffffff-2018-05,6
843c199ffffffff-2019-04,15
843c199ffffffff-2019-05,6
843c199ffffffff-2019-09,1
843c199ffffffff-2019-10,1
843c199ffffffff-2020-02,1
843c199ffffffff-2020-09,2
843c199ffffffff-2021-04,7
843c199ffffffff-2021-07,4
843c199ffffffff-2021-08,5
843c199ffffffff-2021-09,2
843c199ffffffff-2022-04,3
843c199ffffffff-2022-05,14
843c199ffffffff-2022-06,15
843c199ffffffff-2022-07,10
843c199ffffffff-2022-08,14
843c199ffffffff-2022-09,6
843c199ffffffff-2023-04,9
843c199ffffffff-2023-05,31
843c199ffffffff-2023-06,15
843c199ffffffff-2023-07,1
843c199ffffffff-2023-08,3
843c199ffffffff-2023-09,7
843c19bffffffff-2022-04,1
843c19bffffffff-2022-05,2
843c19bffffffff-2023-05,1
843c1c3ffffffff-2021-09,2
843c1c3ffffffff-2023-05,1
843c1d1ffffffff-2023-05,2
843c1d3ffffffff-2015-04,1
843c1d3ffffffff-2015-05,4
843c1d3ffffffff-2017-05,2
843c1d3ffffffff-2019-04,2
843c1d3ffffffff-2019-05,1
843c1d3ffffffff-2019-09,1
843c1d3ffffffff-2021-05,2
843c1d3ffffffff-2022-04,7
843c1d3ffffffff-2022-05,7
843c1d3ffffffff-2022-06,1
843c1d3ffffffff-2022-07,1
843c1d3ffffffff-2022-08,1
843c1d3ffffffff-2023-04,1
843c1d3ffffffff-2023-05,3
843c1d3ffffffff-2023-06,1
843c1d3ffffffff-2023-07,1
843c1d3ffffffff-2023-09,2
843c1d7ffffffff-2014-05,1
843c1d7ffffffff-2022-05,3
843c1d7ffffffff-2023-05,1
843c1dbffffffff-2017-05,1
843c1dbffffffff-2021-06,1
843c1dbffffffff-2022-05,3
843c337ffffffff-2023-05,1
843c33bffffffff-2023-08,1
843c369ffffffff-2023-05,2
843c521ffffffff-2014-06,5
843c521ffffffff-2015-05,2
843c521ffffffff-2017-05,1
843c521ffffffff-2018-05,4
843c521ffffffff-2019-04,14
843c521ffffffff-2022-04,6
843c521ffffffff-2022-05,4
843c521ffffffff-2023-04,9
843c521ffffffff-2023-05,2
843c523ffffffff-2023-04,8
