index,n
8494197ffffffff-2016-09,1
8494197ffffffff-2021-09,1
8494197ffffffff-2021-12,1
8494197ffffffff-2022-02,3
849419dffffffff-2020-06,1
8494501ffffffff-2023-08,1
8494511ffffffff-2016-05,1
8494511ffffffff-2017-01,2
8494511ffffffff-2020-01,1
8494511ffffffff-2020-04,3
8494511ffffffff-2020-05,2
8494511ffffffff-2021-01,3
8494511ffffffff-2021-03,3
8494511ffffffff-2021-07,1
8494511ffffffff-2021-10,5
8494511ffffffff-2021-11,2
8494511ffffffff-2022-01,6
8494511ffffffff-2022-02,2
8494511ffffffff-2022-03,1
8494511ffffffff-2022-10,4
8494511ffffffff-2023-01,1
8494511ffffffff-2023-02,1
8494511ffffffff-2023-03,3
8494511ffffffff-2023-04,2
8494511ffffffff-2023-05,2
8494511ffffffff-2023-07,1
8494511ffffffff-2023-10,1
8494513ffffffff-2013-10,1
8494513ffffffff-2014-08,1
8494513ffffffff-2017-08,2
8494513ffffffff-2018-08,1
8494513ffffffff-2019-07,5
8494513ffffffff-2019-08,1
8494513ffffffff-2022-07,1
8494513ffffffff-2023-08,1
8494515ffffffff-2016-10,2
8494515ffffffff-2022-04,2
8494515ffffffff-2022-09,1
8494517ffffffff-2017-07,1
8494517ffffffff-2019-04,1
8494517ffffffff-2020-08,1
8494517ffffffff-2021-09,1
849451bffffffff-2013-10,1
849451bffffffff-2017-07,2
849451bffffffff-2022-10,1
849451bffffffff-2023-08,2
849452bffffffff-2019-12,2
8494531ffffffff-2019-04,1
8494533ffffffff-2019-06,1
8494533ffffffff-2021-01,1
8494535ffffffff-2016-07,1
8494535ffffffff-2021-08,1
8494537ffffffff-2021-01,11
8494537ffffffff-2021-08,1
8494537ffffffff-2022-04,1
8494539ffffffff-2019-11,1
8494539ffffffff-2023-01,2
849453bffffffff-2022-12,1
84945a1ffffffff-2019-07,1
84945a5ffffffff-2016-04,1
84945a5ffffffff-2017-02,1
84945a5ffffffff-2018-11,2
84945a5ffffffff-2020-02,3
84945a5ffffffff-2020-09,4
84945a5ffffffff-2022-01,1
84945a5ffffffff-2022-06,1
84945a5ffffffff-2022-10,1
84945a5ffffffff-2023-01,1
84945a5ffffffff-2023-04,1
84945a5ffffffff-2023-05,1
84945bbffffffff-2019-11,1
84945bbffffffff-2022-07,1
84945c3ffffffff-2018-10,1
84945c5ffffffff-2017-04,1
84945c5ffffffff-2018-09,1
84945c5ffffffff-2018-10,3
84945c5ffffffff-2019-06,1
84945c5ffffffff-2019-08,1
84945c5ffffffff-2019-10,1
84945c5ffffffff-2020-09,3
84945c5ffffffff-2021-06,2
84945c5ffffffff-2022-03,1
84945c5ffffffff-2022-04,1
84945c5ffffffff-2022-06,3
84945c5ffffffff-2022-08,1
84945c5ffffffff-2022-11,1
84945d5ffffffff-2016-05,1
84945e5ffffffff-2014-11,2
84945e5ffffffff-2018-09,1
84945e5ffffffff-2019-10,2
84945e5ffffffff-2019-11,1
84945e5ffffffff-2021-08,1
84945e5ffffffff-2022-07,1
8494803ffffffff-2013-07,1
8494803ffffffff-2013-10,1
8494803ffffffff-2014-03,1
8494803ffffffff-2014-04,1
8494803ffffffff-2014-09,2
8494803ffffffff-2015-02,2
8494803ffffffff-2015-03,2
8494803ffffffff-2015-04,3
8494803ffffffff-2015-05,14
8494803ffffffff-2015-06,3
8494803ffffffff-2015-07,8
8494803ffffffff-2015-08,2
8494803ffffffff-2015-09,1
8494803ffffffff-2015-10,1
8494803ffffffff-2016-02,2
8494803ffffffff-2016-03,2
8494803ffffffff-2016-04,5
8494803ffffffff-2016-05,4
8494803ffffffff-2016-07,1
8494803ffffffff-2016-08,1
8494803ffffffff-2016-09,3
8494803ffffffff-2016-10,5
