index,n
8472901ffffffff-2017-08,1
8472901ffffffff-2019-07,2
8472901ffffffff-2022-12,3
8472905ffffffff-2016-09,1
8472905ffffffff-2016-11,5
8472905ffffffff-2019-07,2
8472905ffffffff-2019-08,2
8472905ffffffff-2023-09,9
847290dffffffff-2017-08,2
847290dffffffff-2017-10,2
847290dffffffff-2017-11,2
847290dffffffff-2018-12,1
847290dffffffff-2019-09,2
8494187ffffffff-2016-05,2
8494187ffffffff-2020-09,2
8494197ffffffff-2016-09,1
8494197ffffffff-2021-09,7
8494197ffffffff-2021-11,4
8494197ffffffff-2021-12,2
8494197ffffffff-2022-01,1
8494197ffffffff-2022-02,1
8494197ffffffff-2022-03,1
84941a1ffffffff-2022-05,1
84941a1ffffffff-2023-08,2
84941b1ffffffff-2015-09,1
84941bdffffffff-2012-08,2
84941bdffffffff-2014-09,1
84941bdffffffff-2015-09,1
84941bdffffffff-2016-07,1
84941bdffffffff-2018-08,1
84941bdffffffff-2019-06,3
84941bdffffffff-2019-07,4
84941bdffffffff-2022-05,2
84941bdffffffff-2023-09,6
849442bffffffff-2022-08,2
849442bffffffff-2023-09,2
8494437ffffffff-2019-06,1
84944a1ffffffff-2023-10,1
84944adffffffff-2019-07,1
84944b7ffffffff-2019-06,1
84944bdffffffff-2023-07,2
8494501ffffffff-2019-11,2
8494501ffffffff-2020-05,1
8494501ffffffff-2020-08,2
8494501ffffffff-2020-12,1
8494501ffffffff-2021-05,6
8494501ffffffff-2021-07,1
8494501ffffffff-2021-12,6
8494503ffffffff-2013-08,1
8494503ffffffff-2014-10,1
8494503ffffffff-2015-08,1
8494503ffffffff-2015-10,6
8494503ffffffff-2016-06,1
8494503ffffffff-2016-10,1
8494503ffffffff-2017-12,1
8494503ffffffff-2018-06,2
8494503ffffffff-2019-02,1
8494503ffffffff-2019-03,1
8494503ffffffff-2019-07,2
8494503ffffffff-2019-08,2
8494503ffffffff-2019-09,1
8494503ffffffff-2019-10,8
8494503ffffffff-2019-11,1
8494503ffffffff-2020-01,1
8494503ffffffff-2020-02,1
8494503ffffffff-2020-03,2
8494503ffffffff-2020-05,4
8494503ffffffff-2020-07,6
