index,n
8441433ffffffff-2012-06,2
8441433ffffffff-2013-12,3
8441433ffffffff-2014-03,2
8441433ffffffff-2015-03,1
8441433ffffffff-2015-04,3
8441433ffffffff-2015-11,1
8441433ffffffff-2016-01,1
8441433ffffffff-2016-02,3
8441433ffffffff-2016-03,1
8441433ffffffff-2016-11,2
8441433ffffffff-2017-01,1
8441433ffffffff-2017-10,6
8441433ffffffff-2017-11,16
8441433ffffffff-2017-12,4
8441433ffffffff-2018-02,2
8441433ffffffff-2018-03,1
8441433ffffffff-2018-11,28
8441433ffffffff-2018-12,1
8441433ffffffff-2019-03,4
8441433ffffffff-2019-08,1
8441433ffffffff-2019-12,1
8441433ffffffff-2020-01,2
8441433ffffffff-2020-02,10
8441433ffffffff-2022-11,16
8441433ffffffff-2022-12,2
8441433ffffffff-2023-02,3
8441433ffffffff-2023-03,15
8441433ffffffff-2023-10,20
8441433ffffffff-2023-11,1
844143bffffffff-2013-07,1
844143bffffffff-2014-03,2
844143bffffffff-2015-01,1
844143bffffffff-2016-03,1
844143bffffffff-2016-11,4
844143bffffffff-2017-07,1
844143bffffffff-2017-12,1
844143bffffffff-2018-02,4
844143bffffffff-2018-03,2
844143bffffffff-2018-09,2
844143bffffffff-2018-10,2
844143bffffffff-2018-11,2
844143bffffffff-2019-01,2
844143bffffffff-2019-02,1
844143bffffffff-2019-03,6
844143bffffffff-2019-10,4
844143bffffffff-2020-02,1
844143bffffffff-2020-03,3
844143bffffffff-2022-10,1
844143bffffffff-2022-11,1
844143bffffffff-2022-12,2
844143bffffffff-2023-01,1
844143bffffffff-2023-02,1
844143bffffffff-2023-03,2
844143bffffffff-2023-04,1
844143bffffffff-2023-09,1
844143bffffffff-2023-10,1
84415ddffffffff-2014-10,1
8441611ffffffff-2020-03,1
8441655ffffffff-2013-05,1
8441655ffffffff-2015-03,1
8441655ffffffff-2018-03,1
84416a1ffffffff-2021-03,5
84416cdffffffff-2017-12,3
84416e1ffffffff-2015-03,1
84416e1ffffffff-2015-04,1
84416e1ffffffff-2015-11,2
84416e1ffffffff-2016-03,1
84416e1ffffffff-2017-01,1
84416e1ffffffff-2017-12,1
84416e1ffffffff-2018-01,4
84416e1ffffffff-2018-04,2
84416e1ffffffff-2020-02,1
84416e1ffffffff-2023-02,1
84416e1ffffffff-2023-03,5
84416e5ffffffff-2015-02,2
84416edffffffff-2019-12,1
84416edffffffff-2020-02,9
84416edffffffff-2023-03,7
8465913ffffffff-2013-02,1
8465915ffffffff-2021-07,5
8465915ffffffff-2022-05,1
8465915ffffffff-2022-06,2
8465915ffffffff-2023-04,1
846591dffffffff-2019-01,3
846591dffffffff-2019-02,1
846591dffffffff-2019-12,5
846591dffffffff-2020-01,2
