index,n
8458d03ffffffff-2021-07,1
8458d23ffffffff-2012-03,4
8458d23ffffffff-2012-04,1
8458d23ffffffff-2013-01,6
8458d23ffffffff-2016-11,1
8458d35ffffffff-2015-03,9
8458d35ffffffff-2016-05,3
8458d35ffffffff-2017-05,1
8458d3dffffffff-2012-04,1
8482125ffffffff-2022-10,1
8482125ffffffff-2022-11,2
8482125ffffffff-2022-12,1
8482125ffffffff-2023-06,1
8482125ffffffff-2023-07,2
8482125ffffffff-2023-08,2
8482801ffffffff-2021-10,1
8482833ffffffff-2018-01,1
8482841ffffffff-2016-08,2
8482845ffffffff-2016-08,1
848284dffffffff-2013-07,1
8482883ffffffff-2020-06,1
848289bffffffff-2018-02,1
84828d1ffffffff-2016-01,16
84828d1ffffffff-2018-01,8
84828d1ffffffff-2019-01,1
84828d1ffffffff-2020-02,5
84828d1ffffffff-2022-08,36
84828d1ffffffff-2023-01,5
84828d1ffffffff-2023-02,10
848290bffffffff-2021-02,1
848290bffffffff-2023-06,1
8482a09ffffffff-2017-08,2
8482a37ffffffff-2021-09,3
8482a83ffffffff-2023-07,1
8482aadffffffff-2021-09,1
8482ab3ffffffff-2013-11,1
8482b0bffffffff-2022-12,1
8482d2bffffffff-2021-12,1
8482d37ffffffff-2013-01,2
8482d4dffffffff-2019-03,1
84838edffffffff-2015-12,1
