index,n
8466181ffffffff-2013-12,1
8466181ffffffff-2016-07,1
8466181ffffffff-2016-08,1
8466181ffffffff-2018-05,4
8466181ffffffff-2018-10,1
8466181ffffffff-2019-05,2
8466185ffffffff-2016-08,1
8466185ffffffff-2018-05,4
8466185ffffffff-2019-05,4
8466185ffffffff-2020-12,1
8466187ffffffff-2013-08,2
8466187ffffffff-2022-07,1
8466187ffffffff-2022-09,1
8466187ffffffff-2023-08,1
8466187ffffffff-2023-10,1
846618dffffffff-2017-05,1
846618dffffffff-2018-04,1
846618dffffffff-2018-05,2
846618dffffffff-2018-10,1
846618dffffffff-2018-12,1
846618dffffffff-2019-05,2
846618dffffffff-2019-09,1
846618dffffffff-2023-02,1
84661b1ffffffff-2012-01,5
84661b1ffffffff-2012-02,3
84661b1ffffffff-2012-04,1
84661b1ffffffff-2012-07,1
84661b1ffffffff-2012-11,2
84661b1ffffffff-2013-01,2
84661b1ffffffff-2013-02,8
84661b1ffffffff-2013-03,1
84661b1ffffffff-2013-07,4
84661b1ffffffff-2013-08,6
84661b1ffffffff-2013-11,1
84661b1ffffffff-2014-01,2
84661b1ffffffff-2014-02,2
84661b1ffffffff-2014-03,3
84661b1ffffffff-2014-05,5
84661b1ffffffff-2014-06,3
84661b1ffffffff-2014-07,5
84661b1ffffffff-2014-08,15
84661b1ffffffff-2015-01,16
84661b1ffffffff-2015-02,22
84661b1ffffffff-2015-03,14
84661b1ffffffff-2015-04,6
84661b1ffffffff-2015-05,4
84661b1ffffffff-2015-06,6
84661b1ffffffff-2015-07,4
84661b1ffffffff-2015-08,13
84661b1ffffffff-2015-10,7
84661b1ffffffff-2015-11,3
84661b1ffffffff-2015-12,4
84661b1ffffffff-2016-01,10
84661b1ffffffff-2016-02,8
84661b1ffffffff-2016-03,19
84661b1ffffffff-2016-04,5
84661b1ffffffff-2016-05,5
84661b1ffffffff-2016-06,6
84661b1ffffffff-2016-07,9
84661b1ffffffff-2016-08,18
84661b1ffffffff-2016-09,5
84661b1ffffffff-2016-10,16
84661b1ffffffff-2016-11,13
84661b1ffffffff-2016-12,15
84661b1ffffffff-2017-01,26
84661b1ffffffff-2017-02,30
84661b1ffffffff-2017-03,40
84661b1ffffffff-2017-04,14
84661b1ffffffff-2017-05,5
84661b1ffffffff-2017-06,8
84661b1ffffffff-2017-07,25
84661b1ffffffff-2017-08,22
84661b1ffffffff-2017-10,6
84661b1ffffffff-2017-11,7
84661b1ffffffff-2017-12,14
84661b1ffffffff-2018-01,23
84661b1ffffffff-2018-02,14
84661b1ffffffff-2018-03,17
84661b1ffffffff-2018-04,19
84661b1ffffffff-2018-05,30
84661b1ffffffff-2018-06,27
84661b1ffffffff-2018-07,21
84661b1ffffffff-2018-08,52
84661b1ffffffff-2018-09,16
84661b1ffffffff-2018-10,4
84661b1ffffffff-2018-11,46
84661b1ffffffff-2018-12,81
84661b1ffffffff-2019-01,23
84661b1ffffffff-2019-02,56
84661b1ffffffff-2019-03,23
84661b1ffffffff-2019-04,7
84661b1ffffffff-2019-05,11
84661b1ffffffff-2019-06,37
84661b1ffffffff-2019-07,34
84661b1ffffffff-2019-08,15
84661b1ffffffff-2019-09,23
84661b1ffffffff-2019-10,24
84661b1ffffffff-2019-11,91
84661b1ffffffff-2019-12,53
84661b1ffffffff-2020-01,76
84661b1ffffffff-2020-02,46
84661b1ffffffff-2020-03,34
84661b1ffffffff-2020-04,2
84661b1ffffffff-2020-05,15
84661b1ffffffff-2020-06,1
84661b1ffffffff-2020-07,5
84661b1ffffffff-2020-08,1
84661b1ffffffff-2020-09,5
84661b1ffffffff-2020-10,25
84661b1ffffffff-2020-11,6
84661b1ffffffff-2020-12,4
84661b1ffffffff-2021-01,17
84661b1ffffffff-2021-02,23
84661b1ffffffff-2021-03,19
84661b1ffffffff-2021-04,14
84661b1ffffffff-2021-05,5
84661b1ffffffff-2021-07,11
84661b1ffffffff-2021-08,38
84661b1ffffffff-2021-09,28
84661b1ffffffff-2021-10,36
84661b1ffffffff-2021-11,61
84661b1ffffffff-2021-12,51
84661b1ffffffff-2022-01,46
84661b1ffffffff-2022-02,111
84661b1ffffffff-2022-03,116
84661b1ffffffff-2022-04,48
84661b1ffffffff-2022-05,51
84661b1ffffffff-2022-06,42
84661b1ffffffff-2022-07,40
84661b1ffffffff-2022-08,134
84661b1ffffffff-2022-09,7
84661b1ffffffff-2022-10,36
84661b1ffffffff-2022-11,66
84661b1ffffffff-2022-12,52
84661b1ffffffff-2023-01,104
84661b1ffffffff-2023-02,66
84661b1ffffffff-2023-03,61
84661b1ffffffff-2023-04,37
84661b1ffffffff-2023-05,49
84661b1ffffffff-2023-06,6
84661b1ffffffff-2023-07,90
84661b1ffffffff-2023-08,61
84661b1ffffffff-2023-09,35
84661b1ffffffff-2023-10,39
84661b1ffffffff-2023-11,70
84661b3ffffffff-2012-02,1
84661b3ffffffff-2013-10,1
84661b3ffffffff-2014-02,8
84661b3ffffffff-2014-04,1
84661b3ffffffff-2014-10,1
84661b3ffffffff-2015-05,2
84661b3ffffffff-2015-07,1
84661b3ffffffff-2015-08,1
84661b3ffffffff-2015-11,1
84661b3ffffffff-2016-01,1
84661b3ffffffff-2016-12,7
84661b3ffffffff-2017-02,2
84661b3ffffffff-2017-03,1
84661b3ffffffff-2017-04,4
84661b3ffffffff-2017-05,3
84661b3ffffffff-2017-07,4
84661b3ffffffff-2017-12,1
84661b3ffffffff-2018-01,4
84661b3ffffffff-2018-02,3
84661b3ffffffff-2018-03,1
84661b3ffffffff-2018-06,5
84661b3ffffffff-2018-07,21
84661b3ffffffff-2018-10,7
84661b3ffffffff-2019-02,9
84661b3ffffffff-2019-03,1
84661b3ffffffff-2019-04,1
84661b3ffffffff-2019-05,2
84661b3ffffffff-2019-06,1
84661b3ffffffff-2019-09,1
84661b3ffffffff-2019-10,1
84661b3ffffffff-2019-11,10
84661b3ffffffff-2019-12,5
84661b3ffffffff-2020-05,2
84661b3ffffffff-2021-09,4
84661b3ffffffff-2021-10,1
84661b3ffffffff-2021-11,1
84661b3ffffffff-2021-12,3
84661b3ffffffff-2022-02,6
84661b3ffffffff-2022-03,1
84661b3ffffffff-2022-11,3
84661b3ffffffff-2023-02,1
84661b3ffffffff-2023-05,2
84661b7ffffffff-2012-10,2
84661b7ffffffff-2016-03,3
84661b7ffffffff-2016-07,3
84661b7ffffffff-2018-05,2
84661b7ffffffff-2018-09,2
84661b7ffffffff-2019-12,1
84661b7ffffffff-2020-12,1
