index,n
8441655ffffffff-2023-03,2
84416a3ffffffff-2020-02,1
8464145ffffffff-2018-02,1
8464149ffffffff-2015-05,1
8464149ffffffff-2018-03,1
8464149ffffffff-2018-04,1
8464149ffffffff-2019-05,1
846414dffffffff-2015-06,2
846414dffffffff-2016-04,1
846414dffffffff-2016-05,1
8464161ffffffff-2018-03,2
8464161ffffffff-2018-05,1
8464161ffffffff-2022-04,2
8464169ffffffff-2019-03,2
8464169ffffffff-2020-02,1
8464169ffffffff-2020-05,1
846416dffffffff-2012-12,3
846416dffffffff-2013-02,2
846416dffffffff-2013-03,1
846416dffffffff-2014-02,4
846416dffffffff-2014-03,3
846416dffffffff-2014-05,2
846416dffffffff-2014-07,1
846416dffffffff-2015-03,1
846416dffffffff-2015-04,1
846416dffffffff-2015-05,2
846416dffffffff-2015-06,1
846416dffffffff-2015-11,3
846416dffffffff-2016-02,1
846416dffffffff-2016-03,1
846416dffffffff-2016-04,2
846416dffffffff-2016-05,3
846416dffffffff-2016-06,1
846416dffffffff-2016-11,1
846416dffffffff-2017-01,1
846416dffffffff-2017-02,2
846416dffffffff-2017-03,14
846416dffffffff-2017-04,5
846416dffffffff-2017-06,3
846416dffffffff-2018-01,6
846416dffffffff-2018-02,15
846416dffffffff-2018-03,7
846416dffffffff-2018-04,2
846416dffffffff-2018-05,2
846416dffffffff-2018-07,1
846416dffffffff-2018-11,1
846416dffffffff-2019-01,2
846416dffffffff-2019-02,5
846416dffffffff-2019-03,5
846416dffffffff-2019-04,1
846416dffffffff-2019-05,5
846416dffffffff-2019-06,1
846416dffffffff-2019-07,2
846416dffffffff-2019-11,2
846416dffffffff-2020-01,8
846416dffffffff-2020-02,13
846416dffffffff-2020-03,5
846416dffffffff-2020-07,2
846416dffffffff-2020-11,1
846416dffffffff-2021-02,2
846416dffffffff-2021-04,2
846416dffffffff-2021-05,6
846416dffffffff-2021-06,15
846416dffffffff-2021-12,1
846416dffffffff-2022-02,5
846416dffffffff-2022-03,3
846416dffffffff-2022-04,27
846416dffffffff-2022-05,23
846416dffffffff-2022-06,1
846416dffffffff-2022-07,4
846416dffffffff-2022-08,1
846416dffffffff-2022-09,12
846416dffffffff-2022-11,4
846416dffffffff-2022-12,1
846416dffffffff-2023-01,9
846416dffffffff-2023-02,19
846416dffffffff-2023-03,32
846416dffffffff-2023-04,31
846416dffffffff-2023-05,18
846416dffffffff-2023-06,10
846416dffffffff-2023-07,10
846416dffffffff-2023-08,1
846416dffffffff-2023-10,2
846416dffffffff-2023-11,3
846422dffffffff-2019-03,1
846422dffffffff-2022-10,1
846430bffffffff-2019-03,1
846430bffffffff-2019-04,1
846430bffffffff-2021-02,2
8464319ffffffff-2012-03,1
8464319ffffffff-2016-02,1
8464319ffffffff-2016-03,1
8464319ffffffff-2016-07,2
8464319ffffffff-2016-11,1
8464319ffffffff-2017-02,6
8464319ffffffff-2017-03,1
8464319ffffffff-2018-03,2
8464319ffffffff-2018-04,1
