index,n
8400289ffffffff-2017-07,1
8400289ffffffff-2018-09,1
8400289ffffffff-2023-07,2
840028bffffffff-2022-08,1
8400291ffffffff-2016-09,1
84002c1ffffffff-2023-07,2
84002c3ffffffff-2017-07,1
84002c3ffffffff-2018-07,1
84002c9ffffffff-2013-07,1
84002c9ffffffff-2014-06,1
84002c9ffffffff-2014-07,1
84002c9ffffffff-2016-06,1
84002c9ffffffff-2016-07,1
84002c9ffffffff-2016-08,5
84002c9ffffffff-2017-07,1
84002c9ffffffff-2018-07,4
84002c9ffffffff-2018-08,3
84002c9ffffffff-2019-06,1
84002c9ffffffff-2023-06,3
84002c9ffffffff-2023-07,2
84002c9ffffffff-2023-08,1
84002d7ffffffff-2013-06,2
84002d7ffffffff-2013-07,2
84002d7ffffffff-2014-07,5
84002d7ffffffff-2015-06,4
84002d7ffffffff-2016-06,3
84002d7ffffffff-2018-06,1
84002d7ffffffff-2022-06,2
84002d7ffffffff-2023-06,1
84002d7ffffffff-2023-07,1
8401207ffffffff-2017-08,1
840130bffffffff-2014-06,1
840130bffffffff-2014-07,1
840130bffffffff-2015-06,6
840130bffffffff-2016-05,2
840130bffffffff-2016-06,4
840130bffffffff-2016-08,1
840130bffffffff-2017-05,1
840130bffffffff-2017-06,10
840130bffffffff-2018-08,1
840130bffffffff-2018-09,1
840130bffffffff-2019-05,4
840130bffffffff-2019-06,2
840130bffffffff-2021-08,1
840130bffffffff-2022-05,5
840130bffffffff-2022-06,21
840130bffffffff-2022-07,18
840130bffffffff-2023-05,14
840130bffffffff-2023-06,26
840130bffffffff-2023-07,14
840130bffffffff-2023-08,3
8401319ffffffff-2014-06,3
840131dffffffff-2016-09,1
8401353ffffffff-2017-06,4
8401355ffffffff-2017-06,4
8401355ffffffff-2019-06,1
840135bffffffff-2022-06,3
8401503ffffffff-2013-07,2
8401503ffffffff-2016-07,2
8401503ffffffff-2017-06,1
8401503ffffffff-2017-07,3
8401503ffffffff-2017-08,1
8401503ffffffff-2018-06,1
8401503ffffffff-2018-07,3
8401503ffffffff-2019-06,5
8401503ffffffff-2019-07,1
8401503ffffffff-2019-08,1
8401503ffffffff-2022-06,3
8401503ffffffff-2022-07,2
8401503ffffffff-2022-08,3
8401503ffffffff-2022-09,1
8401503ffffffff-2023-06,8
8401503ffffffff-2023-07,2
