index,n
848e649ffffffff-2020-03,2
848f4a5ffffffff-2012-06,2
848f4a5ffffffff-2012-08,2
848f4a5ffffffff-2012-11,2
848f4a5ffffffff-2013-03,1
848f4a5ffffffff-2013-06,1
848f4a5ffffffff-2014-05,7
848f4a5ffffffff-2014-10,1
848f4a5ffffffff-2014-11,1
848f4a5ffffffff-2015-01,2
848f4a5ffffffff-2015-06,6
848f4a5ffffffff-2015-07,1
848f4a5ffffffff-2016-05,1
848f4a5ffffffff-2016-06,1
848f4a5ffffffff-2016-07,1
848f4a5ffffffff-2016-08,5
848f4a5ffffffff-2016-09,4
848f4a5ffffffff-2016-10,1
848f4a5ffffffff-2017-05,2
848f4a5ffffffff-2017-07,1
848f4a5ffffffff-2017-10,3
848f4a5ffffffff-2018-05,1
848f4a5ffffffff-2018-06,5
848f4a5ffffffff-2018-07,7
848f4a5ffffffff-2018-08,5
848f4a5ffffffff-2018-10,2
848f4a5ffffffff-2018-11,1
848f4a5ffffffff-2019-01,5
848f4a5ffffffff-2019-04,2
848f4a5ffffffff-2019-05,8
848f4a5ffffffff-2019-06,5
848f4a5ffffffff-2019-07,7
848f4a5ffffffff-2019-08,2
848f4a5ffffffff-2019-10,1
848f4a5ffffffff-2019-11,1
848f4a5ffffffff-2019-12,2
848f4a5ffffffff-2020-08,20
848f4a5ffffffff-2020-11,2
848f4a5ffffffff-2021-05,2
848f4a5ffffffff-2021-06,1
848f4a5ffffffff-2021-08,2
848f4a5ffffffff-2021-09,11
848f4a5ffffffff-2021-10,3
848f4a5ffffffff-2021-11,5
848f4a5ffffffff-2021-12,1
848f4a5ffffffff-2022-01,2
848f4a5ffffffff-2022-02,6
848f4a5ffffffff-2022-03,4
848f4a5ffffffff-2022-07,7
848f4a5ffffffff-2022-08,6
848f4a5ffffffff-2022-10,9
848f4a5ffffffff-2022-12,2
848f4a5ffffffff-2023-02,1
848f4a5ffffffff-2023-04,6
848f4a5ffffffff-2023-05,11
848f4a5ffffffff-2023-06,2
848f4a5ffffffff-2023-07,10
848f4a5ffffffff-2023-08,8
848f4a5ffffffff-2023-09,3
848f4a5ffffffff-2023-10,6
848f4a5ffffffff-2023-11,7
848f599ffffffff-2019-05,3
848f599ffffffff-2019-06,1
848f59bffffffff-2018-11,1
848f5c1ffffffff-2022-11,2
848f5cbffffffff-2019-08,1
848f5d7ffffffff-2023-05,4
848f5ddffffffff-2021-07,9
848f5ddffffffff-2023-11,5
