index,n
845f299ffffffff-2023-01,2
845f299ffffffff-2023-02,9
845f581ffffffff-2015-03,3
845f581ffffffff-2017-03,1
845f581ffffffff-2018-06,1
845f581ffffffff-2019-05,1
845f583ffffffff-2012-01,4
845f583ffffffff-2012-02,6
845f583ffffffff-2012-03,2
845f583ffffffff-2012-04,15
845f583ffffffff-2012-05,7
845f583ffffffff-2012-06,8
845f583ffffffff-2012-07,1
845f583ffffffff-2012-11,3
845f583ffffffff-2012-12,7
845f583ffffffff-2013-01,24
845f583ffffffff-2013-02,10
845f583ffffffff-2013-03,9
845f583ffffffff-2013-04,5
845f583ffffffff-2013-06,12
845f583ffffffff-2013-07,2
845f583ffffffff-2013-09,5
845f583ffffffff-2013-10,3
845f583ffffffff-2013-11,4
845f583ffffffff-2013-12,37
845f583ffffffff-2014-01,28
845f583ffffffff-2014-02,35
845f583ffffffff-2014-03,6
845f583ffffffff-2014-04,5
845f583ffffffff-2014-05,5
845f583ffffffff-2014-06,5
845f583ffffffff-2014-07,4
845f583ffffffff-2014-08,4
845f583ffffffff-2014-09,1
845f583ffffffff-2014-10,5
845f583ffffffff-2014-11,17
845f583ffffffff-2014-12,52
845f583ffffffff-2015-01,42
845f583ffffffff-2015-02,27
845f583ffffffff-2015-03,59
845f583ffffffff-2015-04,36
845f583ffffffff-2015-05,32
845f583ffffffff-2015-06,18
845f583ffffffff-2015-07,46
845f583ffffffff-2015-08,40
845f583ffffffff-2015-09,4
845f583ffffffff-2015-10,45
845f583ffffffff-2015-11,52
845f583ffffffff-2015-12,68
845f583ffffffff-2016-01,45
845f583ffffffff-2016-02,54
845f583ffffffff-2016-03,25
845f583ffffffff-2016-04,50
845f583ffffffff-2016-05,39
845f583ffffffff-2016-06,45
845f583ffffffff-2016-07,18
845f583ffffffff-2016-08,6
845f583ffffffff-2016-09,11
845f583ffffffff-2016-10,34
845f583ffffffff-2016-11,33
845f583ffffffff-2016-12,52
845f583ffffffff-2017-01,79
845f583ffffffff-2017-02,79
845f583ffffffff-2017-03,53
845f583ffffffff-2017-04,32
845f583ffffffff-2017-05,38
845f583ffffffff-2017-06,41
845f583ffffffff-2017-07,22
845f583ffffffff-2017-08,7
845f583ffffffff-2017-09,10
845f583ffffffff-2017-10,70
845f583ffffffff-2017-11,70
845f583ffffffff-2017-12,83
845f583ffffffff-2018-01,131
845f583ffffffff-2018-02,76
845f583ffffffff-2018-03,50
845f583ffffffff-2018-04,49
845f583ffffffff-2018-05,38
845f583ffffffff-2018-06,46
845f583ffffffff-2018-07,24
845f583ffffffff-2018-08,64
845f583ffffffff-2018-09,9
845f583ffffffff-2018-10,18
845f583ffffffff-2018-11,19
845f583ffffffff-2018-12,156
845f583ffffffff-2019-01,73
845f583ffffffff-2019-02,62
845f583ffffffff-2019-03,38
845f583ffffffff-2019-04,40
845f583ffffffff-2019-05,42
845f583ffffffff-2019-06,30
845f583ffffffff-2019-07,13
845f583ffffffff-2019-08,7
845f583ffffffff-2019-09,9
845f583ffffffff-2019-10,25
845f583ffffffff-2019-11,125
845f583ffffffff-2019-12,140
845f583ffffffff-2020-01,69
845f583ffffffff-2020-02,77
845f583ffffffff-2020-03,26
845f583ffffffff-2020-04,4
845f583ffffffff-2020-05,14
845f583ffffffff-2020-06,8
845f583ffffffff-2020-07,1
845f583ffffffff-2020-10,10
845f583ffffffff-2020-11,1
845f583ffffffff-2020-12,1
845f583ffffffff-2021-04,1
845f583ffffffff-2021-05,1
845f583ffffffff-2021-10,20
845f583ffffffff-2021-11,4
845f583ffffffff-2021-12,6
845f583ffffffff-2022-01,7
845f583ffffffff-2022-02,24
845f583ffffffff-2022-03,14
845f583ffffffff-2022-04,8
845f583ffffffff-2022-05,4
845f583ffffffff-2022-08,1
845f583ffffffff-2022-09,1
845f583ffffffff-2022-10,2
845f583ffffffff-2022-12,28
845f583ffffffff-2023-01,19
845f583ffffffff-2023-02,2
845f583ffffffff-2023-03,12
845f583ffffffff-2023-04,20
845f583ffffffff-2023-05,11
845f583ffffffff-2023-06,13
845f583ffffffff-2023-07,20
845f583ffffffff-2023-08,14
845f583ffffffff-2023-09,18
845f583ffffffff-2023-10,15
845f583ffffffff-2023-11,138
845f587ffffffff-2018-09,1
845f587ffffffff-2023-05,2
845f587ffffffff-2023-06,5
845f587ffffffff-2023-07,1
845f587ffffffff-2023-09,2
845f587ffffffff-2023-10,1
845f587ffffffff-2023-11,1
845f595ffffffff-2012-02,1
845f595ffffffff-2012-10,1
845f595ffffffff-2013-04,1
845f595ffffffff-2014-01,1
845f595ffffffff-2014-03,2
845f595ffffffff-2014-05,1
845f595ffffffff-2015-11,1
845f595ffffffff-2016-01,2
845f595ffffffff-2016-02,1
845f595ffffffff-2016-03,1
845f595ffffffff-2016-11,1
845f595ffffffff-2017-01,1
845f595ffffffff-2017-04,5
845f595ffffffff-2018-01,1
845f595ffffffff-2018-03,1
845f595ffffffff-2018-04,1
845f595ffffffff-2018-05,2
845f595ffffffff-2019-04,1
845f595ffffffff-2019-09,1
845f595ffffffff-2022-05,1
845f5b9ffffffff-2012-06,1
845f5b9ffffffff-2013-03,3
845f5b9ffffffff-2013-08,1
845f5b9ffffffff-2013-11,3
845f5b9ffffffff-2013-12,4
845f5b9ffffffff-2014-02,2
845f5b9ffffffff-2014-04,1
845f5b9ffffffff-2014-05,2
845f5b9ffffffff-2014-08,1
845f5b9ffffffff-2015-05,1
845f5b9ffffffff-2015-06,1
845f5b9ffffffff-2015-08,1
845f5b9ffffffff-2016-01,3
845f5b9ffffffff-2016-02,3
845f5b9ffffffff-2017-02,1
845f5b9ffffffff-2017-03,3
845f5b9ffffffff-2017-04,2
845f5b9ffffffff-2017-05,1
845f5b9ffffffff-2017-11,1
845f5b9ffffffff-2017-12,1
845f5b9ffffffff-2018-02,2
845f5b9ffffffff-2018-03,4
845f5b9ffffffff-2018-06,1
845f5b9ffffffff-2018-10,1
845f5b9ffffffff-2019-02,2
845f5b9ffffffff-2019-03,1
845f5b9ffffffff-2019-05,3
845f5b9ffffffff-2019-06,4
845f5b9ffffffff-2019-07,3
845f5b9ffffffff-2020-06,2
845f5b9ffffffff-2020-07,7
845f5b9ffffffff-2020-11,2
845f5b9ffffffff-2021-01,1
845f5b9ffffffff-2021-02,3
845f5b9ffffffff-2021-03,2
845f5b9ffffffff-2021-04,2
845f5b9ffffffff-2021-05,2
845f5b9ffffffff-2021-07,2
845f5b9ffffffff-2021-08,2
845f5b9ffffffff-2021-12,3
845f5b9ffffffff-2022-02,2
845f5b9ffffffff-2022-04,6
845f5b9ffffffff-2023-05,2
845f5b9ffffffff-2023-08,4
