index,n
8466115ffffffff-2016-09,2
8466115ffffffff-2022-04,1
8466115ffffffff-2022-05,2
8466129ffffffff-2014-08,3
8466129ffffffff-2014-12,1
8466129ffffffff-2016-05,2
8466129ffffffff-2016-11,1
8466129ffffffff-2017-08,1
8466129ffffffff-2018-01,6
8466129ffffffff-2018-10,1
8466129ffffffff-2019-01,2
8466129ffffffff-2019-05,8
8466129ffffffff-2020-05,2
8466129ffffffff-2020-07,1
8466129ffffffff-2021-01,1
8466129ffffffff-2021-05,1
8466129ffffffff-2022-01,1
8466129ffffffff-2022-03,5
8466129ffffffff-2023-02,1
8466129ffffffff-2023-07,1
8466129ffffffff-2023-09,1
8466131ffffffff-2019-05,9
8466131ffffffff-2019-12,4
8466139ffffffff-2014-07,2
8466139ffffffff-2015-04,1
8466139ffffffff-2015-05,1
8466139ffffffff-2015-10,5
8466139ffffffff-2017-09,3
8466139ffffffff-2019-08,2
8466139ffffffff-2020-03,1
8466139ffffffff-2021-07,2
8466139ffffffff-2021-10,3
8466139ffffffff-2021-11,1
8466139ffffffff-2022-01,1
8466139ffffffff-2022-02,4
8466139ffffffff-2022-03,1
8466139ffffffff-2023-06,1
