index,n
848b211ffffffff-2017-09,1
848b211ffffffff-2018-03,1
848b211ffffffff-2019-09,3
848b211ffffffff-2022-07,1
848b211ffffffff-2022-12,2
848b211ffffffff-2023-11,1
848b213ffffffff-2012-10,2
848b213ffffffff-2019-10,1
848b213ffffffff-2022-09,2
848b21bffffffff-2016-08,1
848b21bffffffff-2019-03,3
848b21bffffffff-2019-05,10
848b21bffffffff-2023-02,2
848b21bffffffff-2023-11,3
848b243ffffffff-2019-08,1
848b243ffffffff-2020-01,1
848b243ffffffff-2022-12,1
848b24bffffffff-2020-01,1
848b24bffffffff-2020-03,2
848b259ffffffff-2015-05,2
848b259ffffffff-2016-01,1
848b259ffffffff-2017-02,2
848b259ffffffff-2017-05,1
848b259ffffffff-2017-08,2
848b259ffffffff-2017-09,1
848b259ffffffff-2018-04,7
848b259ffffffff-2018-05,1
848b259ffffffff-2018-10,1
848b259ffffffff-2019-01,1
848b259ffffffff-2019-06,6
848b259ffffffff-2019-10,5
848b259ffffffff-2019-11,1
848b259ffffffff-2019-12,1
848b259ffffffff-2020-09,1
848b259ffffffff-2020-10,2
848b259ffffffff-2022-07,1
848b259ffffffff-2022-10,4
848b259ffffffff-2022-12,1
848b259ffffffff-2023-04,2
848b259ffffffff-2023-08,1
848b259ffffffff-2023-09,2
848b25dffffffff-2019-05,2
848b25dffffffff-2019-10,2
848b2c1ffffffff-2021-05,1
848b2c9ffffffff-2012-04,4
848b2c9ffffffff-2012-08,1
848b2c9ffffffff-2013-03,2
848b2c9ffffffff-2013-07,2
848b2c9ffffffff-2013-08,2
848b2c9ffffffff-2014-04,1
848b2c9ffffffff-2014-07,6
848b2c9ffffffff-2015-04,1
848b2c9ffffffff-2015-07,2
848b2c9ffffffff-2015-09,7
848b2c9ffffffff-2015-11,1
848b2c9ffffffff-2015-12,1
848b2c9ffffffff-2016-01,2
848b2c9ffffffff-2016-02,2
848b2c9ffffffff-2016-05,1
848b2c9ffffffff-2016-06,1
848b2c9ffffffff-2016-07,2
848b2c9ffffffff-2016-11,2
848b2c9ffffffff-2017-02,1
848b2c9ffffffff-2017-10,3
848b2c9ffffffff-2017-12,1
848b2c9ffffffff-2018-01,1
848b2c9ffffffff-2018-05,4
848b2c9ffffffff-2018-06,1
848b2c9ffffffff-2018-09,6
848b2c9ffffffff-2018-10,3
848b2c9ffffffff-2018-11,1
848b2c9ffffffff-2019-08,3
848b2c9ffffffff-2019-09,4
848b2c9ffffffff-2019-10,5
848b2c9ffffffff-2020-02,6
848b2c9ffffffff-2020-05,1
848b2c9ffffffff-2020-09,2
848b2c9ffffffff-2020-10,4
848b2c9ffffffff-2021-03,2
848b2c9ffffffff-2021-05,3
848b2c9ffffffff-2021-10,5
848b2c9ffffffff-2022-02,1
848b2c9ffffffff-2022-04,1
848b2c9ffffffff-2022-05,11
848b2c9ffffffff-2022-07,8
848b2c9ffffffff-2022-08,13
848b2c9ffffffff-2022-09,1
848b2c9ffffffff-2022-10,6
848b2c9ffffffff-2022-11,2
848b2c9ffffffff-2022-12,3
848b2c9ffffffff-2023-01,4
848b2c9ffffffff-2023-02,1
848b2c9ffffffff-2023-03,3
848b2c9ffffffff-2023-05,2
848b2c9ffffffff-2023-07,4
848b2c9ffffffff-2023-09,32
848b2c9ffffffff-2023-10,5
848b2c9ffffffff-2023-11,9
848b2cbffffffff-2023-11,1
848b2cdffffffff-2017-05,5
848b2cdffffffff-2018-10,3
848b2cdffffffff-2019-05,2
848b2cdffffffff-2020-02,9
848b2cdffffffff-2021-02,4
848b2cdffffffff-2021-07,2
848b2cdffffffff-2021-10,4
848b2cdffffffff-2022-04,4
848b2cdffffffff-2022-05,2
848b2cdffffffff-2022-10,1
848b2cdffffffff-2023-05,2
848b2cdffffffff-2023-08,2
848b2cdffffffff-2023-09,3
848b2cdffffffff-2023-10,1
848b2d9ffffffff-2023-01,2
848b659ffffffff-2016-09,1
848e691ffffffff-2021-05,1
848e6a1ffffffff-2023-10,1
84b201bffffffff-2019-03,1
84b2057ffffffff-2016-11,1
84b2089ffffffff-2019-03,2
84b20a5ffffffff-2015-11,2
84b20a5ffffffff-2015-12,2
84b20a5ffffffff-2016-01,2
84b20a5ffffffff-2018-01,4
84b20a5ffffffff-2019-01,3
84b20a7ffffffff-2019-12,4
84b20a7ffffffff-2021-02,2
84b20a9ffffffff-2019-12,1
