index,n
8472ae3ffffffff-2013-11,1
8472ae3ffffffff-2015-08,2
8472ae3ffffffff-2016-10,1
8472ae3ffffffff-2017-09,2
8472ae3ffffffff-2017-11,2
8472ae3ffffffff-2018-08,3
8472ae3ffffffff-2018-09,3
8472ae3ffffffff-2019-06,1
8472ae3ffffffff-2019-08,5
8472ae3ffffffff-2019-10,2
8472ae3ffffffff-2022-06,3
8472ae3ffffffff-2022-07,10
8472ae3ffffffff-2022-09,2
8472ae3ffffffff-2022-10,5
8472ae3ffffffff-2022-11,2
8472ae3ffffffff-2022-12,6
8472ae3ffffffff-2023-04,1
8472ae3ffffffff-2023-06,11
8472ae3ffffffff-2023-07,7
8472ae3ffffffff-2023-08,11
8472ae3ffffffff-2023-09,6
8472ae3ffffffff-2023-10,5
8472ae3ffffffff-2023-11,1
8472ae7ffffffff-2023-07,6
