index,n
8445305ffffffff-2014-01,1
8445305ffffffff-2019-03,4
844530dffffffff-2021-07,1
8445319ffffffff-2017-04,1
8445319ffffffff-2017-10,1
8445319ffffffff-2018-07,6
8445319ffffffff-2019-03,1
844532bffffffff-2014-10,3
844532bffffffff-2016-09,9
844532bffffffff-2018-05,3
844532bffffffff-2021-03,8
844532bffffffff-2021-04,6
844532bffffffff-2022-02,9
8445345ffffffff-2013-01,4
8445345ffffffff-2015-12,1
8445363ffffffff-2012-06,3
8445363ffffffff-2017-02,7
8445363ffffffff-2017-03,4
8445363ffffffff-2017-04,2
8445363ffffffff-2020-02,2
8445365ffffffff-2016-03,31
8445365ffffffff-2017-01,8
8445365ffffffff-2017-05,14
8445365ffffffff-2023-09,4
8445367ffffffff-2017-05,3
8445367ffffffff-2020-02,7
844536bffffffff-2012-06,1
8466031ffffffff-2023-10,1
8466033ffffffff-2022-08,1
8466035ffffffff-2022-12,1
8466055ffffffff-2022-12,1
8466085ffffffff-2020-01,2
8466089ffffffff-2022-10,1
846608dffffffff-2020-01,1
846608dffffffff-2020-05,2
846608dffffffff-2020-06,2
846608dffffffff-2020-10,2
846608dffffffff-2021-01,2
846608dffffffff-2022-09,2
846608dffffffff-2022-10,2
846608dffffffff-2022-12,3
846608dffffffff-2023-01,2
846608dffffffff-2023-02,1
846608dffffffff-2023-03,1
846608dffffffff-2023-04,3
846608dffffffff-2023-10,6
84660a1ffffffff-2018-07,2
84660a7ffffffff-2014-02,1
84660a7ffffffff-2014-05,1
84660a7ffffffff-2015-01,1
84660a7ffffffff-2015-03,1
84660a7ffffffff-2016-01,3
84660a7ffffffff-2016-03,9
84660a7ffffffff-2017-10,1
84660a7ffffffff-2018-11,2
84660a7ffffffff-2019-01,3
84660a7ffffffff-2019-02,1
84660a7ffffffff-2019-03,1
84660a7ffffffff-2019-04,2
84660a7ffffffff-2019-05,6
84660a7ffffffff-2019-09,4
84660a7ffffffff-2019-10,3
84660a7ffffffff-2019-11,1
84660a7ffffffff-2019-12,3
84660a7ffffffff-2020-02,2
84660a7ffffffff-2020-05,12
84660a7ffffffff-2020-06,2
84660a7ffffffff-2020-07,2
84660a7ffffffff-2020-08,4
84660a7ffffffff-2020-09,2
84660a7ffffffff-2020-10,8
84660a7ffffffff-2020-11,4
84660a7ffffffff-2020-12,2
84660a7ffffffff-2021-01,8
84660a7ffffffff-2021-04,2
84660a7ffffffff-2021-05,2
84660a7ffffffff-2021-09,2
84660a7ffffffff-2021-11,10
84660a7ffffffff-2021-12,4
84660a7ffffffff-2022-01,1
84660a7ffffffff-2022-03,1
84660a7ffffffff-2022-04,13
84660a7ffffffff-2022-05,3
84660a7ffffffff-2022-08,2
84660a7ffffffff-2022-09,4
