index,n
845f015ffffffff-2022-10,1
845f01bffffffff-2023-01,1
845f083ffffffff-2012-01,3
845f083ffffffff-2012-10,1
845f083ffffffff-2014-01,2
845f083ffffffff-2014-02,1
845f083ffffffff-2014-05,1
845f083ffffffff-2014-10,1
845f083ffffffff-2014-11,2
845f083ffffffff-2015-01,4
845f083ffffffff-2015-03,1
845f083ffffffff-2016-01,2
845f083ffffffff-2016-02,1
845f083ffffffff-2016-08,2
845f083ffffffff-2016-11,1
845f083ffffffff-2017-01,3
845f083ffffffff-2017-02,4
845f083ffffffff-2017-04,2
845f083ffffffff-2018-01,3
845f083ffffffff-2018-08,1
845f083ffffffff-2019-01,4
845f083ffffffff-2019-02,1
845f083ffffffff-2019-05,1
845f083ffffffff-2019-09,1
845f083ffffffff-2020-02,1
845f083ffffffff-2021-11,1
845f083ffffffff-2023-10,1
845f085ffffffff-2017-08,1
845f085ffffffff-2020-10,1
845f085ffffffff-2022-12,1
845f085ffffffff-2023-02,2
845f087ffffffff-2014-07,1
845f087ffffffff-2015-10,1
845f087ffffffff-2017-04,1
845f095ffffffff-2012-10,1
845f095ffffffff-2014-01,2
845f095ffffffff-2014-04,4
845f095ffffffff-2014-06,1
845f095ffffffff-2014-10,3
845f095ffffffff-2014-11,1
845f095ffffffff-2014-12,6
845f095ffffffff-2015-03,2
845f095ffffffff-2015-11,2
845f095ffffffff-2015-12,3
845f095ffffffff-2016-04,1
845f095ffffffff-2016-05,1
845f095ffffffff-2016-08,1
845f095ffffffff-2016-11,2
845f095ffffffff-2017-01,6
845f095ffffffff-2017-02,2
845f095ffffffff-2017-03,1
845f095ffffffff-2017-04,2
845f095ffffffff-2017-07,2
845f095ffffffff-2017-10,7
845f095ffffffff-2017-12,1
845f095ffffffff-2018-01,6
845f095ffffffff-2018-02,2
845f095ffffffff-2018-03,4
845f095ffffffff-2018-06,12
845f095ffffffff-2018-07,1
845f095ffffffff-2018-08,1
845f095ffffffff-2018-09,1
845f095ffffffff-2018-12,1
845f095ffffffff-2019-01,4
845f095ffffffff-2019-03,1
845f095ffffffff-2019-04,1
845f095ffffffff-2019-11,1
845f095ffffffff-2019-12,5
845f095ffffffff-2020-01,4
845f095ffffffff-2020-05,1
845f095ffffffff-2020-10,4
845f095ffffffff-2020-11,4
845f095ffffffff-2021-03,2
845f095ffffffff-2021-05,5
845f095ffffffff-2021-06,3
845f095ffffffff-2021-09,2
845f095ffffffff-2021-11,9
845f095ffffffff-2022-01,4
845f095ffffffff-2022-02,9
845f095ffffffff-2022-03,4
845f095ffffffff-2022-10,5
845f095ffffffff-2022-12,5
845f095ffffffff-2023-01,1
845f095ffffffff-2023-02,3
845f095ffffffff-2023-03,2
845f095ffffffff-2023-08,2
845f095ffffffff-2023-09,1
845f097ffffffff-2018-10,1
845f0b9ffffffff-2012-01,3
845f0b9ffffffff-2014-01,1
845f0b9ffffffff-2014-12,1
845f0b9ffffffff-2015-10,1
845f0b9ffffffff-2015-11,3
845f0b9ffffffff-2015-12,2
845f0b9ffffffff-2017-04,2
845f0e3ffffffff-2016-03,2
845f0e3ffffffff-2017-04,1
845f0e3ffffffff-2017-12,4
845f0e3ffffffff-2019-02,1
845f0e3ffffffff-2023-03,1
845f0e3ffffffff-2023-07,1
845f121ffffffff-2023-06,1
845f12bffffffff-2017-06,1
845f12bffffffff-2017-11,1
845f12bffffffff-2017-12,1
845f12bffffffff-2018-01,1
845f12bffffffff-2018-02,1
845f12bffffffff-2018-12,1
845f12bffffffff-2019-02,2
845f12bffffffff-2019-03,5
845f12bffffffff-2019-05,1
845f12bffffffff-2019-06,1
845f12bffffffff-2019-08,1
845f12bffffffff-2019-12,1
845f12bffffffff-2020-01,5
845f12bffffffff-2020-02,1
845f12bffffffff-2020-03,1
845f12bffffffff-2020-10,1
845f12bffffffff-2020-12,1
845f12bffffffff-2021-01,5
845f12bffffffff-2021-02,1
845f12bffffffff-2021-05,3
845f12bffffffff-2021-07,1
845f12bffffffff-2021-09,1
845f12bffffffff-2021-10,3
845f12bffffffff-2021-11,21
845f12bffffffff-2021-12,3
845f12bffffffff-2022-01,4
845f12bffffffff-2022-06,2
845f12bffffffff-2022-07,6
845f12bffffffff-2022-09,2
845f12bffffffff-2022-10,1
845f12bffffffff-2022-12,2
845f12bffffffff-2023-01,2
845f12bffffffff-2023-03,3
845f12bffffffff-2023-04,1
845f12bffffffff-2023-05,2
845f12bffffffff-2023-07,5
845f12bffffffff-2023-08,3
845f12bffffffff-2023-09,1
845f12bffffffff-2023-10,3
845f12bffffffff-2023-11,1
845f131ffffffff-2018-02,1
845f13bffffffff-2018-12,1
845f13dffffffff-2016-11,1
845f13dffffffff-2016-12,2
845f13dffffffff-2017-01,2
845f13dffffffff-2017-02,2
845f13dffffffff-2017-07,1
845f13dffffffff-2017-09,1
845f13dffffffff-2017-10,1
845f13dffffffff-2017-11,2
845f13dffffffff-2017-12,1
845f13dffffffff-2018-01,2
845f13dffffffff-2018-02,1
845f13dffffffff-2018-03,2
845f13dffffffff-2018-04,1
845f13dffffffff-2018-05,3
845f13dffffffff-2018-06,2
845f13dffffffff-2018-07,2
845f13dffffffff-2018-09,1
845f13dffffffff-2019-05,2
845f13dffffffff-2019-06,1
845f13dffffffff-2019-11,1
845f13dffffffff-2019-12,2
845f13dffffffff-2020-01,2
845f13dffffffff-2020-02,1
845f13dffffffff-2020-03,3
845f13dffffffff-2020-04,6
845f13dffffffff-2020-05,1
845f13dffffffff-2020-06,2
845f13dffffffff-2020-07,1
845f13dffffffff-2020-08,1
845f13dffffffff-2020-09,1
845f13dffffffff-2020-10,1
845f13dffffffff-2021-01,1
845f13dffffffff-2021-02,1
845f13dffffffff-2021-03,1
845f13dffffffff-2021-05,1
845f13dffffffff-2021-06,1
845f13dffffffff-2021-07,1
845f13dffffffff-2021-10,2
845f13dffffffff-2021-11,8
845f13dffffffff-2021-12,3
845f13dffffffff-2022-02,1
845f13dffffffff-2022-03,2
845f13dffffffff-2022-04,1
845f13dffffffff-2022-05,1
845f13dffffffff-2022-07,1
845f13dffffffff-2023-03,1
845f13dffffffff-2023-05,1
845f13dffffffff-2023-06,2
845f13dffffffff-2023-08,1
845f13dffffffff-2023-09,1
845f13dffffffff-2023-11,2
845f1c3ffffffff-2012-04,15
845f1c3ffffffff-2013-02,1
845f1c3ffffffff-2013-04,21
845f1c3ffffffff-2014-10,1
845f1c3ffffffff-2015-03,2
845f1c3ffffffff-2015-11,1
845f1c3ffffffff-2016-03,1
845f1c3ffffffff-2016-11,2
845f1c3ffffffff-2016-12,2
845f1c3ffffffff-2017-02,2
845f1c3ffffffff-2017-03,2
845f1c3ffffffff-2017-07,6
845f1c3ffffffff-2018-01,5
845f1c3ffffffff-2019-10,1
845f1c3ffffffff-2019-11,1
845f1c3ffffffff-2020-01,4
845f1c3ffffffff-2020-02,1
845f1c3ffffffff-2020-03,1
845f1c3ffffffff-2021-01,1
845f1c3ffffffff-2021-03,2
845f1c3ffffffff-2022-02,2
845f1c3ffffffff-2022-12,2
845f1c3ffffffff-2023-01,8
845f1c3ffffffff-2023-02,3
845f1c3ffffffff-2023-03,3
845f1c3ffffffff-2023-05,1
845f1c3ffffffff-2023-09,4
845f1c3ffffffff-2023-11,1
845f1cbffffffff-2019-06,1
845f1dbffffffff-2021-02,1
845f1e9ffffffff-2014-12,4
845f1e9ffffffff-2016-10,1
845f1e9ffffffff-2017-11,2
845f1e9ffffffff-2017-12,2
845f1e9ffffffff-2021-11,5
