index,n
8472c91ffffffff-2013-12,2
8472c91ffffffff-2014-10,1
8472c91ffffffff-2015-10,1
8472c91ffffffff-2016-07,2
8472c91ffffffff-2016-10,2
8472c91ffffffff-2017-10,1
8472c91ffffffff-2023-10,1
8472c9dffffffff-2023-10,3
847791bffffffff-2023-10,2
847791dffffffff-2018-02,1
8477959ffffffff-2015-10,1
847795bffffffff-2013-01,8
8477981ffffffff-2012-12,2
8477981ffffffff-2013-09,2
8477981ffffffff-2016-07,3
8477981ffffffff-2018-07,1
8477981ffffffff-2022-08,3
84779a3ffffffff-2017-05,1
84779b5ffffffff-2017-06,1
84779b5ffffffff-2017-08,1
84779c5ffffffff-2015-10,1
849c907ffffffff-2017-09,1
849c907ffffffff-2022-08,3
849c907ffffffff-2023-08,1
849c961ffffffff-2018-05,1
849c961ffffffff-2023-10,11
849c96bffffffff-2022-07,1
849c96bffffffff-2023-10,2
