index,n
8441415ffffffff-2022-07,2
8441433ffffffff-2012-02,1
8441433ffffffff-2012-03,2
8441433ffffffff-2012-06,3
8441433ffffffff-2015-04,2
8441433ffffffff-2016-02,4
8441433ffffffff-2016-03,1
8441433ffffffff-2016-11,4
8441433ffffffff-2017-01,1
8441433ffffffff-2017-04,1
8441433ffffffff-2017-10,4
8441433ffffffff-2017-11,10
8441433ffffffff-2017-12,6
8441433ffffffff-2018-02,3
8441433ffffffff-2018-03,1
8441433ffffffff-2018-11,14
8441433ffffffff-2019-03,1
8441433ffffffff-2019-08,1
8441433ffffffff-2020-01,1
8441433ffffffff-2020-02,2
8441433ffffffff-2020-03,3
8441433ffffffff-2022-11,4
8441433ffffffff-2022-12,2
8441433ffffffff-2023-01,1
8441433ffffffff-2023-03,13
8441433ffffffff-2023-10,7
844143bffffffff-2013-03,2
844143bffffffff-2013-07,1
844143bffffffff-2014-03,1
844143bffffffff-2016-07,1
844143bffffffff-2016-11,8
844143bffffffff-2018-02,5
844143bffffffff-2018-03,2
844143bffffffff-2018-10,2
844143bffffffff-2018-11,2
844143bffffffff-2019-01,1
844143bffffffff-2019-03,3
844143bffffffff-2019-10,4
844143bffffffff-2020-01,1
844143bffffffff-2020-02,2
844143bffffffff-2022-12,6
844143bffffffff-2023-02,2
844143bffffffff-2023-06,2
844143bffffffff-2023-11,3
8441585ffffffff-2022-12,2
84415c3ffffffff-2023-10,1
84415ddffffffff-2014-10,1
8441611ffffffff-2020-03,1
8441617ffffffff-2019-03,1
8441643ffffffff-2020-02,1
8441655ffffffff-2014-03,2
8441655ffffffff-2015-03,1
8441655ffffffff-2015-07,2
8441655ffffffff-2016-04,1
8441655ffffffff-2017-01,1
8441655ffffffff-2017-02,1
8441655ffffffff-2017-12,1
8441655ffffffff-2018-02,2
8441655ffffffff-2018-03,1
8441655ffffffff-2018-04,3
8441655ffffffff-2018-06,2
8441655ffffffff-2019-01,2
8441655ffffffff-2019-12,1
8441655ffffffff-2020-02,4
8441655ffffffff-2022-06,1
8441655ffffffff-2022-07,2
8441655ffffffff-2022-11,5
8441655ffffffff-2023-02,7
8441655ffffffff-2023-03,4
8441655ffffffff-2023-05,2
8441655ffffffff-2023-07,1
8441655ffffffff-2023-08,3
8441655ffffffff-2023-09,1
844165bffffffff-2021-06,1
84416a3ffffffff-2016-02,1
84416a3ffffffff-2022-12,1
84416a3ffffffff-2023-06,2
84416abffffffff-2022-11,1
84416e1ffffffff-2014-03,1
84416e1ffffffff-2015-01,1
84416e1ffffffff-2015-03,1
84416e1ffffffff-2015-10,1
84416e1ffffffff-2016-02,1
84416e1ffffffff-2016-03,1
84416e1ffffffff-2017-03,1
84416e1ffffffff-2018-02,1
84416e1ffffffff-2018-12,4
84416e1ffffffff-2019-01,2
84416e1ffffffff-2020-01,1
84416e1ffffffff-2020-02,1
84416e1ffffffff-2020-03,2
84416e1ffffffff-2020-07,1
84416e1ffffffff-2023-02,1
84416e1ffffffff-2023-11,5
84416e5ffffffff-2015-02,3
84416e5ffffffff-2017-03,1
84416e5ffffffff-2018-02,4
84416e5ffffffff-2019-01,2
84416e5ffffffff-2019-10,1
84416e5ffffffff-2023-03,1
84416e5ffffffff-2023-10,6
84416edffffffff-2019-01,2
84416edffffffff-2023-03,8
8465803ffffffff-2017-02,2
8465803ffffffff-2018-02,1
8465803ffffffff-2020-05,1
8465817ffffffff-2016-01,1
8465817ffffffff-2023-01,3
8465851ffffffff-2013-03,2
8465851ffffffff-2020-12,2
8465859ffffffff-2012-01,1
84658e7ffffffff-2018-02,1
84658e7ffffffff-2018-04,1
84658e7ffffffff-2019-05,4
84658e7ffffffff-2023-03,2
846592bffffffff-2018-01,2
846592bffffffff-2019-11,1
846592bffffffff-2023-05,1
846592bffffffff-2023-08,1
84659dbffffffff-2022-11,2
8465b01ffffffff-2012-05,2
8465b01ffffffff-2017-10,1
8465b23ffffffff-2022-04,2
8465b23ffffffff-2023-07,1
8465b2bffffffff-2012-02,1
8465b2bffffffff-2017-02,2
8465b2bffffffff-2017-03,2
8465b2bffffffff-2017-05,1
8465b2bffffffff-2018-02,6
8465b2bffffffff-2018-04,2
8465b2bffffffff-2018-06,3
8465b2bffffffff-2018-10,1
8465b2bffffffff-2018-11,3
8465b2bffffffff-2018-12,1
8465b2bffffffff-2019-02,1
8465b2bffffffff-2019-03,4
8465b2bffffffff-2019-10,1
8465b2bffffffff-2019-11,1
8465b2bffffffff-2020-01,2
8465b2bffffffff-2020-02,3
8465b2bffffffff-2020-03,2
8465b2bffffffff-2020-06,1
8465b2bffffffff-2020-10,1
8465b2bffffffff-2020-11,1
8465b2bffffffff-2021-01,3
8465b2bffffffff-2021-05,1
8465b2bffffffff-2021-07,5
