index,n
848b617ffffffff-2012-02,1
848b617ffffffff-2012-03,1
848b617ffffffff-2012-04,1
848b617ffffffff-2012-08,1
848b617ffffffff-2012-11,1
848b617ffffffff-2013-01,1
848b617ffffffff-2013-08,1
848b617ffffffff-2013-10,1
848b617ffffffff-2013-11,2
848b617ffffffff-2014-07,2
848b617ffffffff-2014-09,4
848b617ffffffff-2014-10,6
848b617ffffffff-2015-02,1
848b617ffffffff-2015-07,2
848b617ffffffff-2015-10,6
848b617ffffffff-2015-11,4
848b617ffffffff-2015-12,1
848b617ffffffff-2016-05,4
848b617ffffffff-2016-06,7
848b617ffffffff-2016-07,7
848b617ffffffff-2016-08,2
848b617ffffffff-2016-09,1
848b617ffffffff-2016-10,1
848b617ffffffff-2017-01,4
848b617ffffffff-2017-05,8
848b617ffffffff-2017-06,2
848b617ffffffff-2017-07,19
848b617ffffffff-2017-08,3
848b617ffffffff-2017-10,1
848b617ffffffff-2017-11,1
848b617ffffffff-2018-01,4
848b617ffffffff-2018-03,2
848b617ffffffff-2018-04,8
848b617ffffffff-2018-05,9
848b617ffffffff-2018-06,11
848b617ffffffff-2018-07,11
848b617ffffffff-2018-08,13
848b617ffffffff-2018-09,7
848b617ffffffff-2018-10,16
848b617ffffffff-2018-11,11
848b617ffffffff-2018-12,2
848b617ffffffff-2019-01,5
848b617ffffffff-2019-02,9
848b617ffffffff-2019-03,6
848b617ffffffff-2019-04,5
848b617ffffffff-2019-05,20
848b617ffffffff-2019-06,12
848b617ffffffff-2019-07,14
848b617ffffffff-2019-08,11
848b617ffffffff-2019-09,17
848b617ffffffff-2019-10,18
848b617ffffffff-2019-11,27
848b617ffffffff-2019-12,2
848b617ffffffff-2020-01,5
848b617ffffffff-2020-02,8
848b617ffffffff-2020-03,1
848b617ffffffff-2020-05,9
848b617ffffffff-2020-08,6
848b617ffffffff-2020-09,3
848b617ffffffff-2020-10,27
848b617ffffffff-2020-12,3
848b617ffffffff-2021-01,2
848b617ffffffff-2021-02,4
848b617ffffffff-2021-03,6
848b617ffffffff-2021-04,2
848b617ffffffff-2021-05,26
848b617ffffffff-2021-06,13
848b617ffffffff-2021-07,3
848b617ffffffff-2021-08,1
848b617ffffffff-2021-09,24
848b617ffffffff-2021-10,7
848b617ffffffff-2021-11,2
848b617ffffffff-2022-02,6
848b617ffffffff-2022-03,10
848b617ffffffff-2022-04,11
848b617ffffffff-2022-05,21
848b617ffffffff-2022-06,4
848b617ffffffff-2022-07,5
848b617ffffffff-2022-08,26
848b617ffffffff-2022-09,12
848b617ffffffff-2022-10,19
848b617ffffffff-2022-11,26
848b617ffffffff-2022-12,3
848b617ffffffff-2023-02,3
848b617ffffffff-2023-03,23
848b617ffffffff-2023-04,7
848b617ffffffff-2023-05,19
848b617ffffffff-2023-06,3
848b617ffffffff-2023-07,23
848b617ffffffff-2023-08,10
848b617ffffffff-2023-09,16
848b617ffffffff-2023-10,11
848b617ffffffff-2023-11,1
848b62bffffffff-2023-05,2
848b639ffffffff-2020-11,1
848b639ffffffff-2023-08,2
848b63bffffffff-2012-09,3
848b63bffffffff-2014-08,1
848b63bffffffff-2014-10,1
848b63bffffffff-2017-03,1
848b63bffffffff-2017-04,3
848b63bffffffff-2017-05,1
848b63bffffffff-2018-05,2
848b63bffffffff-2018-07,2
848b63bffffffff-2019-02,1
848b63bffffffff-2019-10,2
848b63bffffffff-2022-05,2
848b63bffffffff-2022-09,1
848b63bffffffff-2022-10,1
848b63bffffffff-2023-04,1
848b63bffffffff-2023-06,1
848b63bffffffff-2023-10,1
848b63bffffffff-2023-11,1
848b63dffffffff-2021-06,2
848b63dffffffff-2021-07,2
848b689ffffffff-2012-02,1
848b689ffffffff-2023-05,3
848b68bffffffff-2023-06,2
848b68bffffffff-2023-09,1
848b68bffffffff-2023-10,2
848b699ffffffff-2018-09,2
848b6c3ffffffff-2023-05,3
848b6edffffffff-2018-05,4
848b6edffffffff-2019-05,2
848b6edffffffff-2023-03,2
