index,n
8460025ffffffff-2015-10,1
8460025ffffffff-2015-11,2
8460025ffffffff-2016-01,3
8460025ffffffff-2016-08,2
8460025ffffffff-2017-02,14
8460025ffffffff-2017-03,10
8460025ffffffff-2017-08,12
8460025ffffffff-2017-09,9
8460025ffffffff-2018-02,24
8460025ffffffff-2018-03,38
8460025ffffffff-2018-04,1
8460025ffffffff-2018-10,2
8460025ffffffff-2019-10,1
8460025ffffffff-2019-11,1
8460025ffffffff-2019-12,9
8460025ffffffff-2020-01,4
8460025ffffffff-2020-02,6
8460025ffffffff-2020-03,5
8460025ffffffff-2020-05,1
8460025ffffffff-2020-06,7
8460025ffffffff-2020-07,4
8460025ffffffff-2020-08,3
8460025ffffffff-2020-09,9
8460025ffffffff-2020-10,3
8460025ffffffff-2020-11,27
8460025ffffffff-2020-12,19
8460025ffffffff-2021-01,25
8460025ffffffff-2021-02,21
8460025ffffffff-2021-03,7
8460025ffffffff-2021-04,3
8460025ffffffff-2021-05,1
8460025ffffffff-2021-07,8
8460025ffffffff-2021-08,4
8460025ffffffff-2021-09,7
8460025ffffffff-2021-10,3
8460025ffffffff-2021-11,2
8460025ffffffff-2021-12,3
8460025ffffffff-2022-01,2
8460025ffffffff-2022-02,20
8460025ffffffff-2022-03,10
8460025ffffffff-2022-04,6
8460025ffffffff-2022-05,4
8460025ffffffff-2022-06,2
8460025ffffffff-2022-07,2
8460025ffffffff-2022-09,7
8460025ffffffff-2022-10,2
8460025ffffffff-2022-11,6
8460025ffffffff-2022-12,39
8460025ffffffff-2023-01,5
8460025ffffffff-2023-02,15
8460025ffffffff-2023-03,12
8460025ffffffff-2023-05,18
8460025ffffffff-2023-06,7
8460025ffffffff-2023-07,6
8460025ffffffff-2023-08,7
8460025ffffffff-2023-09,2
8460025ffffffff-2023-10,21
8460025ffffffff-2023-11,22
846002dffffffff-2012-04,1
846002dffffffff-2014-02,1
846002dffffffff-2014-09,2
846002dffffffff-2014-11,1
846002dffffffff-2015-02,2
846002dffffffff-2015-05,1
846002dffffffff-2015-11,1
846002dffffffff-2015-12,2
846002dffffffff-2016-01,2
846002dffffffff-2016-02,8
846002dffffffff-2016-03,1
846002dffffffff-2016-04,4
846002dffffffff-2016-07,1
846002dffffffff-2016-08,7
846002dffffffff-2016-09,9
846002dffffffff-2016-11,1
846002dffffffff-2016-12,3
846002dffffffff-2017-01,5
846002dffffffff-2017-02,25
846002dffffffff-2017-03,21
846002dffffffff-2017-05,1
846002dffffffff-2017-08,1
846002dffffffff-2017-09,2
846002dffffffff-2017-12,10
846002dffffffff-2018-01,1
846002dffffffff-2018-02,2
846002dffffffff-2018-03,4
846002dffffffff-2018-04,1
846002dffffffff-2018-05,2
846002dffffffff-2018-10,1
846002dffffffff-2018-11,6
846002dffffffff-2018-12,3
846002dffffffff-2019-01,1
846002dffffffff-2019-02,6
846002dffffffff-2019-03,8
846002dffffffff-2019-04,6
846002dffffffff-2019-05,2
846002dffffffff-2019-06,1
846002dffffffff-2019-08,2
846002dffffffff-2019-09,3
846002dffffffff-2019-11,2
846002dffffffff-2019-12,2
846002dffffffff-2020-01,2
846002dffffffff-2020-02,2
846002dffffffff-2020-03,20
846002dffffffff-2020-04,7
846002dffffffff-2020-05,3
846002dffffffff-2020-06,2
846002dffffffff-2020-07,11
846002dffffffff-2020-08,22
846002dffffffff-2020-09,10
846002dffffffff-2020-10,32
846002dffffffff-2020-11,43
846002dffffffff-2020-12,16
846002dffffffff-2021-01,12
846002dffffffff-2021-02,11
846002dffffffff-2021-03,6
846002dffffffff-2021-04,4
846002dffffffff-2021-05,2
846002dffffffff-2021-06,4
846002dffffffff-2021-07,2
846002dffffffff-2021-08,7
846002dffffffff-2021-09,6
846002dffffffff-2021-10,2
846002dffffffff-2021-11,1
846002dffffffff-2021-12,1
846002dffffffff-2022-01,10
846002dffffffff-2022-02,10
846002dffffffff-2022-03,10
846002dffffffff-2022-04,1
846002dffffffff-2022-06,1
846002dffffffff-2022-07,2
846002dffffffff-2022-08,4
846002dffffffff-2022-09,7
846002dffffffff-2022-10,3
846002dffffffff-2022-11,2
846002dffffffff-2022-12,9
846002dffffffff-2023-01,8
846002dffffffff-2023-02,6
846002dffffffff-2023-03,6
846002dffffffff-2023-04,4
846002dffffffff-2023-05,6
846002dffffffff-2023-06,1
846002dffffffff-2023-07,2
846002dffffffff-2023-08,1
846002dffffffff-2023-09,3
846002dffffffff-2023-10,11
846002dffffffff-2023-11,20
846004dffffffff-2017-02,1
8460061ffffffff-2015-01,2
8460061ffffffff-2016-10,2
8460061ffffffff-2017-10,1
8460061ffffffff-2018-02,2
8460061ffffffff-2020-02,1
8460061ffffffff-2020-04,1
8460061ffffffff-2021-01,2
8460061ffffffff-2021-03,1
8460061ffffffff-2023-07,2
8460065ffffffff-2012-02,1
8460065ffffffff-2012-11,1
8460065ffffffff-2012-12,1
8460065ffffffff-2014-02,2
8460065ffffffff-2014-03,1
8460065ffffffff-2014-10,4
8460065ffffffff-2014-11,2
8460065ffffffff-2014-12,4
8460065ffffffff-2015-02,7
8460065ffffffff-2015-04,2
8460065ffffffff-2015-07,2
8460065ffffffff-2015-08,1
8460065ffffffff-2015-10,1
8460065ffffffff-2015-11,2
8460065ffffffff-2015-12,3
8460065ffffffff-2016-01,9
8460065ffffffff-2016-02,2
8460065ffffffff-2016-03,1
8460065ffffffff-2016-04,8
8460065ffffffff-2016-05,3
8460065ffffffff-2016-06,1
8460065ffffffff-2016-08,8
8460065ffffffff-2016-09,3
8460065ffffffff-2016-10,1
8460065ffffffff-2016-12,5
8460065ffffffff-2017-01,13
8460065ffffffff-2017-02,8
8460065ffffffff-2017-03,8
8460065ffffffff-2017-05,1
8460065ffffffff-2017-09,31
8460065ffffffff-2017-10,2
8460065ffffffff-2017-12,3
8460065ffffffff-2018-01,7
8460065ffffffff-2018-02,20
8460065ffffffff-2018-03,12
8460065ffffffff-2018-04,57
8460065ffffffff-2018-05,3
8460065ffffffff-2018-06,1
8460065ffffffff-2018-08,1
8460065ffffffff-2018-10,1
8460065ffffffff-2018-11,3
8460065ffffffff-2018-12,12
