index,n
845f01bffffffff-2023-01,1
845f081ffffffff-2015-01,1
845f081ffffffff-2019-04,1
845f083ffffffff-2012-10,3
845f083ffffffff-2013-11,1
845f083ffffffff-2014-05,1
845f083ffffffff-2015-02,1
845f083ffffffff-2015-03,1
845f083ffffffff-2016-02,1
845f083ffffffff-2016-11,1
845f083ffffffff-2017-01,1
845f083ffffffff-2017-02,2
845f083ffffffff-2017-04,1
845f083ffffffff-2017-10,1
845f083ffffffff-2018-01,7
845f083ffffffff-2018-02,2
845f083ffffffff-2018-03,1
845f083ffffffff-2018-05,1
845f083ffffffff-2018-06,4
845f083ffffffff-2019-01,12
845f083ffffffff-2019-03,5
845f083ffffffff-2019-09,1
845f083ffffffff-2019-11,1
845f083ffffffff-2019-12,1
845f083ffffffff-2020-01,5
845f083ffffffff-2020-10,2
845f083ffffffff-2021-08,1
845f083ffffffff-2021-10,5
845f083ffffffff-2021-12,3
845f083ffffffff-2022-02,8
845f083ffffffff-2022-03,4
845f083ffffffff-2022-09,4
845f083ffffffff-2022-11,2
845f083ffffffff-2022-12,4
845f083ffffffff-2023-01,4
845f083ffffffff-2023-02,15
845f083ffffffff-2023-03,4
845f083ffffffff-2023-04,8
845f083ffffffff-2023-07,1
845f083ffffffff-2023-08,2
845f083ffffffff-2023-09,4
845f083ffffffff-2023-10,9
845f083ffffffff-2023-11,12
845f08dffffffff-2019-08,1
845f08dffffffff-2020-10,6
845f08dffffffff-2022-08,1
845f091ffffffff-2016-04,1
845f091ffffffff-2017-01,1
845f091ffffffff-2018-11,1
845f091ffffffff-2022-07,1
845f095ffffffff-2012-01,1
845f095ffffffff-2012-10,2
845f095ffffffff-2012-11,3
845f095ffffffff-2012-12,1
845f095ffffffff-2013-06,1
845f095ffffffff-2013-08,1
845f095ffffffff-2013-10,1
845f095ffffffff-2013-11,2
845f095ffffffff-2014-01,5
845f095ffffffff-2014-02,3
845f095ffffffff-2014-04,2
845f095ffffffff-2014-07,3
845f095ffffffff-2014-10,2
845f095ffffffff-2014-11,2
845f095ffffffff-2014-12,2
845f095ffffffff-2015-01,1
845f095ffffffff-2015-02,4
845f095ffffffff-2015-03,6
845f095ffffffff-2015-04,1
845f095ffffffff-2015-11,3
845f095ffffffff-2015-12,5
845f095ffffffff-2016-01,2
845f095ffffffff-2016-02,1
845f095ffffffff-2016-09,1
