index,n
84728b9ffffffff-2018-08,1
84728e7ffffffff-2022-12,3
8472917ffffffff-2023-08,3
84729e9ffffffff-2018-06,3
8472a2bffffffff-2015-09,1
8472a2bffffffff-2015-11,1
8472a2bffffffff-2016-01,1
8472a2bffffffff-2017-06,1
8472a2bffffffff-2017-11,3
8472a2bffffffff-2018-08,1
8472a2bffffffff-2018-11,1
8472a2bffffffff-2019-06,5
8472a2bffffffff-2019-08,3
8472a2bffffffff-2022-08,1
8472a2bffffffff-2022-10,1
8472a2bffffffff-2023-10,1
8472a65ffffffff-2023-08,1
8472b07ffffffff-2023-07,1
8472b07ffffffff-2023-09,1
8472b07ffffffff-2023-10,2
8472b07ffffffff-2023-11,2
8472d23ffffffff-2013-10,1
8472d23ffffffff-2018-07,4
8472d97ffffffff-2019-07,9
8472d97ffffffff-2023-09,2
8472da1ffffffff-2017-07,1
8472da1ffffffff-2023-06,1
8472db3ffffffff-2012-06,3
8472db3ffffffff-2012-10,48
8472db3ffffffff-2012-11,9
8472db3ffffffff-2019-08,1
8472dbbffffffff-2017-08,1
8472f23ffffffff-2013-12,1
8472f23ffffffff-2015-03,2
8472f23ffffffff-2015-08,2
8472f23ffffffff-2016-03,1
8472f23ffffffff-2016-10,2
8472f23ffffffff-2017-09,6
8472f23ffffffff-2017-11,2
8472f23ffffffff-2018-08,4
8472f23ffffffff-2018-10,1
8472f23ffffffff-2018-11,1
8472f23ffffffff-2019-06,1
8472f23ffffffff-2019-07,2
8472f23ffffffff-2019-08,4
8472f23ffffffff-2022-07,3
8472f23ffffffff-2022-09,1
8472f23ffffffff-2022-10,1
8472f23ffffffff-2023-08,7
8472f23ffffffff-2023-10,5
84739a1ffffffff-2019-09,1
84739abffffffff-2014-08,2
84739abffffffff-2015-06,1
84739abffffffff-2015-08,1
84739abffffffff-2015-09,1
84739abffffffff-2015-11,1
84739abffffffff-2016-08,1
84739abffffffff-2016-10,2
84739abffffffff-2017-06,2
84739abffffffff-2017-09,6
84739abffffffff-2017-10,2
84739abffffffff-2017-11,11
84739abffffffff-2018-08,10
84739abffffffff-2018-09,2
84739abffffffff-2018-11,1
84739abffffffff-2019-06,2
84739abffffffff-2019-09,3
84739abffffffff-2022-08,12
84739abffffffff-2022-09,4
84739abffffffff-2022-10,1
84739abffffffff-2022-11,1
84739abffffffff-2023-05,1
84739abffffffff-2023-06,1
84739abffffffff-2023-08,7
84739abffffffff-2023-09,3
84739abffffffff-2023-10,21
84739abffffffff-2023-11,15
84739b1ffffffff-2018-09,2
84739b1ffffffff-2019-03,1
84739b1ffffffff-2019-06,1
84739b1ffffffff-2019-08,3
84739b1ffffffff-2022-08,11
84739b1ffffffff-2022-09,2
84739b1ffffffff-2022-10,1
84739b1ffffffff-2022-11,2
84739b1ffffffff-2023-07,1
84739b1ffffffff-2023-08,2
84739b1ffffffff-2023-10,8
84739b1ffffffff-2023-11,4
84739b3ffffffff-2023-11,1
84739b5ffffffff-2017-06,3
84739b5ffffffff-2017-09,3
84739b5ffffffff-2017-12,3
84739b5ffffffff-2018-11,1
84739b5ffffffff-2023-07,1
84739b5ffffffff-2023-10,1
849c851ffffffff-2019-06,12
849c851ffffffff-2019-11,1
849c851ffffffff-2023-10,2
849c85bffffffff-2012-02,1
849c85bffffffff-2012-05,2
849c85bffffffff-2012-07,3
849c85bffffffff-2013-03,2
849c85bffffffff-2013-07,5
849c85bffffffff-2013-08,2
849c85bffffffff-2013-09,1
849c85bffffffff-2013-10,2
849c85bffffffff-2014-06,4
849c85bffffffff-2014-07,3
849c85bffffffff-2014-08,5
849c85bffffffff-2014-09,2
849c85bffffffff-2014-10,2
849c85bffffffff-2014-11,1
849c85bffffffff-2015-06,1
849c85bffffffff-2015-07,4
849c85bffffffff-2015-09,4
849c85bffffffff-2015-10,4
849c85bffffffff-2015-11,1
849c85bffffffff-2015-12,1
849c85bffffffff-2016-01,1
849c85bffffffff-2016-04,3
849c85bffffffff-2016-07,9
849c85bffffffff-2016-08,4
849c85bffffffff-2016-09,4
849c85bffffffff-2016-11,2
849c85bffffffff-2017-03,2
849c85bffffffff-2017-04,1
849c85bffffffff-2017-07,13
849c85bffffffff-2017-08,8
849c85bffffffff-2017-09,1
849c85bffffffff-2017-11,4
849c85bffffffff-2017-12,2
849c85bffffffff-2018-05,4
849c85bffffffff-2018-06,4
849c85bffffffff-2018-07,26
849c85bffffffff-2018-08,9
849c85bffffffff-2018-09,2
849c85bffffffff-2018-10,5
849c85bffffffff-2019-06,2
849c85bffffffff-2019-07,16
849c85bffffffff-2019-08,6
849c85bffffffff-2019-09,6
849c85bffffffff-2019-10,8
849c85bffffffff-2019-12,2
849c85bffffffff-2020-03,1
849c85bffffffff-2022-07,19
849c85bffffffff-2022-08,23
849c85bffffffff-2022-10,1
849c85bffffffff-2023-06,21
849c85bffffffff-2023-07,40
849c85bffffffff-2023-08,27
849c85bffffffff-2023-09,13
849c85bffffffff-2023-10,1
849c85bffffffff-2023-11,4
849c8b5ffffffff-2012-07,10
849c993ffffffff-2012-06,20
849c993ffffffff-2012-07,11
849c997ffffffff-2012-08,9
849caadffffffff-2012-07,1
849cd2dffffffff-2023-09,1
849cd31ffffffff-2013-08,2
849cd31ffffffff-2014-07,5
849cd31ffffffff-2014-08,2
849cd31ffffffff-2015-07,2
849cd31ffffffff-2016-07,1
849cd31ffffffff-2016-08,3
849cd31ffffffff-2017-08,1
849cd31ffffffff-2018-06,2
849cd31ffffffff-2018-07,1
849cd31ffffffff-2019-07,3
849cd31ffffffff-2019-08,2
849cd31ffffffff-2019-09,1
849cd31ffffffff-2022-07,20
849cd31ffffffff-2022-08,3
849cd31ffffffff-2022-09,1
849cd31ffffffff-2023-06,1
849cd31ffffffff-2023-07,1
849cd31ffffffff-2023-08,1
849cd31ffffffff-2023-09,2
849cd33ffffffff-2013-08,1
849cd33ffffffff-2015-07,4
849cd33ffffffff-2016-02,2
849cd33ffffffff-2016-07,1
849cd33ffffffff-2018-07,3
849cd33ffffffff-2022-07,1
849cd33ffffffff-2022-08,4
