index,n
84209a5ffffffff-2018-07,3
84209a5ffffffff-2018-08,1
84209a5ffffffff-2019-06,2
84209a5ffffffff-2020-08,3
84209a5ffffffff-2020-12,1
84209a5ffffffff-2021-05,4
84209a5ffffffff-2021-08,2
84209a5ffffffff-2021-10,4
84209a5ffffffff-2022-05,8
84209a5ffffffff-2022-08,5
84209a5ffffffff-2022-09,3
84209a5ffffffff-2023-02,4
84209a5ffffffff-2023-03,7
84209a5ffffffff-2023-06,5
84209a5ffffffff-2023-07,9
842e611ffffffff-2016-11,2
8430305ffffffff-2017-05,1
8430911ffffffff-2013-06,1
8430911ffffffff-2021-09,1
8430911ffffffff-2022-06,1
8430911ffffffff-2022-07,1
8430915ffffffff-2018-06,1
8430915ffffffff-2021-06,1
843091bffffffff-2022-06,2
843091dffffffff-2018-05,1
843091dffffffff-2022-06,1
8430929ffffffff-2018-09,1
8430929ffffffff-2021-06,1
8430929ffffffff-2022-06,1
8430929ffffffff-2022-08,1
8430929ffffffff-2023-07,3
8430963ffffffff-2017-09,1
8430963ffffffff-2020-10,1
8430963ffffffff-2022-04,1
8430963ffffffff-2022-05,2
8430963ffffffff-2022-06,1
8430963ffffffff-2023-05,1
8430981ffffffff-2021-08,1
8430981ffffffff-2022-06,2
8430981ffffffff-2022-08,1
8430981ffffffff-2022-09,1
8430981ffffffff-2023-05,4
8430981ffffffff-2023-06,2
8430981ffffffff-2023-07,2
8430981ffffffff-2023-08,2
8430981ffffffff-2023-09,5
8430985ffffffff-2018-05,2
8430985ffffffff-2019-07,2
8430985ffffffff-2020-06,1
8430985ffffffff-2022-06,1
8430985ffffffff-2023-05,6
8430985ffffffff-2023-06,5
8430985ffffffff-2023-07,8
8430985ffffffff-2023-08,4
8430987ffffffff-2016-07,1
843098bffffffff-2023-06,3
843098dffffffff-2019-05,1
843098dffffffff-2019-07,1
843098dffffffff-2020-05,2
843098dffffffff-2021-05,3
843098dffffffff-2023-05,5
843098dffffffff-2023-07,2
843098dffffffff-2023-08,2
8430991ffffffff-2016-07,1
8430991ffffffff-2021-10,1
8430995ffffffff-2017-05,2
84309a1ffffffff-2023-05,1
84309a5ffffffff-2013-08,1
84309a5ffffffff-2015-05,1
84309a5ffffffff-2016-05,2
84309a5ffffffff-2016-06,4
84309a5ffffffff-2016-07,1
84309a5ffffffff-2016-08,1
84309a5ffffffff-2018-06,2
84309a5ffffffff-2019-05,2
84309a5ffffffff-2019-06,7
84309a5ffffffff-2019-07,5
84309a5ffffffff-2020-06,2
84309a5ffffffff-2020-07,1
84309a5ffffffff-2020-08,1
84309a5ffffffff-2020-09,1
84309a5ffffffff-2021-05,7
84309a5ffffffff-2021-06,1
84309a5ffffffff-2021-07,5
84309a5ffffffff-2021-08,1
84309a5ffffffff-2021-09,2
84309a5ffffffff-2022-04,1
84309a5ffffffff-2022-05,11
84309a5ffffffff-2022-06,1
84309a5ffffffff-2022-07,6
84309a5ffffffff-2022-08,10
84309a5ffffffff-2022-09,3
84309a5ffffffff-2023-05,4
84309a5ffffffff-2023-06,16
84309a5ffffffff-2023-07,6
84309a5ffffffff-2023-08,1
84309a5ffffffff-2023-09,1
84309a7ffffffff-2020-09,1
84309adffffffff-2018-05,1
84309adffffffff-2022-05,1
84309adffffffff-2022-07,1
84309adffffffff-2023-06,2
84309b1ffffffff-2016-06,1
84309b5ffffffff-2023-07,1
84309bdffffffff-2022-06,1
84309bdffffffff-2023-05,1
84309c5ffffffff-2021-07,1
84309e7ffffffff-2019-06,2
84309e7ffffffff-2020-08,1
84309e9ffffffff-2021-08,1
84309ebffffffff-2021-08,1
8430a13ffffffff-2019-05,1
8431819ffffffff-2014-09,2
84318d1ffffffff-2017-05,1
843c021ffffffff-2023-09,3
843c029ffffffff-2019-06,9
843c065ffffffff-2022-07,4
843c065ffffffff-2023-06,1
843c065ffffffff-2023-07,1
843c103ffffffff-2022-09,1
843c117ffffffff-2020-12,1
843c127ffffffff-2021-11,4
843c131ffffffff-2017-09,1
843c137ffffffff-2021-10,1
843c137ffffffff-2022-09,1
843c137ffffffff-2022-10,1
843c139ffffffff-2021-09,1
843c151ffffffff-2023-09,1
843c157ffffffff-2018-12,1
843c157ffffffff-2019-01,3
843c159ffffffff-2015-04,1
843c159ffffffff-2016-01,1
843c159ffffffff-2018-07,1
843c159ffffffff-2019-05,1
843c159ffffffff-2022-05,2
843c159ffffffff-2022-06,3
843c159ffffffff-2022-07,3
843c159ffffffff-2023-01,1
843c159ffffffff-2023-04,1
843c159ffffffff-2023-05,2
843c159ffffffff-2023-06,1
843c15bffffffff-2022-05,2
843c15bffffffff-2022-06,2
843c15dffffffff-2023-08,1
843c161ffffffff-2017-01,1
843c185ffffffff-2021-01,1
843c189ffffffff-2023-07,2
843c189ffffffff-2023-08,1
843c191ffffffff-2021-11,1
843c199ffffffff-2020-02,3
843c199ffffffff-2022-11,1
843c199ffffffff-2022-12,1
843c199ffffffff-2023-01,2
843c19bffffffff-2021-11,1
843c19bffffffff-2022-06,1
843c19dffffffff-2017-05,1
843c1a1ffffffff-2021-07,3
843c1a3ffffffff-2022-06,1
843c1a9ffffffff-2019-08,1
843c1a9ffffffff-2019-10,2
843c1a9ffffffff-2019-11,1
843c1a9ffffffff-2021-02,1
843c1a9ffffffff-2021-03,1
843c1a9ffffffff-2021-05,3
843c1a9ffffffff-2021-06,7
843c1a9ffffffff-2021-08,1
843c1a9ffffffff-2021-09,9
843c1a9ffffffff-2021-10,7
843c1a9ffffffff-2021-11,1
843c1a9ffffffff-2021-12,1
843c1a9ffffffff-2022-01,3
843c1a9ffffffff-2022-02,1
843c1a9ffffffff-2022-05,1
843c1a9ffffffff-2022-07,1
843c1a9ffffffff-2022-09,2
843c1a9ffffffff-2023-07,4
843c1a9ffffffff-2023-08,4
843c1a9ffffffff-2023-09,2
843c1abffffffff-2022-02,1
843c1abffffffff-2022-10,1
843c1b5ffffffff-2018-07,1
843c1b5ffffffff-2019-01,1
843c1b5ffffffff-2020-07,1
843c1b5ffffffff-2021-07,1
843c1b5ffffffff-2021-09,2
843c1b5ffffffff-2022-06,7
843c1b5ffffffff-2022-08,7
843c1b5ffffffff-2022-12,1
843c1c3ffffffff-2012-10,1
843c1c3ffffffff-2013-03,1
843c1c3ffffffff-2014-04,2
843c1c3ffffffff-2015-03,2
843c1c3ffffffff-2016-11,1
843c1c3ffffffff-2016-12,7
843c1c3ffffffff-2017-05,1
843c1c3ffffffff-2018-05,2
843c1c3ffffffff-2019-04,1
843c1c3ffffffff-2020-05,1
843c1c3ffffffff-2020-08,8
843c1c3ffffffff-2020-09,21
843c1c3ffffffff-2020-10,2
843c1c3ffffffff-2021-01,1
843c1c3ffffffff-2021-05,5
843c1c3ffffffff-2021-06,1
843c1c3ffffffff-2021-07,1
843c1c3ffffffff-2021-08,5
843c1c3ffffffff-2021-09,8
843c1c3ffffffff-2021-10,1
843c1c3ffffffff-2021-11,1
843c1c3ffffffff-2022-03,2
843c1c3ffffffff-2022-04,5
843c1c3ffffffff-2022-10,3
843c1c3ffffffff-2023-03,4
843c1c3ffffffff-2023-04,1
843c1c3ffffffff-2023-05,4
843c1c3ffffffff-2023-06,1
843c1c3ffffffff-2023-08,5
843c1c3ffffffff-2023-10,1
843c1c7ffffffff-2022-12,1
843c1c7ffffffff-2023-05,2
843c1d7ffffffff-2023-06,3
843c1e9ffffffff-2015-05,2
843c1e9ffffffff-2015-07,4
843c1ebffffffff-2019-02,1
843c1edffffffff-2019-07,1
843c329ffffffff-2016-12,1
843c335ffffffff-2016-05,1
843c335ffffffff-2018-09,3
843c335ffffffff-2019-06,1
843c335ffffffff-2020-03,3
843c335ffffffff-2021-03,1
843c335ffffffff-2022-10,1
843c337ffffffff-2019-08,1
843c33bffffffff-2023-06,2
843c33dffffffff-2017-02,1
843c33dffffffff-2017-09,1
843c33dffffffff-2018-08,1
843c33dffffffff-2019-01,1
843c33dffffffff-2022-10,1
843c33dffffffff-2023-05,4
843c361ffffffff-2019-01,1
843c361ffffffff-2023-07,1
843c363ffffffff-2017-01,1
843c369ffffffff-2020-02,1
843c585ffffffff-2023-05,1
843c5a9ffffffff-2022-05,3
843c5a9ffffffff-2022-07,1
843c5a9ffffffff-2023-05,11
843c5a9ffffffff-2023-06,12
843c5a9ffffffff-2023-08,1
843c5adffffffff-2023-04,2
843c5e3ffffffff-2022-03,1
843c801ffffffff-2021-07,1
843c801ffffffff-2021-08,1
843c805ffffffff-2021-05,8
843c805ffffffff-2021-06,4
843c805ffffffff-2021-09,1
843c809ffffffff-2018-05,1
843c809ffffffff-2023-01,1
843c80dffffffff-2021-08,1
843c80dffffffff-2021-10,2
843c815ffffffff-2023-07,1
843c82dffffffff-2023-06,3
843c837ffffffff-2014-10,3
843c839ffffffff-2023-08,1
843c83bffffffff-2022-09,1
843c841ffffffff-2020-06,1
843c841ffffffff-2021-05,1
843c841ffffffff-2021-06,1
843c841ffffffff-2021-08,1
843c841ffffffff-2022-06,2
843c841ffffffff-2022-07,7
843c841ffffffff-2022-08,3
843c841ffffffff-2023-06,2
843c841ffffffff-2023-07,1
843c843ffffffff-2023-01,2
843c84bffffffff-2022-06,1
843c855ffffffff-2020-08,1
843c855ffffffff-2021-07,1
843c85dffffffff-2016-12,1
843c885ffffffff-2016-12,2
843c885ffffffff-2018-02,1
843c885ffffffff-2020-02,2
843c885ffffffff-2021-02,2
843c885ffffffff-2021-03,3
843c885ffffffff-2021-04,4
843c885ffffffff-2021-10,1
843c885ffffffff-2021-12,2
843c885ffffffff-2022-02,2
843c885ffffffff-2022-03,3
843c885ffffffff-2022-04,3
843c885ffffffff-2022-06,1
843c885ffffffff-2022-12,1
843c885ffffffff-2023-01,4
843c885ffffffff-2023-02,6
843c885ffffffff-2023-03,11
843c885ffffffff-2023-04,18
843c885ffffffff-2023-08,1
843c885ffffffff-2023-09,15
843c889ffffffff-2023-09,2
843c899ffffffff-2015-04,1
843c899ffffffff-2016-11,3
843c899ffffffff-2017-04,1
843c899ffffffff-2017-08,1
843c899ffffffff-2018-10,1
843c899ffffffff-2019-11,8
843c899ffffffff-2021-08,4
843c899ffffffff-2021-10,4
843c899ffffffff-2021-12,3
