index,n
84ad121ffffffff-2013-09,2
84ad121ffffffff-2014-09,1
84ad121ffffffff-2017-09,1
84ad121ffffffff-2023-09,2
84ad127ffffffff-2020-09,1
84ad169ffffffff-2016-03,1
84ad169ffffffff-2023-09,2
84ad321ffffffff-2013-08,1
84ad321ffffffff-2014-09,3
84ad321ffffffff-2014-10,1
84ad321ffffffff-2015-08,3
84ad321ffffffff-2015-09,1
84ad321ffffffff-2016-01,1
84ad321ffffffff-2016-03,1
84ad321ffffffff-2017-03,1
84ad321ffffffff-2017-08,9
84ad321ffffffff-2017-09,7
84ad321ffffffff-2017-10,1
84ad321ffffffff-2018-01,1
84ad321ffffffff-2018-02,1
84ad321ffffffff-2018-05,1
84ad321ffffffff-2018-06,1
84ad321ffffffff-2018-08,3
84ad321ffffffff-2018-11,2
84ad321ffffffff-2019-01,4
84ad321ffffffff-2020-01,1
84ad321ffffffff-2020-03,6
84ad321ffffffff-2020-04,1
84ad321ffffffff-2020-08,2
84ad321ffffffff-2020-10,1
84ad321ffffffff-2021-05,1
84ad321ffffffff-2021-09,2
84ad321ffffffff-2021-11,1
84ad321ffffffff-2021-12,1
84ad321ffffffff-2022-01,2
84ad321ffffffff-2022-03,2
84ad321ffffffff-2022-06,1
84ad321ffffffff-2022-08,2
84ad321ffffffff-2022-09,10
84ad321ffffffff-2022-10,1
84ad321ffffffff-2022-11,1
84ad321ffffffff-2022-12,3
84ad321ffffffff-2023-01,1
84ad321ffffffff-2023-02,1
84ad321ffffffff-2023-03,5
84ad321ffffffff-2023-05,1
84ad321ffffffff-2023-07,3
84ad321ffffffff-2023-08,24
84ad321ffffffff-2023-09,8
84ad321ffffffff-2023-11,3
84ad325ffffffff-2016-01,1
84ad325ffffffff-2021-04,1
84ad325ffffffff-2021-11,1
84ad325ffffffff-2022-01,2
84ad325ffffffff-2022-02,2
84ad325ffffffff-2022-06,1
84ad325ffffffff-2022-08,2
84ad325ffffffff-2023-01,1
84ad325ffffffff-2023-05,3
84ad325ffffffff-2023-08,4
84ad325ffffffff-2023-09,1
84ad329ffffffff-2012-01,1
84ad329ffffffff-2012-06,1
84ad329ffffffff-2012-10,1
84ad329ffffffff-2012-11,1
84ad329ffffffff-2013-02,3
84ad329ffffffff-2013-08,2
84ad329ffffffff-2013-10,1
84ad329ffffffff-2013-11,1
84ad329ffffffff-2014-02,2
84ad329ffffffff-2014-09,2
84ad329ffffffff-2014-10,6
84ad329ffffffff-2014-11,1
84ad329ffffffff-2015-01,5
84ad329ffffffff-2015-02,1
84ad329ffffffff-2015-04,1
84ad329ffffffff-2015-07,2
84ad329ffffffff-2015-08,9
84ad329ffffffff-2015-09,2
84ad329ffffffff-2015-10,7
84ad329ffffffff-2015-11,7
84ad329ffffffff-2015-12,1
84ad329ffffffff-2016-01,1
84ad329ffffffff-2016-02,1
84ad329ffffffff-2016-03,4
84ad329ffffffff-2016-04,2
