index,n
84cf151ffffffff-2023-03,2
84cf329ffffffff-2019-11,6
84cf32dffffffff-2019-11,3
84de625ffffffff-2022-02,1
84de629ffffffff-2013-06,1
84de629ffffffff-2013-12,1
84de629ffffffff-2014-03,1
84de629ffffffff-2014-12,3
84de629ffffffff-2016-11,3
84de629ffffffff-2017-03,1
84de629ffffffff-2018-03,1
84de629ffffffff-2018-11,16
84de629ffffffff-2020-01,3
84de629ffffffff-2020-03,2
84de629ffffffff-2021-12,4
84de629ffffffff-2022-02,5
84de629ffffffff-2022-10,1
84de629ffffffff-2022-11,18
84de629ffffffff-2023-03,2
84de62dffffffff-2012-01,1
84de62dffffffff-2012-02,1
84de62dffffffff-2012-03,5
84de62dffffffff-2012-12,2
84de62dffffffff-2013-06,1
84de62dffffffff-2014-01,5
84de62dffffffff-2014-03,3
84de62dffffffff-2014-11,2
84de62dffffffff-2014-12,11
84de62dffffffff-2015-01,1
84de62dffffffff-2015-02,1
84de62dffffffff-2015-03,1
84de62dffffffff-2015-10,2
84de62dffffffff-2015-11,5
84de62dffffffff-2015-12,3
84de62dffffffff-2016-10,1
84de62dffffffff-2016-11,3
84de62dffffffff-2016-12,6
84de62dffffffff-2017-01,3
84de62dffffffff-2017-02,4
84de62dffffffff-2017-03,4
84de62dffffffff-2017-10,4
84de62dffffffff-2017-11,2
84de62dffffffff-2017-12,4
84de62dffffffff-2018-01,2
84de62dffffffff-2018-02,11
84de62dffffffff-2018-03,6
84de62dffffffff-2018-10,1
84de62dffffffff-2018-11,34
84de62dffffffff-2018-12,5
84de62dffffffff-2019-01,2
84de62dffffffff-2019-02,6
84de62dffffffff-2019-03,4
84de62dffffffff-2019-10,3
84de62dffffffff-2019-11,4
84de62dffffffff-2019-12,19
84de62dffffffff-2020-01,5
84de62dffffffff-2020-02,4
84de62dffffffff-2020-03,2
84de62dffffffff-2021-03,1
84de62dffffffff-2021-11,4
84de62dffffffff-2021-12,8
84de62dffffffff-2022-01,4
84de62dffffffff-2022-02,8
84de62dffffffff-2022-10,12
84de62dffffffff-2022-11,51
84de62dffffffff-2022-12,12
84de62dffffffff-2023-01,13
84de62dffffffff-2023-02,8
84de62dffffffff-2023-03,12
84de62dffffffff-2023-11,10
84de661ffffffff-2012-12,1
84de661ffffffff-2014-12,2
84de661ffffffff-2015-11,1
84de661ffffffff-2017-11,1
84de661ffffffff-2018-11,2
84de661ffffffff-2018-12,1
84de661ffffffff-2019-03,2
84de661ffffffff-2019-10,1
84de661ffffffff-2019-11,1
84de661ffffffff-2020-03,1
84de661ffffffff-2021-12,2
84de661ffffffff-2022-01,1
84de661ffffffff-2022-11,2
84de661ffffffff-2022-12,5
84de661ffffffff-2023-01,1
84de665ffffffff-2012-12,1
84de665ffffffff-2013-12,2
84de665ffffffff-2014-12,2
84de665ffffffff-2015-01,1
84de665ffffffff-2016-01,1
84de665ffffffff-2016-11,3
84de665ffffffff-2017-01,1
84de665ffffffff-2017-03,1
84de665ffffffff-2018-01,3
84de665ffffffff-2018-10,4
84de665ffffffff-2018-11,16
84de665ffffffff-2018-12,1
84de665ffffffff-2019-03,1
84de665ffffffff-2021-01,2
84de665ffffffff-2021-03,1
84de665ffffffff-2021-12,14
84de665ffffffff-2022-10,7
84de665ffffffff-2022-11,5
84de665ffffffff-2023-01,4
84de665ffffffff-2023-02,1
84de665ffffffff-2023-03,8
84de665ffffffff-2023-11,4
84de667ffffffff-2014-03,2
84de667ffffffff-2021-03,1
84de667ffffffff-2021-04,1
84de701ffffffff-2017-12,1
84de701ffffffff-2019-03,2
84de701ffffffff-2019-04,1
84de701ffffffff-2019-05,2
84de701ffffffff-2019-11,1
84de701ffffffff-2020-03,3
84de701ffffffff-2020-07,1
84de701ffffffff-2020-10,1
84de701ffffffff-2021-02,1
84de701ffffffff-2021-03,1
84de701ffffffff-2022-03,1
84de707ffffffff-2013-11,2
84de707ffffffff-2014-02,1
84de707ffffffff-2014-12,3
84de707ffffffff-2015-02,1
84de707ffffffff-2015-03,1
84de707ffffffff-2015-11,2
84de707ffffffff-2016-01,1
84de707ffffffff-2016-02,1
84de707ffffffff-2016-03,1
84de707ffffffff-2017-01,1
84de707ffffffff-2017-10,3
84de707ffffffff-2017-11,2
84de707ffffffff-2017-12,1
84de707ffffffff-2018-01,9
84de707ffffffff-2018-03,2
84de707ffffffff-2018-06,1
84de707ffffffff-2018-12,3
84de707ffffffff-2019-01,1
84de707ffffffff-2019-03,21
84de707ffffffff-2019-04,24
84de707ffffffff-2019-05,27
84de707ffffffff-2019-06,5
84de707ffffffff-2019-07,2
84de707ffffffff-2019-08,4
84de707ffffffff-2019-09,8
84de707ffffffff-2019-10,25
84de707ffffffff-2019-11,13
84de707ffffffff-2019-12,8
84de707ffffffff-2020-01,3
84de707ffffffff-2020-02,10
84de707ffffffff-2020-03,11
84de707ffffffff-2020-04,13
84de707ffffffff-2020-05,17
84de707ffffffff-2020-06,7
84de707ffffffff-2020-07,6
84de707ffffffff-2020-08,1
84de707ffffffff-2020-09,6
84de707ffffffff-2020-10,3
84de707ffffffff-2020-11,4
84de707ffffffff-2020-12,7
84de707ffffffff-2021-01,10
84de707ffffffff-2021-02,9
84de707ffffffff-2021-03,6
84de707ffffffff-2021-04,10
84de707ffffffff-2021-05,6
84de707ffffffff-2021-06,2
84de707ffffffff-2021-07,7
84de707ffffffff-2021-08,2
84de707ffffffff-2021-09,2
84de707ffffffff-2021-10,10
84de707ffffffff-2021-11,4
84de707ffffffff-2021-12,7
84de707ffffffff-2022-01,8
84de707ffffffff-2022-02,1
84de707ffffffff-2022-03,1
84de707ffffffff-2022-04,4
84de707ffffffff-2022-05,2
84de707ffffffff-2022-06,7
84de707ffffffff-2022-07,6
84de707ffffffff-2022-08,5
84de707ffffffff-2022-09,3
84de707ffffffff-2022-10,4
84de707ffffffff-2022-11,47
84de707ffffffff-2022-12,4
84de707ffffffff-2023-01,3
84de707ffffffff-2023-02,5
84de707ffffffff-2023-03,2
84de707ffffffff-2023-08,1
84de707ffffffff-2023-09,4
84de707ffffffff-2023-10,1
84de707ffffffff-2023-11,1
84de709ffffffff-2012-12,1
84de709ffffffff-2014-01,1
84de709ffffffff-2014-12,6
84de709ffffffff-2015-01,2
84de709ffffffff-2015-11,1
84de709ffffffff-2018-12,1
84de709ffffffff-2019-01,3
84de709ffffffff-2019-11,1
84de709ffffffff-2020-03,1
84de709ffffffff-2020-08,1
84de709ffffffff-2020-12,1
84de709ffffffff-2021-01,1
84de709ffffffff-2021-12,2
84de709ffffffff-2022-01,6
84de709ffffffff-2022-10,5
84de709ffffffff-2022-11,3
84de709ffffffff-2022-12,5
84de709ffffffff-2023-02,10
84de709ffffffff-2023-08,1
84de709ffffffff-2023-10,2
84de709ffffffff-2023-11,2
84de70dffffffff-2023-02,1
84de71dffffffff-2020-03,1
84de739ffffffff-2019-02,1
84de743ffffffff-2013-11,1
84de743ffffffff-2013-12,1
84de743ffffffff-2014-12,10
84de743ffffffff-2015-10,4
84de743ffffffff-2016-01,1
84de743ffffffff-2016-11,3
84de743ffffffff-2017-02,5
84de743ffffffff-2018-01,9
84de743ffffffff-2018-02,4
84de743ffffffff-2018-03,15
84de743ffffffff-2018-04,25
84de743ffffffff-2018-05,6
84de743ffffffff-2018-11,14
84de743ffffffff-2018-12,12
84de743ffffffff-2019-01,26
84de743ffffffff-2019-02,33
84de743ffffffff-2019-04,3
84de743ffffffff-2019-05,11
84de743ffffffff-2019-08,1
84de743ffffffff-2019-10,3
84de743ffffffff-2019-11,11
84de743ffffffff-2019-12,14
84de743ffffffff-2020-01,46
84de743ffffffff-2020-02,17
84de743ffffffff-2020-03,39
84de743ffffffff-2020-04,53
84de743ffffffff-2020-05,45
84de743ffffffff-2020-06,6
84de743ffffffff-2020-09,2
84de743ffffffff-2020-11,2
84de743ffffffff-2020-12,1
84de743ffffffff-2021-01,1
84de743ffffffff-2021-02,4
84de743ffffffff-2021-03,1
84de743ffffffff-2021-05,1
84de743ffffffff-2021-10,2
84de743ffffffff-2021-11,2
84de743ffffffff-2021-12,1
84de743ffffffff-2022-01,2
84de743ffffffff-2022-03,1
84de743ffffffff-2022-04,1
84de743ffffffff-2022-07,2
84de743ffffffff-2022-09,1
84de743ffffffff-2022-10,8
84de743ffffffff-2022-11,4
84de743ffffffff-2022-12,23
84de743ffffffff-2023-01,1
84de743ffffffff-2023-02,3
