index,n
8466a01ffffffff-2014-07,2
8466a01ffffffff-2015-05,1
8466a01ffffffff-2015-11,1
8466a01ffffffff-2016-04,2
8466a01ffffffff-2018-08,5
8466a01ffffffff-2018-09,1
8466a01ffffffff-2020-05,1
8466a01ffffffff-2022-07,1
8466a01ffffffff-2023-07,1
8466a01ffffffff-2023-08,1
8466a05ffffffff-2015-05,2
8466a05ffffffff-2016-11,3
8466a05ffffffff-2017-04,1
8466a05ffffffff-2018-04,1
8466a05ffffffff-2018-05,1
8466a05ffffffff-2018-10,2
8466a05ffffffff-2019-05,2
8466a05ffffffff-2019-06,1
8466a05ffffffff-2021-05,3
8466a05ffffffff-2022-04,1
8466a05ffffffff-2023-09,1
8466a0bffffffff-2012-01,1
8466a0bffffffff-2013-07,2
8466a0bffffffff-2014-03,2
8466a0bffffffff-2014-04,2
8466a0bffffffff-2014-09,1
8466a0bffffffff-2015-03,3
8466a0bffffffff-2016-02,1
8466a0bffffffff-2016-04,3
8466a0bffffffff-2016-05,1
8466a0bffffffff-2017-02,1
8466a0bffffffff-2017-03,2
8466a0bffffffff-2017-04,1
8466a0bffffffff-2017-10,1
8466a0bffffffff-2017-11,1
8466a0bffffffff-2017-12,4
8466a0bffffffff-2018-03,3
8466a0bffffffff-2018-04,1
8466a0bffffffff-2018-05,5
8466a0bffffffff-2018-07,1
8466a0bffffffff-2018-09,1
8466a0bffffffff-2019-04,4
8466a0bffffffff-2019-05,3
8466a0bffffffff-2019-06,1
8466a0bffffffff-2019-09,1
8466a0bffffffff-2019-10,3
8466a0bffffffff-2019-12,7
8466a0bffffffff-2020-01,1
8466a0bffffffff-2020-03,1
8466a0bffffffff-2020-10,1
8466a0bffffffff-2021-02,2
8466a0bffffffff-2021-05,5
8466a0bffffffff-2021-06,1
8466a0bffffffff-2021-07,9
8466a0bffffffff-2021-08,1
8466a0bffffffff-2021-10,12
8466a0bffffffff-2021-11,6
8466a0bffffffff-2022-01,1
8466a0bffffffff-2022-02,12
8466a0bffffffff-2022-03,2
8466a0bffffffff-2022-04,9
8466a0bffffffff-2022-05,19
8466a0bffffffff-2022-06,5
8466a0bffffffff-2022-07,1
8466a0bffffffff-2022-09,1
8466a0bffffffff-2022-10,2
8466a0bffffffff-2022-11,4
8466a0bffffffff-2022-12,3
8466a0bffffffff-2023-01,1
8466a0bffffffff-2023-02,7
8466a0bffffffff-2023-03,8
8466a0bffffffff-2023-04,3
8466a0bffffffff-2023-05,3
8466a0bffffffff-2023-06,2
8466a0bffffffff-2023-07,3
8466a0bffffffff-2023-09,1
8466a29ffffffff-2019-08,2
8466a29ffffffff-2020-03,1
8466a29ffffffff-2022-05,2
8466a2dffffffff-2014-07,1
8466a2dffffffff-2014-11,1
8466a2dffffffff-2015-02,2
8466a2dffffffff-2016-07,3
8466a2dffffffff-2016-10,4
8466a2dffffffff-2016-11,2
8466a2dffffffff-2017-02,2
8466a2dffffffff-2018-02,2
8466a2dffffffff-2018-03,2
8466a2dffffffff-2018-05,2
8466a2dffffffff-2018-08,1
8466a2dffffffff-2018-10,2
8466a2dffffffff-2019-11,2
8466a2dffffffff-2021-02,2
8466a2dffffffff-2021-12,4
8466a2dffffffff-2022-02,4
8466a2dffffffff-2022-03,2
8466a2dffffffff-2022-04,1
8466a2dffffffff-2022-10,1
8466a2dffffffff-2023-01,2
8466a2dffffffff-2023-03,1
8466a57ffffffff-2012-01,1
8466a57ffffffff-2012-05,1
8466a57ffffffff-2012-06,1
8466a57ffffffff-2013-04,1
8466a57ffffffff-2013-11,4
8466a57ffffffff-2013-12,1
8466a57ffffffff-2014-03,4
8466a57ffffffff-2014-04,4
8466a57ffffffff-2014-08,1
8466a57ffffffff-2014-12,2
8466a57ffffffff-2015-01,1
8466a57ffffffff-2015-03,3
8466a57ffffffff-2015-04,1
8466a57ffffffff-2015-06,1
8466a57ffffffff-2015-11,4
8466a57ffffffff-2015-12,3
8466a57ffffffff-2016-01,2
8466a57ffffffff-2016-02,2
8466a57ffffffff-2016-03,8
8466a57ffffffff-2016-04,3
8466a57ffffffff-2016-07,2
8466a57ffffffff-2016-09,2
8466a57ffffffff-2016-11,6
8466a57ffffffff-2016-12,2
8466a57ffffffff-2017-01,4
8466a57ffffffff-2017-02,1
8466a57ffffffff-2017-03,7
8466a57ffffffff-2017-06,2
8466a57ffffffff-2017-10,2
8466a57ffffffff-2018-02,3
8466a57ffffffff-2018-03,2
8466a57ffffffff-2018-04,3
8466a57ffffffff-2018-07,1
8466a57ffffffff-2018-08,1
8466a57ffffffff-2018-09,3
8466a57ffffffff-2019-01,1
8466a57ffffffff-2019-02,2
8466a57ffffffff-2019-03,1
8466a57ffffffff-2019-04,5
8466a57ffffffff-2019-06,1
8466a57ffffffff-2019-07,9
8466a57ffffffff-2019-08,2
8466a57ffffffff-2019-09,2
8466a57ffffffff-2019-11,1
8466a57ffffffff-2019-12,5
8466a57ffffffff-2020-01,16
8466a57ffffffff-2020-03,6
