index,n
845280dffffffff-2016-11,1
8452851ffffffff-2018-03,1
8452997ffffffff-2018-03,1
8452997ffffffff-2020-01,1
8452997ffffffff-2021-02,2
84529b3ffffffff-2019-11,1
84529b5ffffffff-2012-02,1
84529b5ffffffff-2014-11,1
84529b5ffffffff-2018-02,1
84529b5ffffffff-2018-11,1
84529b5ffffffff-2023-03,1
84529b9ffffffff-2017-02,1
84529b9ffffffff-2018-10,1
84529b9ffffffff-2019-11,1
84529b9ffffffff-2020-03,1
84529b9ffffffff-2022-11,1
84529b9ffffffff-2022-12,4
84529bbffffffff-2018-10,1
84529bbffffffff-2019-04,1
847aca3ffffffff-2019-10,1
847ad91ffffffff-2020-02,2
