index,n
8468123ffffffff-2015-06,9
8468123ffffffff-2015-10,6
8468123ffffffff-2016-06,9
8468123ffffffff-2016-10,4
8468123ffffffff-2017-03,2
8468123ffffffff-2017-04,2
8468123ffffffff-2017-05,1
8468123ffffffff-2017-07,3
8468123ffffffff-2017-10,3
8468123ffffffff-2018-01,1
8468123ffffffff-2018-03,6
8468123ffffffff-2018-06,2
8468123ffffffff-2018-07,5
8468123ffffffff-2018-08,12
8468123ffffffff-2018-09,1
8468123ffffffff-2019-06,2
8468123ffffffff-2019-07,3
8468123ffffffff-2019-08,3
8468123ffffffff-2019-09,6
8468123ffffffff-2019-10,5
8468123ffffffff-2019-11,1
8468123ffffffff-2020-03,1
8468123ffffffff-2022-03,2
8468123ffffffff-2022-05,7
8468123ffffffff-2022-07,8
8468123ffffffff-2022-09,16
8468123ffffffff-2023-01,1
8468123ffffffff-2023-02,1
8468123ffffffff-2023-03,6
8468123ffffffff-2023-04,4
8468123ffffffff-2023-05,6
8468123ffffffff-2023-06,28
8468123ffffffff-2023-07,2
8468123ffffffff-2023-08,2
8468123ffffffff-2023-11,7
8468125ffffffff-2014-07,1
846812bffffffff-2022-09,1
8468acdffffffff-2022-05,5
