index,n
8454563ffffffff-2023-04,3
84545adffffffff-2018-06,1
84545ebffffffff-2022-11,1
8454e05ffffffff-2020-01,3
8454e35ffffffff-2013-07,2
8454e4dffffffff-2023-02,2
8454e51ffffffff-2016-10,2
8454e51ffffffff-2020-02,1
8454e51ffffffff-2020-12,2
8454e51ffffffff-2022-12,1
8454e51ffffffff-2023-02,2
8454e51ffffffff-2023-03,5
8454e59ffffffff-2020-03,2
8454e59ffffffff-2023-01,2
8454e5bffffffff-2019-02,1
8454e9bffffffff-2018-11,1
8454e9dffffffff-2017-04,1
8454eadffffffff-2016-09,1
8454edbffffffff-2022-10,1
8454ee3ffffffff-2013-07,4
8454ee3ffffffff-2020-10,1
8458883ffffffff-2019-06,1
845890dffffffff-2013-10,1
8458969ffffffff-2018-08,1
8458b11ffffffff-2012-10,3
8458b1dffffffff-2012-10,2
8458b1dffffffff-2012-12,1
8458b1dffffffff-2013-01,1
8458b1dffffffff-2013-04,1
8458b1dffffffff-2013-05,3
8458b1dffffffff-2013-06,1
8458b51ffffffff-2013-11,1
8458b51ffffffff-2014-03,2
8458b51ffffffff-2014-09,1
8458c29ffffffff-2017-12,1
8458c8bffffffff-2012-03,3
8458c8bffffffff-2016-11,1
8458c8bffffffff-2020-06,1
8458cd9ffffffff-2012-03,2
8458cd9ffffffff-2016-11,1
8458cd9ffffffff-2020-06,1
8458d69ffffffff-2023-09,1
8458debffffffff-2016-12,1
8458debffffffff-2017-08,1
8458debffffffff-2019-08,5
8458debffffffff-2020-08,2
8458debffffffff-2022-03,1
8458dedffffffff-2013-06,1
8458e2dffffffff-2013-11,1
8458e2dffffffff-2014-02,1
8458e2dffffffff-2016-11,2
8458e2dffffffff-2017-09,1
8458e2dffffffff-2018-05,1
8458e2dffffffff-2018-06,4
8458e2dffffffff-2018-07,4
8458e2dffffffff-2018-08,3
8458e2dffffffff-2018-10,1
8458e2dffffffff-2019-05,1
8458e2dffffffff-2019-06,1
8458e2dffffffff-2019-07,1
8458e2dffffffff-2019-09,2
8458e2dffffffff-2019-10,1
8458e2dffffffff-2019-11,1
8458e2dffffffff-2019-12,1
8458e2dffffffff-2020-03,1
8458e2dffffffff-2020-04,3
8458e2dffffffff-2020-05,2
8458e2dffffffff-2020-09,1
8458e2dffffffff-2021-03,1
8458e2dffffffff-2021-05,2
8458e2dffffffff-2022-05,10
8458e2dffffffff-2022-10,2
8458e2dffffffff-2022-12,3
8458e2dffffffff-2023-04,1
8458e2dffffffff-2023-05,3
8458e2dffffffff-2023-06,2
8458e49ffffffff-2012-05,1
8458e49ffffffff-2012-06,2
8458e49ffffffff-2012-09,1
8458f11ffffffff-2021-04,1
8458f47ffffffff-2023-10,1
8458f59ffffffff-2023-09,1
8458f5bffffffff-2019-12,1
8458f5bffffffff-2022-12,1
8458f5bffffffff-2023-09,2
845991bffffffff-2023-08,1
846a109ffffffff-2021-10,3
846a109ffffffff-2021-12,1
846a109ffffffff-2022-01,2
846a109ffffffff-2022-06,1
846a109ffffffff-2023-03,1
846a10dffffffff-2021-12,1
846a10dffffffff-2022-01,2
846a155ffffffff-2021-12,1
846a155ffffffff-2022-05,1
846a52bffffffff-2016-01,1
846a5a1ffffffff-2020-10,1
846a5a1ffffffff-2023-10,1
846a5a1ffffffff-2023-11,1
846a5a9ffffffff-2018-05,1
846a5a9ffffffff-2019-01,2
846a5a9ffffffff-2019-05,1
846a5a9ffffffff-2021-06,3
