index,n
8464149ffffffff-2015-05,1
8464149ffffffff-2018-04,1
8464149ffffffff-2019-05,1
846414dffffffff-2015-06,2
846414dffffffff-2016-05,1
8464161ffffffff-2015-12,1
8464225ffffffff-2019-05,1
846430bffffffff-2017-10,1
846430bffffffff-2019-03,1
8464319ffffffff-2019-02,2
8464319ffffffff-2020-01,1
8464319ffffffff-2020-03,2
8464319ffffffff-2023-01,1
8464319ffffffff-2023-03,1
846431dffffffff-2015-02,1
846431dffffffff-2018-04,1
8464337ffffffff-2014-05,2
8464343ffffffff-2013-02,2
8464343ffffffff-2013-06,2
8464343ffffffff-2014-03,1
8464343ffffffff-2015-01,1
8464343ffffffff-2015-02,2
8464343ffffffff-2015-08,2
8464343ffffffff-2015-11,2
8464343ffffffff-2016-02,3
8464343ffffffff-2016-04,1
8464343ffffffff-2016-07,1
8464343ffffffff-2017-03,2
8464343ffffffff-2017-06,3
8464343ffffffff-2018-01,1
8464343ffffffff-2018-02,1
8464343ffffffff-2018-03,5
8464343ffffffff-2018-04,4
8464343ffffffff-2018-12,3
8464343ffffffff-2019-02,1
8464343ffffffff-2019-03,1
8464343ffffffff-2019-08,1
8464343ffffffff-2019-12,1
8464343ffffffff-2020-01,2
8464343ffffffff-2020-02,1
8464343ffffffff-2020-03,7
8464343ffffffff-2020-07,2
8464343ffffffff-2021-04,5
8464343ffffffff-2022-01,1
8464343ffffffff-2022-04,3
8464343ffffffff-2022-06,4
8464343ffffffff-2022-08,3
8464343ffffffff-2022-09,8
8464343ffffffff-2022-10,2
8464343ffffffff-2022-11,5
8464343ffffffff-2023-01,5
8464343ffffffff-2023-02,6
8464343ffffffff-2023-03,12
8464343ffffffff-2023-04,10
8464343ffffffff-2023-08,1
8464343ffffffff-2023-10,8
8464343ffffffff-2023-11,1
846434bffffffff-2017-03,1
846434bffffffff-2017-05,1
8464353ffffffff-2020-03,3
8464359ffffffff-2015-01,1
8464359ffffffff-2016-05,1
8464359ffffffff-2017-04,1
8464359ffffffff-2018-02,2
8464359ffffffff-2018-03,1
8464359ffffffff-2018-11,1
8464359ffffffff-2020-03,4
8464359ffffffff-2021-05,2
8464359ffffffff-2023-02,1
8464359ffffffff-2023-04,1
8464359ffffffff-2023-06,1
8464359ffffffff-2023-10,1
846435bffffffff-2014-06,1
846435bffffffff-2017-05,1
846435bffffffff-2023-02,1
8465001ffffffff-2015-11,1
8465005ffffffff-2013-03,1
8465005ffffffff-2013-09,1
8465005ffffffff-2014-06,1
8465005ffffffff-2014-07,1
8465005ffffffff-2014-08,15
8465005ffffffff-2014-11,1
8465005ffffffff-2015-02,5
8465005ffffffff-2015-03,5
8465005ffffffff-2015-07,2
8465005ffffffff-2015-09,6
8465005ffffffff-2015-12,1
8465005ffffffff-2016-01,1
8465005ffffffff-2016-03,1
8465005ffffffff-2016-05,3
8465005ffffffff-2016-06,1
8465005ffffffff-2016-07,1
8465005ffffffff-2016-08,1
8465005ffffffff-2016-09,5
8465005ffffffff-2016-11,1
8465005ffffffff-2017-02,2
8465005ffffffff-2017-03,9
8465005ffffffff-2017-04,6
8465005ffffffff-2017-05,4
8465005ffffffff-2017-06,4
8465005ffffffff-2017-07,4
8465005ffffffff-2017-08,4
8465005ffffffff-2017-09,2
8465005ffffffff-2017-10,1
8465005ffffffff-2018-01,1
8465005ffffffff-2018-02,1
8465005ffffffff-2018-03,7
8465005ffffffff-2018-05,2
8465005ffffffff-2018-06,2
8465005ffffffff-2018-07,1
8465005ffffffff-2018-09,1
8465005ffffffff-2018-10,1
8465005ffffffff-2018-11,1
8465005ffffffff-2019-02,1
8465005ffffffff-2019-04,2
8465005ffffffff-2019-05,1
8465005ffffffff-2019-07,4
8465005ffffffff-2019-08,10
8465005ffffffff-2019-09,2
8465005ffffffff-2019-10,4
8465005ffffffff-2020-01,1
8465005ffffffff-2020-02,12
8465005ffffffff-2020-03,7
8465005ffffffff-2021-11,1
8465005ffffffff-2022-03,4
8465005ffffffff-2022-04,3
8465005ffffffff-2022-06,3
8465005ffffffff-2022-07,2
8465005ffffffff-2022-08,4
8465005ffffffff-2022-09,4
8465005ffffffff-2022-10,9
8465005ffffffff-2022-11,2
8465005ffffffff-2023-01,5
8465005ffffffff-2023-02,2
8465005ffffffff-2023-03,4
8465005ffffffff-2023-04,4
8465005ffffffff-2023-05,5
8465005ffffffff-2023-06,27
8465005ffffffff-2023-07,9
8465005ffffffff-2023-08,2
8465005ffffffff-2023-09,5
8465005ffffffff-2023-10,4
8465005ffffffff-2023-11,6
8465009ffffffff-2015-03,1
8465009ffffffff-2015-06,1
8465009ffffffff-2015-09,1
8465009ffffffff-2016-04,1
8465009ffffffff-2016-08,1
8465009ffffffff-2016-10,1
8465009ffffffff-2016-12,1
8465009ffffffff-2017-04,1
8465009ffffffff-2017-06,1
8465009ffffffff-2017-09,1
8465009ffffffff-2017-12,1
8465009ffffffff-2018-02,2
8465009ffffffff-2018-03,1
8465009ffffffff-2018-06,1
8465009ffffffff-2018-08,2
8465009ffffffff-2018-10,2
8465009ffffffff-2019-02,1
8465009ffffffff-2019-05,1
8465009ffffffff-2019-06,1
8465009ffffffff-2019-07,2
8465009ffffffff-2019-08,5
8465009ffffffff-2019-09,2
8465009ffffffff-2019-11,1
8465009ffffffff-2019-12,4
8465009ffffffff-2020-02,10
8465009ffffffff-2020-07,1
8465009ffffffff-2021-03,1
8465009ffffffff-2021-05,1
8465009ffffffff-2022-08,5
8465009ffffffff-2022-10,1
8465009ffffffff-2022-12,2
8465009ffffffff-2023-03,1
8465009ffffffff-2023-05,5
8465009ffffffff-2023-06,4
8465009ffffffff-2023-07,1
8465009ffffffff-2023-08,17
8465009ffffffff-2023-09,1
846500bffffffff-2014-10,1
846500bffffffff-2014-11,1
846500bffffffff-2014-12,1
846500bffffffff-2015-02,1
846500bffffffff-2015-06,5
846500bffffffff-2015-11,1
846500bffffffff-2016-01,1
846500bffffffff-2016-11,1
846500bffffffff-2016-12,3
846500bffffffff-2017-04,1
846500bffffffff-2018-08,1
846500bffffffff-2019-07,1
846500bffffffff-2019-09,1
846500bffffffff-2020-02,1
846500bffffffff-2020-07,1
846500bffffffff-2022-01,1
846500bffffffff-2022-07,2
846500bffffffff-2022-08,1
846500bffffffff-2022-11,7
846500bffffffff-2023-02,2
846500bffffffff-2023-06,3
846500bffffffff-2023-08,2
846500bffffffff-2023-10,1
846500dffffffff-2019-08,1
846500dffffffff-2021-02,1
8465015ffffffff-2019-01,1
8465015ffffffff-2020-11,1
8465029ffffffff-2017-06,1
8465029ffffffff-2017-07,1
8465029ffffffff-2018-02,1
8465029ffffffff-2018-03,3
8465029ffffffff-2019-08,2
8465029ffffffff-2020-02,1
8465029ffffffff-2022-12,1
8465029ffffffff-2023-03,2
8465029ffffffff-2023-05,1
846502bffffffff-2015-09,1
846502bffffffff-2017-04,11
846502bffffffff-2017-06,1
846502bffffffff-2018-04,3
846502bffffffff-2018-09,3
846502bffffffff-2019-02,1
846502bffffffff-2019-04,5
846502bffffffff-2019-05,2
846502bffffffff-2019-07,2
846502bffffffff-2019-09,1
846502bffffffff-2020-07,5
846502bffffffff-2020-10,2
846502bffffffff-2021-03,1
846502bffffffff-2021-11,1
846502bffffffff-2021-12,8
846502bffffffff-2022-01,4
846502bffffffff-2022-04,1
846502bffffffff-2022-06,1
846502bffffffff-2022-07,1
846502bffffffff-2022-09,1
846502bffffffff-2023-06,2
846502bffffffff-2023-10,1
846502dffffffff-2018-07,1
846502dffffffff-2019-07,4
846502dffffffff-2021-09,1
846502dffffffff-2023-07,5
8465031ffffffff-2016-10,1
8465031ffffffff-2019-04,1
8465031ffffffff-2019-07,2
8465031ffffffff-2021-01,1
8465031ffffffff-2021-09,1
8465031ffffffff-2022-06,2
8465031ffffffff-2022-08,1
8465031ffffffff-2022-11,1
8465033ffffffff-2015-03,2
8465033ffffffff-2017-02,1
8465033ffffffff-2019-05,2
8465033ffffffff-2019-07,1
8465033ffffffff-2019-08,3
8465033ffffffff-2019-10,1
8465033ffffffff-2019-11,1
8465033ffffffff-2020-03,14
8465033ffffffff-2020-10,3
8465033ffffffff-2020-12,1
8465033ffffffff-2021-01,2
8465033ffffffff-2021-03,2
8465033ffffffff-2021-10,2
8465033ffffffff-2021-12,1
8465033ffffffff-2022-01,5
8465033ffffffff-2022-04,1
8465033ffffffff-2022-05,1
8465033ffffffff-2022-08,1
8465033ffffffff-2022-09,1
8465033ffffffff-2022-10,3
8465033ffffffff-2022-11,1
8465033ffffffff-2023-01,1
8465033ffffffff-2023-02,1
8465033ffffffff-2023-04,2
8465033ffffffff-2023-06,1
8465033ffffffff-2023-07,5
8465033ffffffff-2023-10,1
8465037ffffffff-2015-04,2
8465037ffffffff-2015-05,1
8465037ffffffff-2015-08,2
8465037ffffffff-2016-07,1
8465037ffffffff-2016-08,1
8465037ffffffff-2016-10,3
8465037ffffffff-2017-07,3
8465037ffffffff-2017-08,3
8465037ffffffff-2018-02,3
8465037ffffffff-2018-10,1
8465037ffffffff-2018-12,2
8465037ffffffff-2019-01,1
8465037ffffffff-2020-02,4
8465037ffffffff-2020-08,4
8465037ffffffff-2020-09,6
8465037ffffffff-2020-11,2
8465037ffffffff-2021-10,1
8465037ffffffff-2021-11,3
8465037ffffffff-2022-03,1
8465037ffffffff-2022-05,1
8465037ffffffff-2022-06,1
8465037ffffffff-2022-07,2
8465037ffffffff-2022-08,1
8465037ffffffff-2022-10,1
8465037ffffffff-2023-02,1
8465037ffffffff-2023-07,2
8465037ffffffff-2023-10,1
8465039ffffffff-2015-02,1
8465039ffffffff-2015-03,1
8465039ffffffff-2019-04,1
8465039ffffffff-2019-11,1
8465039ffffffff-2019-12,2
8465039ffffffff-2020-10,1
8465039ffffffff-2020-12,2
8465039ffffffff-2022-05,1
8465039ffffffff-2023-11,1
846503bffffffff-2012-10,1
846503bffffffff-2020-08,1
846503bffffffff-2020-12,2
846503bffffffff-2021-02,2
8465043ffffffff-2016-03,1
8465047ffffffff-2015-08,1
8465047ffffffff-2023-02,1
8465047ffffffff-2023-03,1
8465047ffffffff-2023-04,1
8465047ffffffff-2023-06,1
846504dffffffff-2022-11,1
8465051ffffffff-2013-12,1
8465051ffffffff-2017-02,1
8465051ffffffff-2017-06,3
8465051ffffffff-2018-01,1
8465051ffffffff-2018-03,1
8465051ffffffff-2018-04,1
8465051ffffffff-2018-05,2
8465051ffffffff-2018-08,3
8465051ffffffff-2018-09,1
8465051ffffffff-2018-10,3
8465051ffffffff-2018-11,2
8465051ffffffff-2018-12,1
8465051ffffffff-2019-01,1
8465051ffffffff-2019-07,7
8465051ffffffff-2019-09,4
8465051ffffffff-2019-10,18
8465051ffffffff-2019-11,2
8465051ffffffff-2019-12,4
8465051ffffffff-2020-02,6
8465051ffffffff-2020-03,6
8465051ffffffff-2020-06,1
8465051ffffffff-2020-07,8
8465051ffffffff-2020-08,1
8465051ffffffff-2020-09,2
8465051ffffffff-2020-10,1
8465051ffffffff-2020-11,2
8465051ffffffff-2021-04,2
8465051ffffffff-2021-08,1
8465051ffffffff-2021-10,6
8465051ffffffff-2021-11,2
8465051ffffffff-2021-12,7
8465051ffffffff-2022-01,5
8465051ffffffff-2022-02,3
8465051ffffffff-2022-03,3
8465051ffffffff-2022-04,4
8465051ffffffff-2022-05,1
8465051ffffffff-2022-06,9
8465051ffffffff-2022-07,2
8465051ffffffff-2022-08,4
8465051ffffffff-2022-09,3
8465051ffffffff-2022-10,8
8465051ffffffff-2022-11,2
8465051ffffffff-2022-12,3
8465051ffffffff-2023-01,5
8465051ffffffff-2023-02,5
8465051ffffffff-2023-03,3
8465051ffffffff-2023-04,4
8465051ffffffff-2023-05,4
8465051ffffffff-2023-06,3
8465051ffffffff-2023-08,1
8465051ffffffff-2023-10,5
8465051ffffffff-2023-11,4
8465055ffffffff-2012-02,1
8465055ffffffff-2012-06,1
8465055ffffffff-2013-06,1
8465055ffffffff-2013-08,1
8465055ffffffff-2016-02,1
8465055ffffffff-2016-09,2
8465055ffffffff-2017-01,1
8465055ffffffff-2017-02,1
8465055ffffffff-2017-05,2
8465055ffffffff-2017-09,1
8465055ffffffff-2017-10,1
8465055ffffffff-2018-02,1
8465055ffffffff-2018-03,1
8465055ffffffff-2018-04,6
8465055ffffffff-2018-05,1
8465055ffffffff-2018-08,1
8465055ffffffff-2018-09,1
8465055ffffffff-2018-11,2
8465055ffffffff-2019-01,1
8465055ffffffff-2019-03,1
8465055ffffffff-2019-04,2
8465055ffffffff-2019-06,2
8465055ffffffff-2019-07,3
8465055ffffffff-2019-10,2
8465055ffffffff-2019-11,3
8465055ffffffff-2020-02,1
8465055ffffffff-2020-07,2
8465055ffffffff-2020-08,3
8465055ffffffff-2020-10,1
8465055ffffffff-2020-12,5
8465055ffffffff-2021-01,4
8465055ffffffff-2021-02,1
8465055ffffffff-2021-04,1
8465055ffffffff-2021-05,4
8465055ffffffff-2021-08,3
8465055ffffffff-2021-09,11
8465055ffffffff-2021-10,8
8465055ffffffff-2021-11,5
8465055ffffffff-2021-12,2
8465055ffffffff-2022-01,2
8465055ffffffff-2022-03,5
8465055ffffffff-2022-04,11
8465055ffffffff-2022-05,10
8465055ffffffff-2022-06,12
8465055ffffffff-2022-07,17
8465055ffffffff-2022-08,5
8465055ffffffff-2022-10,5
8465055ffffffff-2022-11,5
8465055ffffffff-2022-12,6
