index,n
8466067ffffffff-2023-08,1
846608dffffffff-2023-01,6
846608dffffffff-2023-02,2
846608dffffffff-2023-03,2
846608dffffffff-2023-05,2
84660a1ffffffff-2018-07,4
84660a5ffffffff-2023-01,7
84660a7ffffffff-2014-02,1
84660a7ffffffff-2015-01,1
84660a7ffffffff-2019-02,1
84660a7ffffffff-2019-11,1
84660a7ffffffff-2020-03,1
84660a7ffffffff-2020-12,2
84660a7ffffffff-2021-01,2
84660a7ffffffff-2021-04,2
84660a7ffffffff-2021-07,2
84660a9ffffffff-2014-07,1
84660a9ffffffff-2018-07,4
84660adffffffff-2013-07,3
84660adffffffff-2020-08,1
84660adffffffff-2021-08,1
84660e7ffffffff-2018-07,2
8466101ffffffff-2016-04,3
8466105ffffffff-2014-07,1
8466105ffffffff-2017-01,1
8466105ffffffff-2022-03,1
8466107ffffffff-2012-09,2
8466107ffffffff-2014-03,7
8466107ffffffff-2016-04,1
8466107ffffffff-2016-06,3
8466107ffffffff-2016-11,2
8466107ffffffff-2017-02,1
8466107ffffffff-2017-03,1
8466107ffffffff-2017-04,7
8466107ffffffff-2017-06,3
8466107ffffffff-2018-01,1
8466107ffffffff-2018-04,1
8466107ffffffff-2018-08,2
8466107ffffffff-2018-09,3
8466107ffffffff-2018-12,4
8466107ffffffff-2019-01,1
8466107ffffffff-2019-02,2
8466107ffffffff-2019-04,5
8466107ffffffff-2020-02,8
8466107ffffffff-2020-03,7
8466107ffffffff-2021-09,14
8466107ffffffff-2021-12,5
8466107ffffffff-2022-01,7
8466107ffffffff-2022-02,6
8466107ffffffff-2022-03,15
8466107ffffffff-2022-04,2
8466107ffffffff-2022-05,7
8466107ffffffff-2022-07,2
8466107ffffffff-2022-08,9
8466107ffffffff-2023-11,1
846610bffffffff-2017-05,2
846610bffffffff-2018-05,1
8466113ffffffff-2021-05,1
8466115ffffffff-2022-05,3
8466117ffffffff-2018-01,8
8466129ffffffff-2014-12,1
8466129ffffffff-2015-01,1
8466129ffffffff-2015-05,1
8466129ffffffff-2016-05,1
8466129ffffffff-2019-05,1
8466129ffffffff-2020-11,1
8466129ffffffff-2022-02,5
8466129ffffffff-2023-02,1
846612bffffffff-2019-04,1
8466131ffffffff-2014-04,3
8466131ffffffff-2018-05,1
8466131ffffffff-2018-07,1
8466131ffffffff-2019-05,2
8466131ffffffff-2019-12,3
8466135ffffffff-2023-01,1
8466139ffffffff-2012-07,1
8466139ffffffff-2013-03,2
8466139ffffffff-2014-03,6
8466139ffffffff-2014-04,1
8466139ffffffff-2014-06,3
8466139ffffffff-2015-01,1
8466139ffffffff-2015-03,4
8466139ffffffff-2015-04,4
8466139ffffffff-2015-05,4
8466139ffffffff-2016-01,1
8466139ffffffff-2016-04,2
8466139ffffffff-2017-09,3
8466139ffffffff-2017-11,2
8466139ffffffff-2018-02,1
8466139ffffffff-2018-03,2
8466139ffffffff-2018-04,2
8466139ffffffff-2018-05,3
8466139ffffffff-2018-10,1
8466139ffffffff-2019-02,7
8466139ffffffff-2019-03,1
8466139ffffffff-2019-04,1
8466139ffffffff-2019-05,1
8466139ffffffff-2019-07,1
8466139ffffffff-2019-08,1
8466139ffffffff-2019-11,3
8466139ffffffff-2020-01,1
8466139ffffffff-2020-02,1
8466139ffffffff-2020-05,4
8466139ffffffff-2021-03,1
8466139ffffffff-2021-04,3
8466139ffffffff-2021-05,2
8466139ffffffff-2021-06,1
8466139ffffffff-2021-08,2
8466139ffffffff-2021-10,2
8466139ffffffff-2021-11,2
8466139ffffffff-2022-01,7
8466139ffffffff-2022-02,5
8466139ffffffff-2022-03,8
8466139ffffffff-2022-04,2
8466139ffffffff-2022-06,6
8466139ffffffff-2022-08,1
8466139ffffffff-2022-11,3
8466139ffffffff-2022-12,4
8466139ffffffff-2023-01,2
8466139ffffffff-2023-02,5
8466139ffffffff-2023-03,8
8466139ffffffff-2023-04,1
8466139ffffffff-2023-05,2
8466139ffffffff-2023-09,1
8466139ffffffff-2023-10,7
846613bffffffff-2021-12,1
846613dffffffff-2017-03,2
846613dffffffff-2017-11,3
846613dffffffff-2021-05,1
846613dffffffff-2023-02,1
8466163ffffffff-2014-08,2
8466163ffffffff-2015-01,2
8466163ffffffff-2015-02,1
8466163ffffffff-2015-04,3
8466163ffffffff-2015-05,4
8466163ffffffff-2015-07,1
8466163ffffffff-2015-10,1
8466163ffffffff-2016-01,4
8466163ffffffff-2016-03,6
8466163ffffffff-2016-04,4
8466163ffffffff-2016-05,4
8466163ffffffff-2016-07,1
8466163ffffffff-2016-09,4
8466163ffffffff-2016-10,6
8466163ffffffff-2016-11,1
8466163ffffffff-2017-01,5
8466163ffffffff-2017-02,7
8466163ffffffff-2017-03,9
8466163ffffffff-2017-04,1
8466163ffffffff-2017-05,1
8466163ffffffff-2017-06,1
8466163ffffffff-2017-07,7
8466163ffffffff-2017-08,3
8466163ffffffff-2017-10,1
8466163ffffffff-2017-11,2
8466163ffffffff-2018-01,15
8466163ffffffff-2018-02,10
8466163ffffffff-2018-03,10
8466163ffffffff-2018-04,4
8466163ffffffff-2018-05,2
8466163ffffffff-2018-07,1
8466163ffffffff-2018-10,4
8466163ffffffff-2018-12,1
8466163ffffffff-2019-01,2
8466163ffffffff-2019-02,1
8466163ffffffff-2019-03,11
8466163ffffffff-2019-04,4
8466163ffffffff-2019-05,5
8466163ffffffff-2019-06,1
8466163ffffffff-2019-07,7
8466163ffffffff-2019-08,2
8466163ffffffff-2019-11,1
8466163ffffffff-2020-01,14
8466163ffffffff-2020-02,2
8466163ffffffff-2020-03,7
8466163ffffffff-2020-10,6
8466163ffffffff-2020-12,2
8466163ffffffff-2021-03,3
8466163ffffffff-2021-04,4
8466163ffffffff-2021-05,9
8466163ffffffff-2021-07,2
8466163ffffffff-2021-08,2
8466163ffffffff-2021-09,7
8466163ffffffff-2021-10,1
8466163ffffffff-2021-11,10
8466163ffffffff-2021-12,5
8466163ffffffff-2022-01,4
8466163ffffffff-2022-02,6
8466163ffffffff-2022-03,11
8466163ffffffff-2022-06,2
8466163ffffffff-2022-09,2
8466163ffffffff-2022-10,14
8466163ffffffff-2022-11,3
8466163ffffffff-2023-01,7
8466163ffffffff-2023-03,5
8466163ffffffff-2023-04,5
8466163ffffffff-2023-06,3
8466163ffffffff-2023-08,2
8466165ffffffff-2015-12,6
8466165ffffffff-2016-02,2
8466165ffffffff-2016-04,3
8466165ffffffff-2016-05,4
8466165ffffffff-2016-12,2
8466165ffffffff-2017-02,3
8466165ffffffff-2017-03,1
8466165ffffffff-2017-04,2
8466165ffffffff-2017-09,2
8466165ffffffff-2017-11,5
8466165ffffffff-2018-05,2
8466165ffffffff-2018-07,1
8466165ffffffff-2018-09,2
8466165ffffffff-2019-05,8
8466165ffffffff-2019-08,4
8466165ffffffff-2019-09,1
8466165ffffffff-2019-10,1
