index,n
8458d13ffffffff-2012-03,2
8458d13ffffffff-2013-01,2
8458d13ffffffff-2013-11,1
8458d13ffffffff-2015-07,1
8458d13ffffffff-2015-09,1
8458d13ffffffff-2016-11,1
8458d13ffffffff-2017-04,2
8458d13ffffffff-2017-07,2
8458dcdffffffff-2013-01,2
8458dcdffffffff-2015-09,3
8458dcdffffffff-2017-07,1
847a409ffffffff-2021-04,2
847a409ffffffff-2023-03,1
847a40dffffffff-2021-11,1
847a451ffffffff-2016-04,1
847a451ffffffff-2018-04,2
847a453ffffffff-2015-08,1
847a453ffffffff-2018-05,4
847a453ffffffff-2018-06,1
847a453ffffffff-2018-09,1
847a453ffffffff-2018-10,1
847a453ffffffff-2019-09,1
847a453ffffffff-2019-11,2
847a453ffffffff-2020-11,1
847a453ffffffff-2020-12,1
847a453ffffffff-2021-08,1
847a453ffffffff-2021-10,1
847a453ffffffff-2022-03,2
847a453ffffffff-2022-08,1
847a453ffffffff-2023-01,4
847a453ffffffff-2023-08,2
847a453ffffffff-2023-11,1
847a455ffffffff-2014-05,1
847a455ffffffff-2014-06,1
847a455ffffffff-2016-11,7
847a455ffffffff-2017-07,4
847a455ffffffff-2018-05,4
847a455ffffffff-2019-01,4
847a455ffffffff-2019-10,4
847a455ffffffff-2019-11,5
847a455ffffffff-2019-12,1
847a455ffffffff-2020-02,1
847a455ffffffff-2020-10,6
847a455ffffffff-2020-11,1
847a455ffffffff-2020-12,9
847a455ffffffff-2021-07,2
847a455ffffffff-2021-08,1
847a455ffffffff-2021-09,1
847a455ffffffff-2021-10,7
847a455ffffffff-2021-11,5
847a455ffffffff-2021-12,3
847a455ffffffff-2022-04,5
847a455ffffffff-2022-05,1
847a455ffffffff-2022-09,2
847a455ffffffff-2022-10,2
847a455ffffffff-2022-11,2
847a455ffffffff-2022-12,5
847a455ffffffff-2023-01,10
847a455ffffffff-2023-02,4
847a455ffffffff-2023-04,14
847a455ffffffff-2023-05,11
847a455ffffffff-2023-06,10
847a455ffffffff-2023-08,10
847a455ffffffff-2023-09,4
847a455ffffffff-2023-10,12
847a455ffffffff-2023-11,6
847a457ffffffff-2015-05,1
847a457ffffffff-2017-09,1
847a457ffffffff-2018-04,1
847a457ffffffff-2018-05,1
847a457ffffffff-2018-06,2
847a457ffffffff-2018-12,1
847a457ffffffff-2019-11,7
847a457ffffffff-2019-12,1
847a457ffffffff-2023-06,1
847a459ffffffff-2016-11,7
847a459ffffffff-2020-10,3
847a459ffffffff-2021-02,1
847a459ffffffff-2021-05,2
847a459ffffffff-2021-07,1
847a459ffffffff-2022-05,1
847a459ffffffff-2022-11,1
847a459ffffffff-2023-03,2
847a459ffffffff-2023-10,3
847a45bffffffff-2012-08,1
847a45bffffffff-2014-05,1
847a45bffffffff-2014-11,1
847a45bffffffff-2015-01,6
847a45bffffffff-2015-03,1
847a45bffffffff-2015-04,1
847a45bffffffff-2015-09,3
847a45bffffffff-2015-11,2
847a45bffffffff-2016-01,1
847a45bffffffff-2017-05,1
847a45bffffffff-2017-11,1
847a45bffffffff-2017-12,4
847a45bffffffff-2018-04,1
847a45bffffffff-2018-05,1
847a45bffffffff-2018-12,1
847a45bffffffff-2019-01,3
847a45bffffffff-2019-05,1
847a45bffffffff-2019-09,2
847a45bffffffff-2019-11,4
847a45bffffffff-2020-01,3
847a45bffffffff-2020-02,1
847a45bffffffff-2020-04,1
847a45bffffffff-2020-07,1
847a45bffffffff-2020-08,1
847a45bffffffff-2021-03,2
847a45bffffffff-2021-05,4
847a45bffffffff-2021-07,3
847a45bffffffff-2021-08,1
847a45bffffffff-2021-09,2
847a45bffffffff-2021-10,1
847a45bffffffff-2021-11,1
847a45bffffffff-2022-01,2
847a45bffffffff-2022-02,1
847a45bffffffff-2022-04,1
847a45bffffffff-2022-05,5
847a45bffffffff-2022-06,2
847a45bffffffff-2022-07,2
847a45bffffffff-2022-09,4
847a45bffffffff-2022-10,4
847a45bffffffff-2022-11,4
847a45bffffffff-2023-01,12
847a45bffffffff-2023-02,6
847a45bffffffff-2023-03,6
847a45bffffffff-2023-04,5
847a45bffffffff-2023-05,5
847a45bffffffff-2023-07,11
847a45bffffffff-2023-08,2
847a45bffffffff-2023-09,1
847a45bffffffff-2023-10,2
847a45bffffffff-2023-11,2
847a45dffffffff-2021-11,1
847a489ffffffff-2015-09,2
847a489ffffffff-2016-01,1
847a489ffffffff-2016-09,1
847a489ffffffff-2017-12,6
847a489ffffffff-2018-06,3
847a489ffffffff-2018-10,4
847a489ffffffff-2018-11,3
847a489ffffffff-2019-02,1
847a489ffffffff-2020-02,12
847a489ffffffff-2020-10,1
847a489ffffffff-2020-12,2
847a489ffffffff-2021-01,2
847a489ffffffff-2021-04,1
847a489ffffffff-2021-10,2
847a489ffffffff-2021-11,6
847a489ffffffff-2022-05,2
847a489ffffffff-2022-07,1
847a489ffffffff-2022-09,8
847a489ffffffff-2022-10,3
847a489ffffffff-2023-02,2
847a489ffffffff-2023-03,2
847a489ffffffff-2023-04,2
847a489ffffffff-2023-05,2
847a489ffffffff-2023-07,3
847a489ffffffff-2023-09,1
847a489ffffffff-2023-10,2
847a48bffffffff-2015-05,2
847a48bffffffff-2016-02,1
847a48bffffffff-2016-11,2
847a48bffffffff-2020-01,1
847a48bffffffff-2020-02,1
847a48bffffffff-2020-06,1
847a48bffffffff-2020-09,1
847a48bffffffff-2020-12,3
847a48bffffffff-2021-05,2
847a48bffffffff-2021-11,2
847a48bffffffff-2022-01,4
847a48bffffffff-2022-05,1
847a48bffffffff-2022-06,8
847a48bffffffff-2022-07,3
847a48bffffffff-2022-11,2
847a48bffffffff-2022-12,1
847a48bffffffff-2023-01,1
847a48bffffffff-2023-07,2
847a48bffffffff-2023-08,4
847a48bffffffff-2023-10,2
847a48dffffffff-2018-11,4
847a48dffffffff-2021-05,1
847a48dffffffff-2021-06,1
847a48dffffffff-2022-09,4
847a4c5ffffffff-2014-06,1
847a4c5ffffffff-2018-11,2
847a4c7ffffffff-2017-12,2
847a4c7ffffffff-2023-07,1
847a4c9ffffffff-2016-10,2
847a4c9ffffffff-2018-11,2
847a4c9ffffffff-2022-01,3
847a4c9ffffffff-2022-04,2
847a4c9ffffffff-2023-03,4
847a4cbffffffff-2012-01,1
847a4cbffffffff-2012-02,2
847a4cbffffffff-2012-08,1
847a4cbffffffff-2014-02,3
847a4cbffffffff-2014-04,1
847a4cbffffffff-2014-05,1
847a4cbffffffff-2014-08,1
847a4cbffffffff-2015-06,2
847a4cbffffffff-2015-08,1
847a4cbffffffff-2016-03,3
847a4cbffffffff-2016-06,3
847a4cbffffffff-2016-09,1
847a4cbffffffff-2016-11,7
847a4cbffffffff-2016-12,5
847a4cbffffffff-2017-03,2
847a4cbffffffff-2017-07,1
847a4cbffffffff-2017-10,3
847a4cbffffffff-2017-12,4
847a4cbffffffff-2018-02,7
847a4cbffffffff-2018-08,4
847a4cbffffffff-2018-09,3
847a4cbffffffff-2018-10,1
847a4cbffffffff-2018-11,1
847a4cbffffffff-2019-01,2
847a4cbffffffff-2019-02,7
847a4cbffffffff-2019-05,4
847a4cbffffffff-2019-06,2
847a4cbffffffff-2019-07,4
847a4cbffffffff-2019-10,1
847a4cbffffffff-2019-11,11
847a4cbffffffff-2020-01,6
847a4cbffffffff-2020-02,3
847a4cbffffffff-2020-11,1
847a4cbffffffff-2020-12,9
847a4cbffffffff-2021-04,8
847a4cbffffffff-2021-05,4
847a4cbffffffff-2021-08,4
847a4cbffffffff-2021-09,4
847a4cbffffffff-2021-10,10
847a4cbffffffff-2021-11,8
847a4cbffffffff-2021-12,10
847a4cbffffffff-2022-02,24
847a4cbffffffff-2022-03,5
847a4cbffffffff-2022-04,6
847a4cbffffffff-2022-05,4
847a4cbffffffff-2022-06,1
847a4cbffffffff-2022-07,5
847a4cbffffffff-2022-08,3
847a4cbffffffff-2022-09,7
847a4cbffffffff-2022-10,7
847a4cbffffffff-2022-11,1
847a4cbffffffff-2022-12,13
847a4cbffffffff-2023-01,12
847a4cbffffffff-2023-02,24
847a4cbffffffff-2023-03,1
847a4cbffffffff-2023-04,15
847a4cbffffffff-2023-05,14
847a4cbffffffff-2023-06,2
847a4cbffffffff-2023-08,10
847a4cbffffffff-2023-09,2
847a4cbffffffff-2023-10,18
847a4cbffffffff-2023-11,13
847a4ddffffffff-2012-10,2
847a4ddffffffff-2012-12,1
847a4ddffffffff-2013-12,2
847a4ddffffffff-2014-05,4
847a4ddffffffff-2014-09,2
847a4ddffffffff-2015-06,2
847a4ddffffffff-2016-01,1
847a4ddffffffff-2016-03,1
847a4ddffffffff-2016-04,5
847a4ddffffffff-2016-06,2
847a4ddffffffff-2016-09,1
847a4ddffffffff-2016-11,8
847a4ddffffffff-2017-01,1
847a4ddffffffff-2017-03,3
847a4ddffffffff-2017-07,3
847a4ddffffffff-2017-12,2
847a4ddffffffff-2018-01,2
847a4ddffffffff-2018-06,3
847a4ddffffffff-2018-07,2
847a4ddffffffff-2018-09,4
847a4ddffffffff-2018-10,6
847a4ddffffffff-2018-11,4
847a4ddffffffff-2018-12,1
847a4ddffffffff-2019-02,5
847a4ddffffffff-2019-06,2
847a4ddffffffff-2019-07,8
847a4ddffffffff-2019-09,2
847a4ddffffffff-2019-10,4
847a4ddffffffff-2019-11,5
847a4ddffffffff-2020-01,4
847a4ddffffffff-2020-02,7
847a4ddffffffff-2020-05,1
847a4ddffffffff-2020-10,4
847a4ddffffffff-2020-12,3
847a4ddffffffff-2021-02,2
847a4ddffffffff-2021-03,2
847a4ddffffffff-2021-04,5
847a4ddffffffff-2021-05,4
847a4ddffffffff-2021-06,1
847a4ddffffffff-2021-08,3
847a4ddffffffff-2021-09,1
847a4ddffffffff-2021-11,3
847a4ddffffffff-2021-12,1
847a4ddffffffff-2022-01,1
847a4ddffffffff-2022-02,1
847a4ddffffffff-2022-03,3
847a4ddffffffff-2022-04,5
847a4ddffffffff-2022-06,2
847a4ddffffffff-2022-09,7
847a4ddffffffff-2022-11,3
847a4ddffffffff-2022-12,1
847a4ddffffffff-2023-01,11
847a4ddffffffff-2023-02,1
847a4ddffffffff-2023-03,1
847a4ddffffffff-2023-04,2
847a4ddffffffff-2023-06,1
847a4ddffffffff-2023-08,3
847a4ddffffffff-2023-09,4
847a4ddffffffff-2023-10,2
847a6a3ffffffff-2017-10,1
847a6a3ffffffff-2021-04,3
847a6a3ffffffff-2021-05,1
847a6a3ffffffff-2021-06,3
847a6a3ffffffff-2022-01,1
847a6a7ffffffff-2023-04,1
847a6abffffffff-2023-03,2
847a6adffffffff-2021-02,2
847a6adffffffff-2023-10,4
847a6b1ffffffff-2020-03,1
847a6b5ffffffff-2017-12,1
847a6b5ffffffff-2020-03,1
847a6b5ffffffff-2021-11,1
847a6b7ffffffff-2019-05,4
847a6bdffffffff-2017-12,1
