index,n
8444a19ffffffff-2023-10,6
8454a9bffffffff-2019-01,2
8458d23ffffffff-2012-02,1
8458d23ffffffff-2012-03,6
8458d23ffffffff-2013-01,4
8458d23ffffffff-2013-03,1
8458d35ffffffff-2014-07,2
8458d35ffffffff-2015-03,19
8458d35ffffffff-2016-05,3
8458d35ffffffff-2017-05,1
8458d3dffffffff-2012-04,3
8458d81ffffffff-2019-05,1
8458d8bffffffff-2016-05,1
8458d8dffffffff-2019-06,1
8458da5ffffffff-2023-11,1
8458db5ffffffff-2021-02,1
846a109ffffffff-2022-08,1
846a155ffffffff-2022-05,1
846a9e5ffffffff-2022-11,10
846a9e5ffffffff-2022-12,6
846a9e7ffffffff-2022-11,14
846a9e7ffffffff-2022-12,12
846a9edffffffff-2017-09,1
846a9edffffffff-2022-12,12
846ac03ffffffff-2014-02,2
846ac03ffffffff-2014-06,1
846ac03ffffffff-2015-07,3
846ac03ffffffff-2015-09,1
846ac03ffffffff-2015-10,3
846ac03ffffffff-2016-02,2
846ac03ffffffff-2016-08,1
846ac03ffffffff-2016-12,2
846ac03ffffffff-2017-02,3
846ac03ffffffff-2017-05,4
846ac03ffffffff-2017-07,1
846ac03ffffffff-2017-11,1
846ac03ffffffff-2018-07,4
846ac03ffffffff-2018-08,3
846ac03ffffffff-2018-09,1
846ac03ffffffff-2018-11,2
846ac03ffffffff-2019-08,1
846ac03ffffffff-2020-12,1
846ac03ffffffff-2021-03,3
846ac03ffffffff-2021-06,10
846ac03ffffffff-2021-07,7
846ac03ffffffff-2021-08,1
846ac03ffffffff-2021-09,1
846ac03ffffffff-2021-10,5
846ac03ffffffff-2021-11,4
846ac03ffffffff-2022-02,4
846ac03ffffffff-2022-06,11
846ac03ffffffff-2022-07,11
846ac03ffffffff-2022-08,3
846ac03ffffffff-2022-09,33
846ac03ffffffff-2022-11,4
846ac03ffffffff-2022-12,2
846ac03ffffffff-2023-02,8
846ac03ffffffff-2023-03,5
846ac03ffffffff-2023-05,5
846ac03ffffffff-2023-06,12
846ac03ffffffff-2023-07,5
846ac03ffffffff-2023-08,29
846ac03ffffffff-2023-09,7
846ac03ffffffff-2023-10,3
846ac03ffffffff-2023-11,2
846ac0bffffffff-2012-01,2
846ac0bffffffff-2012-12,1
846ac0bffffffff-2013-09,1
846ac0bffffffff-2014-02,2
846ac0bffffffff-2015-11,2
846ac0bffffffff-2016-02,2
846ac0bffffffff-2016-08,1
846ac0bffffffff-2017-01,5
846ac0bffffffff-2018-05,2
846ac0bffffffff-2018-07,6
846ac0bffffffff-2018-08,1
846ac0bffffffff-2018-11,1
846ac0bffffffff-2018-12,2
846ac0bffffffff-2019-06,2
846ac0bffffffff-2019-07,4
846ac0bffffffff-2019-08,1
846ac0bffffffff-2020-12,1
846ac0bffffffff-2021-01,3
846ac0bffffffff-2021-02,3
846ac0bffffffff-2021-06,5
846ac0bffffffff-2021-07,7
846ac0bffffffff-2021-08,4
846ac0bffffffff-2021-09,3
846ac0bffffffff-2021-11,2
846ac0bffffffff-2022-01,1
846ac0bffffffff-2022-06,3
846ac0bffffffff-2022-07,2
846ac0bffffffff-2022-08,5
846ac0bffffffff-2023-01,3
846ac0bffffffff-2023-02,2
846ac0bffffffff-2023-04,1
846ac0bffffffff-2023-06,5
846ac0bffffffff-2023-07,3
846ac0bffffffff-2023-08,1
846ac0bffffffff-2023-09,2
846ac15ffffffff-2015-07,1
846ac15ffffffff-2017-02,1
846ac15ffffffff-2017-10,1
846ac15ffffffff-2019-10,1
846ac15ffffffff-2020-02,5
846ac15ffffffff-2021-10,2
846ac15ffffffff-2022-03,1
846ac1dffffffff-2015-04,1
846ac1dffffffff-2019-01,1
846ac1dffffffff-2019-02,1
846ac25ffffffff-2013-04,6
846ac35ffffffff-2017-08,1
846ac3dffffffff-2014-06,1
846ace5ffffffff-2019-02,1
846adc1ffffffff-2013-11,1
846adc1ffffffff-2019-02,1
846adc1ffffffff-2019-07,1
846adc1ffffffff-2021-04,1
846adc1ffffffff-2021-12,1
846adc1ffffffff-2022-11,1
846aea1ffffffff-2018-08,1
846aea1ffffffff-2018-10,4
846aeabffffffff-2018-10,2
846aeabffffffff-2023-07,1
8475085ffffffff-2013-04,2
8475085ffffffff-2014-04,1
8475085ffffffff-2014-09,2
8475085ffffffff-2015-12,1
8475085ffffffff-2016-03,4
8475085ffffffff-2018-11,2
8475085ffffffff-2019-03,2
8475085ffffffff-2019-11,3
8475085ffffffff-2020-02,2
8475085ffffffff-2021-07,1
8475085ffffffff-2021-08,1
8475085ffffffff-2021-10,1
8475085ffffffff-2021-11,4
8475085ffffffff-2021-12,10
8475085ffffffff-2022-04,5
8475085ffffffff-2022-10,2
