index,n
8426c21ffffffff-2012-03,1
8426c21ffffffff-2013-02,1
8426c21ffffffff-2014-02,1
8426c21ffffffff-2015-02,1
8426c21ffffffff-2015-12,1
8426c21ffffffff-2016-02,1
8426c21ffffffff-2017-11,1
8426c21ffffffff-2018-12,2
8426c21ffffffff-2019-02,4
8426c21ffffffff-2019-10,1
8426c21ffffffff-2020-02,1
8426c21ffffffff-2020-03,3
8426c21ffffffff-2020-09,1
8426c21ffffffff-2020-11,2
8426c21ffffffff-2021-02,1
8426c21ffffffff-2021-05,1
8426c21ffffffff-2021-12,1
8426c21ffffffff-2022-02,2
8426c21ffffffff-2022-03,1
8426c21ffffffff-2022-10,2
8426c21ffffffff-2023-09,4
8426c21ffffffff-2023-10,2
8426c21ffffffff-2023-11,1
8426c23ffffffff-2013-07,1
8426c23ffffffff-2014-04,2
8426c23ffffffff-2018-04,1
8426c23ffffffff-2018-10,1
8426c23ffffffff-2019-01,1
8426c23ffffffff-2019-03,1
8426c23ffffffff-2019-05,1
8426c23ffffffff-2019-07,1
8426c23ffffffff-2020-05,2
8426c23ffffffff-2021-04,1
8426c23ffffffff-2021-05,1
8426c23ffffffff-2021-09,2
8426c23ffffffff-2023-03,1
8426c25ffffffff-2012-01,1
8426c25ffffffff-2014-04,1
8426c27ffffffff-2012-11,1
8426c27ffffffff-2015-06,1
8426c27ffffffff-2015-11,2
8426c27ffffffff-2017-11,4
8426c27ffffffff-2017-12,1
8426c27ffffffff-2018-01,2
8426c27ffffffff-2018-05,1
8426c27ffffffff-2019-03,2
8426c27ffffffff-2019-05,1
8426c27ffffffff-2019-10,1
8426c27ffffffff-2020-03,2
8426c27ffffffff-2020-05,3
8426c27ffffffff-2020-09,2
8426c27ffffffff-2020-10,2
8426c27ffffffff-2020-11,1
8426c27ffffffff-2021-01,1
8426c27ffffffff-2021-03,2
8426c27ffffffff-2021-05,1
8426c27ffffffff-2021-08,1
8426c27ffffffff-2021-10,1
8426c27ffffffff-2022-03,2
8426c27ffffffff-2022-04,5
8426c27ffffffff-2022-08,6
8426c27ffffffff-2022-10,2
8426c27ffffffff-2023-05,1
8426c27ffffffff-2023-07,1
8426c27ffffffff-2023-09,2
8426c27ffffffff-2023-10,2
8426c2dffffffff-2020-11,1
8426c2dffffffff-2023-06,1
8426c31ffffffff-2014-06,1
8426c35ffffffff-2020-04,1
8426c35ffffffff-2021-09,2
8426c35ffffffff-2022-02,3
8426c35ffffffff-2022-10,2
8426c37ffffffff-2012-01,1
8426c37ffffffff-2012-08,1
8426c37ffffffff-2013-05,2
8426c37ffffffff-2016-02,1
8426c37ffffffff-2016-03,1
8426c37ffffffff-2016-07,3
8426c37ffffffff-2016-11,2
8426c37ffffffff-2016-12,1
8426c37ffffffff-2017-01,1
8426c37ffffffff-2017-03,4
8426c37ffffffff-2017-05,1
8426c37ffffffff-2017-09,4
8426c37ffffffff-2018-09,1
8426c37ffffffff-2021-09,2
8426c37ffffffff-2022-01,2
8426c37ffffffff-2022-05,3
8426c37ffffffff-2023-04,3
8426c37ffffffff-2023-06,1
8426c65ffffffff-2023-09,2
8426ca1ffffffff-2012-08,1
8426ca1ffffffff-2012-11,2
8426ca1ffffffff-2012-12,1
8426ca1ffffffff-2013-02,3
8426ca1ffffffff-2013-03,1
8426ca1ffffffff-2013-05,1
8426ca1ffffffff-2013-08,2
8426ca1ffffffff-2013-10,2
8426ca1ffffffff-2013-11,3
8426ca1ffffffff-2014-02,2
8426ca1ffffffff-2014-03,2
8426ca1ffffffff-2014-05,1
8426ca1ffffffff-2014-06,2
8426ca1ffffffff-2014-07,1
8426ca1ffffffff-2014-08,1
8426ca1ffffffff-2014-10,6
8426ca1ffffffff-2014-11,1
8426ca1ffffffff-2014-12,3
8426ca1ffffffff-2015-02,3
8426ca1ffffffff-2015-03,1
8426ca1ffffffff-2015-06,2
8426ca1ffffffff-2015-07,3
8426ca1ffffffff-2015-08,2
8426ca1ffffffff-2015-10,1
8426ca1ffffffff-2015-11,2
8426ca1ffffffff-2015-12,2
8426ca1ffffffff-2016-02,1
8426ca1ffffffff-2016-03,3
8426ca1ffffffff-2016-05,4
8426ca1ffffffff-2016-07,1
8426ca1ffffffff-2016-09,2
8426ca1ffffffff-2016-10,2
8426ca1ffffffff-2016-11,6
8426ca1ffffffff-2016-12,2
8426ca1ffffffff-2017-01,9
8426ca1ffffffff-2017-02,4
8426ca1ffffffff-2017-03,2
8426ca1ffffffff-2017-04,6
8426ca1ffffffff-2017-05,4
8426ca1ffffffff-2017-07,1
8426ca1ffffffff-2017-09,3
8426ca1ffffffff-2017-10,3
8426ca1ffffffff-2017-11,2
8426ca1ffffffff-2017-12,3
8426ca1ffffffff-2018-01,1
8426ca1ffffffff-2018-02,1
8426ca1ffffffff-2018-03,1
8426ca1ffffffff-2018-04,2
8426ca1ffffffff-2018-11,1
8426ca1ffffffff-2018-12,8
8426ca1ffffffff-2019-01,2
8426ca1ffffffff-2019-02,4
8426ca1ffffffff-2019-03,3
8426ca1ffffffff-2019-06,1
8426ca1ffffffff-2019-08,2
8426ca1ffffffff-2019-10,1
8426ca1ffffffff-2020-05,1
8426ca1ffffffff-2021-01,2
8426ca1ffffffff-2021-02,6
8426ca1ffffffff-2021-03,1
8426ca1ffffffff-2021-04,1
8426ca1ffffffff-2021-05,2
