index,n
8424883ffffffff-2016-02,1
8424883ffffffff-2018-04,3
8424883ffffffff-2021-07,1
8424897ffffffff-2017-08,2
8424897ffffffff-2018-08,1
8424897ffffffff-2019-05,5
8424897ffffffff-2020-07,3
8424897ffffffff-2020-08,3
8424897ffffffff-2022-07,1
8424897ffffffff-2023-07,1
84248b3ffffffff-2019-09,2
84248b7ffffffff-2017-10,2
84248b7ffffffff-2017-11,1
84248b7ffffffff-2018-01,1
84248b7ffffffff-2018-06,1
84248b7ffffffff-2020-03,1
84248b9ffffffff-2017-06,1
8424d65ffffffff-2023-07,2
8424d6dffffffff-2014-06,1
8424d6dffffffff-2018-05,1
8424d6dffffffff-2019-07,3
8424d6dffffffff-2019-09,2
8424d6dffffffff-2019-11,1
8424d6dffffffff-2020-03,1
8424d6dffffffff-2020-07,1
8424d6dffffffff-2020-08,2
8424d6dffffffff-2021-05,1
8424d6dffffffff-2022-05,1
8424d6dffffffff-2023-01,1
8424d6dffffffff-2023-05,1
8424d6dffffffff-2023-08,1
8440c05ffffffff-2020-05,2
8440c05ffffffff-2020-11,2
8440c21ffffffff-2017-05,1
8440c23ffffffff-2014-06,2
8440c27ffffffff-2013-07,2
8440c27ffffffff-2014-05,4
8440c27ffffffff-2015-03,2
8440c27ffffffff-2015-07,1
8440c27ffffffff-2015-10,1
8440c27ffffffff-2016-05,9
8440c27ffffffff-2017-05,7
8440c27ffffffff-2017-06,5
8440c27ffffffff-2018-03,2
8440c27ffffffff-2018-05,2
8440c27ffffffff-2018-06,4
8440c27ffffffff-2019-05,9
8440c27ffffffff-2019-06,1
8440c27ffffffff-2020-05,1
8440c27ffffffff-2021-09,1
8440c27ffffffff-2023-04,8
8440c27ffffffff-2023-05,8
8440c27ffffffff-2023-08,1
8440c29ffffffff-2014-05,2
8440c29ffffffff-2016-05,3
8440c29ffffffff-2017-05,3
8440c29ffffffff-2018-03,4
8440c29ffffffff-2018-05,2
8440c29ffffffff-2018-06,2
8440c29ffffffff-2019-04,2
8440c29ffffffff-2019-05,5
8440c29ffffffff-2019-06,2
8440c29ffffffff-2023-07,1
8440c2bffffffff-2019-05,4
8440c2dffffffff-2016-05,1
8440c2dffffffff-2016-06,1
8440c63ffffffff-2012-04,1
8440c67ffffffff-2017-05,1
8440c67ffffffff-2018-04,6
8440c67ffffffff-2018-05,2
8440c67ffffffff-2018-06,1
8440c67ffffffff-2019-05,1
8440c67ffffffff-2021-07,2
8440d13ffffffff-2023-07,2
8440d1bffffffff-2023-04,1
8440dabffffffff-2022-03,1
8440dabffffffff-2023-05,1
8440dadffffffff-2021-03,1
8440dadffffffff-2021-07,1
8440dc1ffffffff-2015-05,1
8440dc1ffffffff-2021-01,1
8440dc5ffffffff-2015-07,1
8440dc7ffffffff-2020-07,1
8440dc7ffffffff-2021-07,1
8440dc7ffffffff-2023-05,1
8440dc9ffffffff-2017-05,1
8440dc9ffffffff-2020-05,1
8440dcdffffffff-2023-04,1
8440dcdffffffff-2023-05,4
8440de5ffffffff-2023-07,1
8440de7ffffffff-2019-10,1
8440de9ffffffff-2023-07,2
8440dedffffffff-2013-08,2
8440dedffffffff-2014-08,2
8440dedffffffff-2015-07,1
8440dedffffffff-2016-08,1
8440dedffffffff-2017-06,3
8440dedffffffff-2018-07,4
8440dedffffffff-2018-08,3
8440dedffffffff-2019-05,1
8440dedffffffff-2019-06,3
8440dedffffffff-2019-07,1
8440dedffffffff-2020-07,3
8440dedffffffff-2020-09,1
8440dedffffffff-2021-05,1
8440dedffffffff-2021-08,2
8440dedffffffff-2022-06,1
8440dedffffffff-2022-07,1
8440dedffffffff-2023-04,1
