index,n
845f007ffffffff-2021-12,1
845f007ffffffff-2023-04,1
845f00dffffffff-2015-03,1
845f00dffffffff-2015-11,1
845f00dffffffff-2016-04,3
845f00dffffffff-2017-02,2
845f00dffffffff-2017-03,1
845f00dffffffff-2019-02,3
845f013ffffffff-2013-03,1
845f013ffffffff-2021-09,1
845f015ffffffff-2022-10,1
845f017ffffffff-2021-08,1
845f017ffffffff-2021-09,2
845f01bffffffff-2021-03,1
845f01bffffffff-2021-07,1
845f01bffffffff-2021-08,1
845f01bffffffff-2022-02,1
845f01bffffffff-2022-03,1
845f01bffffffff-2022-04,1
845f01bffffffff-2022-08,1
845f01bffffffff-2022-09,2
845f01bffffffff-2022-11,1
845f01bffffffff-2023-02,1
845f023ffffffff-2013-01,1
845f025ffffffff-2018-11,1
845f025ffffffff-2020-12,1
845f025ffffffff-2023-04,2
845f025ffffffff-2023-10,2
845f02bffffffff-2021-02,1
845f02bffffffff-2021-11,1
845f02dffffffff-2021-09,1
845f031ffffffff-2021-01,3
845f031ffffffff-2021-08,1
845f031ffffffff-2022-10,2
845f031ffffffff-2023-04,2
845f035ffffffff-2013-01,1
845f035ffffffff-2014-03,1
845f035ffffffff-2015-03,2
845f035ffffffff-2016-09,1
845f035ffffffff-2017-04,1
845f035ffffffff-2017-06,1
845f035ffffffff-2017-07,4
845f035ffffffff-2017-09,1
845f035ffffffff-2017-11,1
845f035ffffffff-2018-01,4
845f035ffffffff-2018-02,3
845f035ffffffff-2019-02,1
845f035ffffffff-2019-11,5
845f035ffffffff-2019-12,2
845f035ffffffff-2022-12,2
845f035ffffffff-2023-03,3
845f039ffffffff-2022-09,1
845f03bffffffff-2015-02,4
845f03bffffffff-2017-02,1
845f03bffffffff-2023-10,1
845f03dffffffff-2016-02,2
845f03dffffffff-2016-11,2
845f03dffffffff-2016-12,1
845f03dffffffff-2017-04,5
845f03dffffffff-2017-09,1
845f03dffffffff-2017-10,1
845f03dffffffff-2017-11,5
845f03dffffffff-2018-02,3
845f03dffffffff-2018-08,1
845f03dffffffff-2018-10,4
845f03dffffffff-2019-01,5
845f03dffffffff-2019-02,2
845f03dffffffff-2019-03,1
845f03dffffffff-2019-11,3
845f03dffffffff-2020-02,4
845f03dffffffff-2020-11,2
845f03dffffffff-2020-12,1
