index,n
848a157ffffffff-2022-07,1
848a42dffffffff-2022-12,1
848a459ffffffff-2016-12,3
848a459ffffffff-2019-01,16
848a459ffffffff-2019-08,1
848a459ffffffff-2019-11,1
848a459ffffffff-2019-12,9
848a459ffffffff-2020-02,1
848a459ffffffff-2020-09,7
848a459ffffffff-2020-10,1
848a459ffffffff-2022-01,2
848a459ffffffff-2023-08,1
848a459ffffffff-2023-09,3
848a551ffffffff-2014-05,1
848a553ffffffff-2014-05,1
848a553ffffffff-2014-06,3
848a633ffffffff-2020-12,1
848a68bffffffff-2017-01,1
848a68bffffffff-2018-11,1
848a68bffffffff-2020-01,1
848a68bffffffff-2021-07,3
848a699ffffffff-2022-10,4
848a699ffffffff-2023-02,2
848a699ffffffff-2023-08,1
848a699ffffffff-2023-09,1
848a699ffffffff-2023-10,5
848a699ffffffff-2023-11,1
848a6d3ffffffff-2022-11,1
848a6d7ffffffff-2021-05,1
848a6d7ffffffff-2023-06,2
848a6d9ffffffff-2012-10,2
848a6d9ffffffff-2013-01,1
848a6d9ffffffff-2013-06,1
848a6d9ffffffff-2013-07,1
848a6d9ffffffff-2013-08,2
848a6d9ffffffff-2014-03,1
848a6d9ffffffff-2014-10,9
848a6d9ffffffff-2015-05,4
848a6d9ffffffff-2015-08,7
848a6d9ffffffff-2015-10,1
848a6d9ffffffff-2016-01,5
848a6d9ffffffff-2017-02,1
848a6d9ffffffff-2017-07,3
848a6d9ffffffff-2018-05,3
848a6d9ffffffff-2018-06,4
848a6d9ffffffff-2018-07,2
848a6d9ffffffff-2018-09,3
848a6d9ffffffff-2018-10,1
848a6d9ffffffff-2018-11,4
848a6d9ffffffff-2019-01,1
848a6d9ffffffff-2019-07,2
848a6d9ffffffff-2019-08,1
848a6d9ffffffff-2019-11,1
848a6d9ffffffff-2019-12,1
848a6d9ffffffff-2020-01,3
848a6d9ffffffff-2020-02,2
848a6d9ffffffff-2020-07,1
848a6d9ffffffff-2020-09,2
848a6d9ffffffff-2021-05,1
848a6d9ffffffff-2021-09,2
848a6d9ffffffff-2021-11,6
848a6d9ffffffff-2022-01,1
848a6d9ffffffff-2022-02,5
848a6d9ffffffff-2022-04,1
848a6d9ffffffff-2022-05,5
848a6d9ffffffff-2022-06,4
848a6d9ffffffff-2022-07,16
848a6d9ffffffff-2022-08,4
848a6d9ffffffff-2022-10,4
848a6d9ffffffff-2022-11,1
848a6d9ffffffff-2023-01,8
848a6d9ffffffff-2023-02,1
848a6d9ffffffff-2023-03,1
848a6d9ffffffff-2023-04,1
848a6d9ffffffff-2023-05,8
848a6d9ffffffff-2023-06,4
848a6d9ffffffff-2023-07,17
848a6d9ffffffff-2023-08,8
848a6d9ffffffff-2023-10,14
848a6d9ffffffff-2023-11,1
848a6dbffffffff-2022-10,1
848a6dbffffffff-2023-07,7
848a70bffffffff-2015-09,1
848a73dffffffff-2019-08,4
848a755ffffffff-2019-08,4
848b05bffffffff-2022-04,1
848b211ffffffff-2021-05,5
848b221ffffffff-2023-08,1
848b28dffffffff-2021-08,1
848b2c1ffffffff-2021-05,1
848b401ffffffff-2014-11,1
848b401ffffffff-2017-06,1
848b401ffffffff-2018-08,1
848b401ffffffff-2018-11,2
848b401ffffffff-2021-10,4
848b401ffffffff-2023-09,2
848b403ffffffff-2023-09,4
848b405ffffffff-2021-10,6
848b405ffffffff-2022-09,3
848b405ffffffff-2022-12,1
848b407ffffffff-2019-08,5
848b407ffffffff-2021-10,1
848b407ffffffff-2022-09,2
848b407ffffffff-2022-10,2
848b407ffffffff-2023-02,3
848b40bffffffff-2017-06,1
848b40bffffffff-2021-05,2
848b40dffffffff-2018-07,3
848b40dffffffff-2018-09,2
848b40dffffffff-2018-11,1
848b40dffffffff-2019-09,1
848b40dffffffff-2021-10,20
848b40dffffffff-2021-11,14
848b40dffffffff-2022-05,2
848b40dffffffff-2022-06,2
848b40dffffffff-2022-09,22
848b40dffffffff-2022-12,3
848b40dffffffff-2023-05,1
848b40dffffffff-2023-10,1
848b41dffffffff-2018-04,1
848b41dffffffff-2022-03,1
848b41dffffffff-2022-06,1
848b41dffffffff-2023-05,1
848b429ffffffff-2023-10,1
848b42dffffffff-2016-08,2
848b439ffffffff-2019-08,3
848b443ffffffff-2017-11,1
848b443ffffffff-2021-04,1
848b445ffffffff-2018-07,1
848b445ffffffff-2021-10,1
848b447ffffffff-2012-10,2
848b447ffffffff-2015-07,5
848b447ffffffff-2017-08,3
848b447ffffffff-2018-05,1
848b447ffffffff-2021-05,12
848b447ffffffff-2021-09,2
848b447ffffffff-2022-10,2
848b449ffffffff-2014-10,6
848b44bffffffff-2012-06,2
848b44bffffffff-2012-10,4
848b44bffffffff-2014-11,7
848b44bffffffff-2015-03,5
848b44bffffffff-2015-05,24
848b44bffffffff-2015-06,15
848b44bffffffff-2015-07,7
848b44bffffffff-2016-05,2
848b44bffffffff-2016-07,1
848b44bffffffff-2016-08,7
848b44bffffffff-2016-09,11
848b44bffffffff-2016-10,3
848b44bffffffff-2016-11,1
848b44bffffffff-2017-02,1
848b44bffffffff-2017-06,3
848b44bffffffff-2017-07,14
848b44bffffffff-2017-08,15
848b44bffffffff-2017-09,22
848b44bffffffff-2017-11,5
848b44bffffffff-2017-12,2
848b44bffffffff-2018-01,5
848b44bffffffff-2018-04,4
848b44bffffffff-2018-05,11
848b44bffffffff-2018-06,33
848b44bffffffff-2018-07,76
848b44bffffffff-2018-08,32
848b44bffffffff-2018-10,8
848b44bffffffff-2018-11,3
848b44bffffffff-2019-01,1
848b44bffffffff-2019-03,1
848b44bffffffff-2019-05,4
848b44bffffffff-2019-06,9
848b44bffffffff-2019-07,30
848b44bffffffff-2019-08,1
848b44bffffffff-2019-09,5
848b44bffffffff-2019-10,8
848b44bffffffff-2019-12,1
848b44bffffffff-2021-06,7
848b44bffffffff-2021-07,5
848b44bffffffff-2021-08,1
848b44bffffffff-2021-09,2
848b44bffffffff-2021-10,5
848b44bffffffff-2021-11,5
848b44bffffffff-2022-01,7
848b44bffffffff-2022-02,1
848b44bffffffff-2022-05,2
848b44bffffffff-2022-06,15
848b44bffffffff-2022-07,1
848b44bffffffff-2022-09,12
848b44bffffffff-2022-10,2
848b44bffffffff-2022-11,6
848b44bffffffff-2023-05,1
848b44bffffffff-2023-06,3
848b44bffffffff-2023-07,2
848b44bffffffff-2023-08,9
848b44bffffffff-2023-09,8
848b44bffffffff-2023-10,4
848b44bffffffff-2023-11,18
848b44dffffffff-2012-01,1
848b44dffffffff-2012-06,1
848b44dffffffff-2012-12,1
848b44dffffffff-2013-08,1
848b44dffffffff-2015-05,1
848b44dffffffff-2015-10,1
848b44dffffffff-2016-01,1
848b44dffffffff-2016-05,2
848b44dffffffff-2016-10,1
848b44dffffffff-2017-01,1
848b44dffffffff-2017-05,4
848b44dffffffff-2017-08,3
848b44dffffffff-2017-09,1
848b44dffffffff-2017-10,3
848b44dffffffff-2017-11,1
848b44dffffffff-2017-12,2
848b44dffffffff-2018-01,1
848b44dffffffff-2018-03,3
848b44dffffffff-2018-04,3
848b44dffffffff-2018-05,4
848b44dffffffff-2018-06,4
848b44dffffffff-2018-07,4
848b44dffffffff-2018-08,7
848b44dffffffff-2018-09,2
848b44dffffffff-2018-10,6
848b44dffffffff-2018-11,3
848b44dffffffff-2018-12,2
848b44dffffffff-2019-01,1
848b44dffffffff-2019-03,3
848b44dffffffff-2019-04,1
848b44dffffffff-2019-05,6
848b44dffffffff-2019-06,4
848b44dffffffff-2019-07,3
848b44dffffffff-2019-08,3
848b44dffffffff-2019-09,6
848b44dffffffff-2019-10,2
848b44dffffffff-2019-11,3
848b44dffffffff-2019-12,1
848b44dffffffff-2020-01,1
848b44dffffffff-2020-03,2
848b44dffffffff-2020-06,6
848b44dffffffff-2020-10,9
848b44dffffffff-2021-06,1
848b44dffffffff-2021-07,4
848b44dffffffff-2021-08,2
848b44dffffffff-2021-10,5
848b44dffffffff-2022-02,1
848b44dffffffff-2022-04,1
848b44dffffffff-2022-05,10
848b44dffffffff-2022-06,3
848b44dffffffff-2022-07,24
848b44dffffffff-2022-09,2
848b44dffffffff-2022-10,2
848b44dffffffff-2022-11,3
848b44dffffffff-2023-03,1
848b44dffffffff-2023-05,9
848b44dffffffff-2023-07,3
848b44dffffffff-2023-08,7
848b44dffffffff-2023-11,5
848b459ffffffff-2012-09,1
848b459ffffffff-2012-10,2
848b459ffffffff-2013-06,1
848b459ffffffff-2013-08,2
848b459ffffffff-2013-09,2
848b459ffffffff-2015-06,1
848b459ffffffff-2015-09,1
848b459ffffffff-2017-02,1
848b459ffffffff-2018-07,1
848b459ffffffff-2019-02,1
848b459ffffffff-2019-03,1
848b459ffffffff-2019-05,1
848b459ffffffff-2020-05,4
848b459ffffffff-2020-06,1
848b459ffffffff-2020-08,1
848b459ffffffff-2020-10,1
848b463ffffffff-2019-12,1
848b463ffffffff-2022-12,1
848b465ffffffff-2023-06,1
848b469ffffffff-2012-11,4
848b469ffffffff-2012-12,4
848b469ffffffff-2013-12,2
848b469ffffffff-2018-08,8
848b469ffffffff-2019-01,4
848b469ffffffff-2019-02,4
848b469ffffffff-2019-10,4
848b469ffffffff-2021-12,2
848b46bffffffff-2022-09,4
848b481ffffffff-2023-10,1
848b493ffffffff-2017-09,1
848b493ffffffff-2020-12,2
848b493ffffffff-2021-07,2
848b493ffffffff-2021-11,2
848b4adffffffff-2022-04,10
848b4adffffffff-2022-05,3
848b4d9ffffffff-2015-12,1
848b4e5ffffffff-2018-04,2
848b4e5ffffffff-2018-11,1
848b4e5ffffffff-2019-05,28
848b4e5ffffffff-2019-09,3
848b4e5ffffffff-2019-10,3
848b4e5ffffffff-2022-05,6
848b4e5ffffffff-2023-05,9
848b50dffffffff-2023-01,1
848b511ffffffff-2016-02,5
848b511ffffffff-2020-11,4
848b511ffffffff-2022-09,2
848b513ffffffff-2013-10,1
848b513ffffffff-2014-06,1
848b513ffffffff-2015-10,1
848b513ffffffff-2016-02,17
848b513ffffffff-2016-08,5
848b513ffffffff-2017-10,1
848b513ffffffff-2018-01,2
848b513ffffffff-2018-05,1
848b513ffffffff-2018-07,6
848b513ffffffff-2018-08,4
848b513ffffffff-2019-07,1
848b513ffffffff-2019-09,4
848b513ffffffff-2020-09,4
848b513ffffffff-2020-10,1
848b513ffffffff-2021-11,1
848b513ffffffff-2022-04,2
848b513ffffffff-2022-06,1
848b513ffffffff-2022-09,1
848b513ffffffff-2023-08,3
848b525ffffffff-2022-10,1
848b527ffffffff-2022-10,1
848b539ffffffff-2015-10,1
848b553ffffffff-2022-10,1
848b563ffffffff-2022-11,2
848b56bffffffff-2018-10,1
848b56bffffffff-2022-12,1
848b5c3ffffffff-2016-08,4
848b5c3ffffffff-2018-02,1
848b5c3ffffffff-2018-10,7
848b5c7ffffffff-2023-05,5
848b5cdffffffff-2015-07,4
848b5cdffffffff-2015-11,1
848b5cdffffffff-2016-05,1
848b5cdffffffff-2016-08,6
848b5cdffffffff-2017-02,2
848b5cdffffffff-2017-05,3
848b5cdffffffff-2017-06,4
848b5cdffffffff-2017-09,1
848b5cdffffffff-2017-10,3
848b5cdffffffff-2018-07,7
848b5cdffffffff-2018-08,17
848b5cdffffffff-2019-06,2
848b5cdffffffff-2019-07,7
848b5cdffffffff-2019-09,11
848b5cdffffffff-2019-11,2
848b5cdffffffff-2020-09,1
848b5cdffffffff-2021-06,3
848b5cdffffffff-2021-07,12
848b5cdffffffff-2021-09,8
848b5cdffffffff-2021-11,2
848b5cdffffffff-2022-05,2
848b5cdffffffff-2022-06,14
848b5cdffffffff-2022-07,7
