index,n
84268abffffffff-2013-06,1
8426db7ffffffff-2023-08,1
8428023ffffffff-2021-10,22
8428309ffffffff-2017-12,2
842830dffffffff-2015-12,3
8429809ffffffff-2012-04,1
8429809ffffffff-2013-04,1
8429809ffffffff-2013-05,4
8429809ffffffff-2015-05,1
8429809ffffffff-2015-06,1
8429809ffffffff-2015-07,1
8429809ffffffff-2016-04,1
8429809ffffffff-2016-08,1
8429809ffffffff-2019-04,1
8429809ffffffff-2019-05,2
8429809ffffffff-2019-06,1
8429809ffffffff-2020-05,1
8429809ffffffff-2020-06,2
8429809ffffffff-2022-06,3
8429809ffffffff-2023-05,1
8429809ffffffff-2023-06,3
842980dffffffff-2021-06,2
842980dffffffff-2023-05,1
8429819ffffffff-2012-06,1
842981dffffffff-2021-06,1
8429821ffffffff-2014-07,1
8429821ffffffff-2016-07,1
8429821ffffffff-2018-05,2
8429821ffffffff-2020-06,1
8429821ffffffff-2021-05,1
8429823ffffffff-2012-07,1
8429823ffffffff-2016-05,1
8429823ffffffff-2019-06,1
8429825ffffffff-2021-05,1
842982bffffffff-2012-05,1
842982bffffffff-2012-06,1
842982bffffffff-2013-05,4
842982bffffffff-2013-06,1
842982bffffffff-2014-04,1
842982bffffffff-2014-05,7
842982bffffffff-2014-07,1
842982bffffffff-2015-05,10
842982bffffffff-2015-06,3
842982bffffffff-2015-07,6
842982bffffffff-2016-05,9
842982bffffffff-2016-06,2
842982bffffffff-2016-07,5
842982bffffffff-2017-05,4
842982bffffffff-2017-07,1
842982bffffffff-2018-04,2
842982bffffffff-2018-05,17
842982bffffffff-2018-07,1
842982bffffffff-2019-05,12
842982bffffffff-2019-06,2
842982bffffffff-2020-07,3
842982bffffffff-2021-05,11
842982bffffffff-2021-08,1
842982bffffffff-2022-05,4
842982bffffffff-2022-06,3
842982bffffffff-2022-07,3
842982bffffffff-2022-08,1
842982bffffffff-2023-05,15
842982bffffffff-2023-06,2
842982bffffffff-2023-07,1
842982dffffffff-2015-05,2
842982dffffffff-2020-05,1
842982dffffffff-2022-05,2
8429841ffffffff-2012-05,4
8429841ffffffff-2013-05,6
8429841ffffffff-2014-05,18
8429841ffffffff-2014-06,3
8429841ffffffff-2014-07,1
8429841ffffffff-2015-05,15
8429841ffffffff-2015-06,4
8429841ffffffff-2016-04,1
8429841ffffffff-2016-05,3
8429841ffffffff-2016-06,1
8429841ffffffff-2017-05,9
8429841ffffffff-2017-06,2
8429841ffffffff-2018-05,5
8429841ffffffff-2018-06,9
8429841ffffffff-2019-05,11
8429841ffffffff-2020-05,6
8429841ffffffff-2020-08,1
8429841ffffffff-2021-05,1
8429841ffffffff-2022-05,7
8429841ffffffff-2022-06,1
8429841ffffffff-2023-05,34
8429841ffffffff-2023-06,1
8429841ffffffff-2023-08,1
8429843ffffffff-2012-07,1
8429843ffffffff-2020-06,1
8429845ffffffff-2015-05,2
8429847ffffffff-2014-09,1
8429847ffffffff-2020-06,1
