index,n
8402cadffffffff-2014-07,4
8407433ffffffff-2015-06,2
8407465ffffffff-2012-06,2
84075d1ffffffff-2021-07,3
84075d1ffffffff-2023-07,2
84075ddffffffff-2019-09,4
8407733ffffffff-2023-08,1
840773bffffffff-2022-06,10
840773bffffffff-2023-05,10
840773bffffffff-2023-06,1
840773bffffffff-2023-07,2
84082d1ffffffff-2021-06,2
8408e9dffffffff-2016-06,1
8409927ffffffff-2018-07,2
8409a55ffffffff-2021-06,2
8409a55ffffffff-2021-07,2
840c033ffffffff-2015-06,2
840c033ffffffff-2017-06,7
840c037ffffffff-2018-06,6
840c03bffffffff-2017-06,6
840c0c7ffffffff-2021-05,1
840c143ffffffff-2014-08,1
840c143ffffffff-2015-06,1
840c143ffffffff-2021-06,5
840c143ffffffff-2021-08,4
840c147ffffffff-2015-05,1
840c147ffffffff-2015-06,1
840c147ffffffff-2021-05,4
840c147ffffffff-2022-07,1
840c147ffffffff-2022-08,3
840c147ffffffff-2023-05,10
840c181ffffffff-2016-05,1
840c183ffffffff-2016-05,2
840c1b1ffffffff-2015-05,1
840c1b1ffffffff-2020-06,1
840c1b1ffffffff-2020-07,2
840c1b1ffffffff-2021-05,2
840c1b1ffffffff-2021-06,1
840c1b1ffffffff-2022-05,1
840c1b1ffffffff-2023-05,1
840c22dffffffff-2017-06,1
840c231ffffffff-2015-06,2
840c231ffffffff-2019-06,6
840c231ffffffff-2023-06,2
840c2cdffffffff-2022-05,1
840c2dbffffffff-2021-08,2
840c409ffffffff-2019-05,1
840c40dffffffff-2023-07,1
840c415ffffffff-2012-08,14
840c415ffffffff-2013-08,55
840c415ffffffff-2013-09,44
840c415ffffffff-2014-08,16
840c415ffffffff-2014-09,12
840c415ffffffff-2018-07,2
840c415ffffffff-2019-08,1
840c415ffffffff-2020-07,2
840c415ffffffff-2021-07,1
840c415ffffffff-2022-05,1
840c415ffffffff-2022-07,1
840c415ffffffff-2023-07,2
840c415ffffffff-2023-08,5
840c421ffffffff-2014-09,1
840c421ffffffff-2015-07,2
840c421ffffffff-2018-06,4
840c421ffffffff-2021-09,1
840c425ffffffff-2012-06,1
840c425ffffffff-2013-06,1
840c425ffffffff-2013-08,1
840c425ffffffff-2015-06,1
840c425ffffffff-2018-06,1
840c425ffffffff-2019-05,1
840c425ffffffff-2019-09,2
840c425ffffffff-2022-08,1
840c425ffffffff-2023-06,1
840c425ffffffff-2023-07,3
840c425ffffffff-2023-08,3
840c427ffffffff-2017-08,2
840c427ffffffff-2018-07,1
840c427ffffffff-2020-07,1
840c427ffffffff-2023-06,11
840c42dffffffff-2012-04,8
840c42dffffffff-2012-05,8
840c42dffffffff-2012-06,1
840c42dffffffff-2012-08,1
840c42dffffffff-2013-04,3
840c42dffffffff-2013-05,11
840c42dffffffff-2013-06,1
840c42dffffffff-2013-07,1
840c42dffffffff-2014-04,3
840c42dffffffff-2014-05,15
840c42dffffffff-2014-06,3
840c42dffffffff-2014-07,1
840c42dffffffff-2014-08,1
840c42dffffffff-2014-09,1
840c42dffffffff-2015-04,6
840c42dffffffff-2015-05,6
840c42dffffffff-2015-06,5
840c42dffffffff-2015-08,1
840c42dffffffff-2016-04,15
840c42dffffffff-2016-05,8
840c42dffffffff-2016-06,1
840c42dffffffff-2016-09,1
840c42dffffffff-2017-04,17
840c42dffffffff-2017-05,9
840c42dffffffff-2017-06,4
840c42dffffffff-2017-07,6
840c42dffffffff-2018-04,4
840c42dffffffff-2018-05,5
840c42dffffffff-2018-06,5
840c42dffffffff-2018-08,3
840c42dffffffff-2019-04,6
840c42dffffffff-2019-05,9
840c42dffffffff-2019-06,32
840c42dffffffff-2019-07,5
840c42dffffffff-2019-10,1
840c42dffffffff-2020-04,7
840c42dffffffff-2020-05,4
840c42dffffffff-2020-08,2
840c42dffffffff-2021-04,9
840c42dffffffff-2021-05,12
840c42dffffffff-2021-06,6
840c42dffffffff-2021-07,4
840c42dffffffff-2021-08,1
840c42dffffffff-2021-10,3
840c42dffffffff-2022-04,10
840c42dffffffff-2022-05,20
840c42dffffffff-2022-06,5
840c42dffffffff-2022-07,25
840c42dffffffff-2022-08,10
840c42dffffffff-2022-09,1
840c42dffffffff-2023-04,6
840c42dffffffff-2023-05,33
840c42dffffffff-2023-06,4
840c42dffffffff-2023-07,9
840c42dffffffff-2023-08,5
840c42dffffffff-2023-11,1
840c441ffffffff-2013-07,1
840c441ffffffff-2015-03,1
840c441ffffffff-2015-05,1
840c441ffffffff-2016-07,3
840c441ffffffff-2017-05,2
840c441ffffffff-2017-07,2
840c441ffffffff-2017-08,2
840c441ffffffff-2017-10,1
840c441ffffffff-2018-05,3
840c441ffffffff-2018-07,2
840c441ffffffff-2018-09,2
840c441ffffffff-2019-07,1
840c441ffffffff-2020-04,1
840c441ffffffff-2020-05,1
840c441ffffffff-2020-07,1
840c441ffffffff-2020-08,1
840c441ffffffff-2021-05,1
840c441ffffffff-2021-07,6
840c441ffffffff-2021-08,2
840c441ffffffff-2022-05,2
840c441ffffffff-2022-07,2
840c441ffffffff-2022-08,2
840c441ffffffff-2022-09,1
840c441ffffffff-2023-05,4
840c441ffffffff-2023-07,2
840c441ffffffff-2023-09,1
840c443ffffffff-2015-05,1
840c443ffffffff-2016-07,1
840c443ffffffff-2019-02,2
840c443ffffffff-2021-10,1
840c443ffffffff-2023-07,2
840c445ffffffff-2021-05,1
840c445ffffffff-2022-07,1
840c445ffffffff-2023-06,1
840c447ffffffff-2014-05,1
840c447ffffffff-2021-08,1
840c451ffffffff-2016-05,3
840c453ffffffff-2019-05,1
840c455ffffffff-2012-05,4
840c455ffffffff-2012-08,1
840c455ffffffff-2013-09,1
840c455ffffffff-2014-07,2
840c455ffffffff-2015-05,1
840c455ffffffff-2016-04,1
840c455ffffffff-2016-05,2
840c455ffffffff-2016-08,1
840c455ffffffff-2016-09,2
840c455ffffffff-2017-04,1
840c455ffffffff-2017-05,5
840c455ffffffff-2017-06,2
840c455ffffffff-2017-07,11
840c455ffffffff-2017-08,4
840c455ffffffff-2017-10,1
840c455ffffffff-2017-11,2
840c455ffffffff-2018-04,3
840c455ffffffff-2018-05,51
840c455ffffffff-2018-06,1
840c455ffffffff-2018-07,3
840c455ffffffff-2018-08,3
840c455ffffffff-2018-09,2
840c455ffffffff-2018-10,1
840c455ffffffff-2018-11,1
840c455ffffffff-2019-04,6
840c455ffffffff-2019-05,14
840c455ffffffff-2019-07,2
840c455ffffffff-2019-08,1
840c455ffffffff-2020-05,3
840c455ffffffff-2020-08,2
840c455ffffffff-2020-09,2
840c455ffffffff-2020-10,2
840c455ffffffff-2021-04,1
840c455ffffffff-2021-05,14
840c455ffffffff-2021-07,3
840c455ffffffff-2021-08,7
840c455ffffffff-2021-10,1
840c455ffffffff-2022-04,3
840c455ffffffff-2022-05,15
840c455ffffffff-2022-06,2
840c455ffffffff-2022-07,3
840c455ffffffff-2022-08,9
840c455ffffffff-2022-10,1
840c455ffffffff-2022-11,2
840c455ffffffff-2023-04,3
840c455ffffffff-2023-05,18
840c455ffffffff-2023-07,2
840c455ffffffff-2023-08,4
840c455ffffffff-2023-09,2
840c45dffffffff-2017-04,1
840c45dffffffff-2018-05,2
840c461ffffffff-2012-04,2
840c461ffffffff-2012-05,1
840c461ffffffff-2013-05,2
840c461ffffffff-2014-07,1
840c461ffffffff-2016-05,1
840c461ffffffff-2016-07,2
840c461ffffffff-2017-09,1
840c461ffffffff-2018-05,1
840c461ffffffff-2019-05,1
840c461ffffffff-2020-08,1
840c461ffffffff-2021-06,1
840c461ffffffff-2022-05,4
840c461ffffffff-2023-05,1
840c461ffffffff-2023-08,3
