index,n
843c031ffffffff-2017-04,1
843c031ffffffff-2019-11,2
843c035ffffffff-2022-12,1
843c063ffffffff-2017-04,1
843c0a1ffffffff-2018-04,1
843c0a1ffffffff-2019-07,1
843c0a3ffffffff-2013-05,1
843c0a3ffffffff-2014-07,1
843c0a3ffffffff-2015-02,1
843c0a3ffffffff-2015-04,1
843c0a3ffffffff-2015-11,3
843c0a3ffffffff-2016-01,2
843c0a3ffffffff-2016-04,2
843c0a3ffffffff-2017-02,1
843c0a3ffffffff-2017-04,1
843c0a3ffffffff-2017-05,1
843c0a3ffffffff-2018-02,1
843c0a3ffffffff-2018-04,3
843c0a3ffffffff-2018-10,1
843c0a3ffffffff-2018-11,1
843c0a3ffffffff-2018-12,2
843c0a3ffffffff-2019-01,3
843c0a3ffffffff-2019-02,1
843c0a3ffffffff-2019-03,1
843c0a3ffffffff-2019-04,1
843c0a3ffffffff-2019-06,2
843c0a3ffffffff-2019-10,3
843c0a3ffffffff-2019-12,1
843c0a3ffffffff-2020-02,4
843c0a3ffffffff-2020-03,5
843c0a3ffffffff-2020-05,4
843c0a3ffffffff-2020-09,1
843c0a3ffffffff-2020-10,15
843c0a3ffffffff-2020-11,5
843c0a3ffffffff-2021-01,4
843c0a3ffffffff-2021-02,4
843c0a3ffffffff-2021-03,5
843c0a3ffffffff-2021-04,4
843c0a3ffffffff-2021-05,7
843c0a3ffffffff-2021-07,2
843c0a3ffffffff-2021-08,3
843c0a3ffffffff-2021-09,7
843c0a3ffffffff-2021-10,3
843c0a3ffffffff-2021-11,14
843c0a3ffffffff-2021-12,6
843c0a3ffffffff-2022-01,10
843c0a3ffffffff-2022-02,10
843c0a3ffffffff-2022-03,2
843c0a3ffffffff-2022-05,5
843c0a3ffffffff-2022-06,2
843c0a3ffffffff-2022-07,4
843c0a3ffffffff-2022-08,2
843c0a3ffffffff-2022-10,1
843c0a3ffffffff-2022-11,1
843c0a3ffffffff-2023-01,1
843c0a3ffffffff-2023-03,2
843c0a3ffffffff-2023-04,7
843c0a3ffffffff-2023-05,23
843c0a3ffffffff-2023-07,1
843c0a3ffffffff-2023-08,1
843c0a3ffffffff-2023-10,4
843c0a3ffffffff-2023-11,5
843c0a5ffffffff-2015-04,8
843c0a5ffffffff-2016-02,1
843c0a5ffffffff-2016-05,2
843c0a5ffffffff-2016-10,6
843c0a5ffffffff-2017-02,4
843c0a5ffffffff-2017-03,1
843c0a5ffffffff-2017-04,3
843c0a5ffffffff-2017-06,1
843c0a5ffffffff-2018-04,1
843c0a5ffffffff-2018-10,3
843c0a5ffffffff-2019-03,3
843c0a5ffffffff-2019-04,1
843c0a5ffffffff-2019-10,1
843c0a5ffffffff-2020-03,1
843c0a5ffffffff-2021-03,2
843c0a5ffffffff-2021-04,4
843c0a5ffffffff-2021-10,11
843c0a5ffffffff-2021-11,4
843c0a5ffffffff-2022-02,1
843c0a5ffffffff-2022-04,13
843c0a5ffffffff-2022-05,3
843c0a5ffffffff-2022-10,6
843c0a5ffffffff-2022-11,1
843c0a5ffffffff-2023-01,3
843c0a5ffffffff-2023-02,1
843c0a5ffffffff-2023-03,2
843c0a5ffffffff-2023-04,7
843c0a5ffffffff-2023-05,2
843c0a5ffffffff-2023-11,1
843c0a7ffffffff-2023-04,3
843c0a9ffffffff-2019-01,1
843c0a9ffffffff-2019-03,7
