index,n
845e42bffffffff-2012-03,2
845e42bffffffff-2012-04,6
845e42bffffffff-2012-05,1
845e42bffffffff-2013-02,1
845e42bffffffff-2013-03,1
845e42bffffffff-2013-11,1
845e42bffffffff-2013-12,1
845e42bffffffff-2015-01,1
845e42bffffffff-2015-04,1
845e42bffffffff-2015-07,2
845e42bffffffff-2016-01,1
845e42bffffffff-2016-03,1
845e42bffffffff-2016-04,5
845e42bffffffff-2016-12,5
845e42bffffffff-2017-03,3
845e42bffffffff-2017-04,1
845e42bffffffff-2018-03,2
845e42bffffffff-2019-01,2
845e42bffffffff-2019-07,2
845e42bffffffff-2019-08,9
845e42bffffffff-2020-02,3
845e42bffffffff-2020-07,1
845e42bffffffff-2021-02,1
845e42bffffffff-2021-07,1
845e42bffffffff-2022-03,1
845e42bffffffff-2022-04,4
845e42bffffffff-2022-06,1
845e42bffffffff-2022-07,5
845e42bffffffff-2022-12,1
845e42bffffffff-2023-02,1
845e42bffffffff-2023-03,2
845e42bffffffff-2023-04,6
845e42bffffffff-2023-05,1
845e42bffffffff-2023-06,3
845e42bffffffff-2023-07,1
845e431ffffffff-2020-04,1
845e431ffffffff-2022-04,1
845e433ffffffff-2018-02,1
845e433ffffffff-2018-12,1
845e433ffffffff-2019-03,1
845e433ffffffff-2019-04,1
845e433ffffffff-2019-06,1
845e433ffffffff-2019-07,9
845e433ffffffff-2020-02,1
845e433ffffffff-2022-02,1
845e433ffffffff-2023-02,3
845e433ffffffff-2023-05,1
845e435ffffffff-2023-05,1
845e437ffffffff-2012-05,1
845e437ffffffff-2012-06,2
845e437ffffffff-2012-07,1
845e437ffffffff-2012-09,1
845e437ffffffff-2012-11,3
845e437ffffffff-2012-12,2
845e437ffffffff-2013-01,1
845e437ffffffff-2013-02,1
845e437ffffffff-2013-04,1
845e437ffffffff-2013-10,1
845e437ffffffff-2013-11,4
845e437ffffffff-2013-12,3
845e437ffffffff-2014-01,5
845e437ffffffff-2014-02,5
845e437ffffffff-2014-03,5
845e437ffffffff-2014-04,21
845e437ffffffff-2014-05,15
845e437ffffffff-2014-06,9
845e437ffffffff-2014-07,3
845e437ffffffff-2014-09,2
845e437ffffffff-2014-10,4
845e437ffffffff-2014-11,15
845e437ffffffff-2015-01,2
845e437ffffffff-2015-02,7
845e437ffffffff-2015-03,5
845e437ffffffff-2015-04,22
845e437ffffffff-2015-05,17
845e437ffffffff-2015-06,9
845e437ffffffff-2015-07,3
845e437ffffffff-2015-11,4
845e437ffffffff-2015-12,1
845e437ffffffff-2016-01,9
845e437ffffffff-2016-02,2
845e437ffffffff-2016-03,4
845e437ffffffff-2016-04,20
845e437ffffffff-2016-05,23
845e437ffffffff-2016-06,7
845e437ffffffff-2016-10,1
845e437ffffffff-2016-11,2
845e437ffffffff-2017-01,13
845e437ffffffff-2017-04,18
845e437ffffffff-2017-05,6
845e437ffffffff-2017-06,6
845e437ffffffff-2017-07,2
845e437ffffffff-2017-08,1
845e437ffffffff-2017-10,2
845e437ffffffff-2017-11,2
845e437ffffffff-2017-12,31
845e437ffffffff-2018-01,31
845e437ffffffff-2018-02,25
845e437ffffffff-2018-03,24
845e437ffffffff-2018-04,22
845e437ffffffff-2018-05,24
845e437ffffffff-2018-06,19
845e437ffffffff-2018-10,1
845e437ffffffff-2018-11,2
845e437ffffffff-2018-12,30
845e437ffffffff-2019-01,30
845e437ffffffff-2019-02,57
845e437ffffffff-2019-03,29
845e437ffffffff-2019-04,39
845e437ffffffff-2019-05,29
845e437ffffffff-2019-06,25
845e437ffffffff-2019-07,72
845e437ffffffff-2019-08,6
845e437ffffffff-2019-09,3
845e437ffffffff-2019-10,9
845e437ffffffff-2019-11,7
845e437ffffffff-2019-12,18
845e437ffffffff-2020-01,33
845e437ffffffff-2020-02,72
845e437ffffffff-2020-03,11
845e437ffffffff-2020-04,34
845e437ffffffff-2020-05,34
845e437ffffffff-2020-06,17
845e437ffffffff-2020-07,6
845e437ffffffff-2020-08,2
845e437ffffffff-2020-11,5
845e437ffffffff-2020-12,5
845e437ffffffff-2021-01,1
845e437ffffffff-2021-02,3
845e437ffffffff-2021-03,12
845e437ffffffff-2021-04,34
845e437ffffffff-2021-05,30
845e437ffffffff-2021-06,18
845e437ffffffff-2021-07,5
845e437ffffffff-2021-09,1
845e437ffffffff-2021-11,6
845e437ffffffff-2021-12,4
845e437ffffffff-2022-01,6
845e437ffffffff-2022-02,6
845e437ffffffff-2022-03,17
845e437ffffffff-2022-04,31
845e437ffffffff-2022-05,28
845e437ffffffff-2022-06,17
845e437ffffffff-2022-07,14
845e437ffffffff-2022-08,3
845e437ffffffff-2022-10,3
845e437ffffffff-2022-11,9
845e437ffffffff-2022-12,21
845e437ffffffff-2023-01,28
845e437ffffffff-2023-02,47
845e437ffffffff-2023-03,65
845e437ffffffff-2023-04,35
845e437ffffffff-2023-05,40
845e437ffffffff-2023-06,26
845e437ffffffff-2023-07,7
845e437ffffffff-2023-08,4
845e437ffffffff-2023-09,3
845e437ffffffff-2023-11,24
845e43dffffffff-2012-03,2
845e43dffffffff-2012-04,4
845e43dffffffff-2013-01,2
845e43dffffffff-2013-02,6
845e43dffffffff-2013-04,1
845e43dffffffff-2013-11,2
845e43dffffffff-2013-12,1
845e43dffffffff-2014-01,2
845e43dffffffff-2014-02,1
845e43dffffffff-2014-03,2
845e43dffffffff-2015-01,22
845e43dffffffff-2015-02,1
845e43dffffffff-2015-04,4
845e43dffffffff-2015-12,2
845e43dffffffff-2016-01,4
845e43dffffffff-2016-02,3
845e43dffffffff-2016-03,2
845e43dffffffff-2016-04,4
845e43dffffffff-2016-05,1
845e43dffffffff-2016-11,12
845e43dffffffff-2016-12,4
845e43dffffffff-2017-02,2
845e43dffffffff-2017-03,4
845e43dffffffff-2018-02,1
845e43dffffffff-2018-03,44
845e43dffffffff-2018-07,2
845e43dffffffff-2018-10,1
845e43dffffffff-2019-01,1
845e43dffffffff-2019-03,1
845e43dffffffff-2019-04,2
845e43dffffffff-2019-07,1
845e43dffffffff-2019-08,1
845e43dffffffff-2020-01,2
