index,n
847a619ffffffff-2014-08,1
847a619ffffffff-2015-07,2
847a619ffffffff-2015-09,1
847a619ffffffff-2016-05,1
847a619ffffffff-2016-06,2
847a619ffffffff-2016-07,1
847a619ffffffff-2016-10,2
847a619ffffffff-2017-06,1
847a619ffffffff-2017-08,1
847a619ffffffff-2017-09,2
847a619ffffffff-2017-11,3
847a619ffffffff-2018-09,2
847a619ffffffff-2018-12,1
847a619ffffffff-2019-06,1
847a619ffffffff-2019-07,1
847a619ffffffff-2019-12,1
847a619ffffffff-2020-02,2
847a619ffffffff-2021-07,1
847a619ffffffff-2021-10,8
847a619ffffffff-2022-05,1
847a619ffffffff-2022-06,4
847a619ffffffff-2022-08,1
847a619ffffffff-2023-01,2
847a619ffffffff-2023-02,1
847a619ffffffff-2023-06,2
847a653ffffffff-2015-01,1
847a653ffffffff-2015-05,1
847a653ffffffff-2015-07,2
847a653ffffffff-2015-09,1
847a653ffffffff-2015-11,1
847a653ffffffff-2015-12,1
847a653ffffffff-2017-06,3
847a653ffffffff-2017-08,4
847a653ffffffff-2017-09,1
847a653ffffffff-2017-10,9
847a653ffffffff-2017-11,1
847a653ffffffff-2018-06,1
847a653ffffffff-2018-10,1
847a653ffffffff-2019-06,6
847a653ffffffff-2019-07,4
847a653ffffffff-2021-08,1
847a653ffffffff-2022-07,1
847a653ffffffff-2022-08,1
847a653ffffffff-2022-09,1
847a653ffffffff-2022-10,16
847a653ffffffff-2022-11,6
847a653ffffffff-2022-12,1
847a653ffffffff-2023-01,8
847a653ffffffff-2023-02,5
847a653ffffffff-2023-03,2
847a653ffffffff-2023-05,4
847a653ffffffff-2023-06,2
847a653ffffffff-2023-07,4
847a653ffffffff-2023-08,8
847a653ffffffff-2023-09,1
847a657ffffffff-2015-02,1
847a657ffffffff-2015-06,2
847a657ffffffff-2015-08,1
847a657ffffffff-2015-11,1
847a657ffffffff-2016-07,1
847a657ffffffff-2017-06,1
847a657ffffffff-2017-10,6
847a657ffffffff-2018-09,1
847a657ffffffff-2020-02,2
847a657ffffffff-2021-05,7
847a657ffffffff-2021-07,3
847a657ffffffff-2021-08,4
847a657ffffffff-2021-10,4
847a657ffffffff-2021-11,12
847a657ffffffff-2021-12,4
847a657ffffffff-2022-01,1
847a657ffffffff-2022-03,2
847a657ffffffff-2022-05,3
847a657ffffffff-2022-07,7
847a657ffffffff-2022-09,1
847a657ffffffff-2022-10,5
847a657ffffffff-2022-11,2
847a657ffffffff-2023-02,2
847a657ffffffff-2023-07,4
847a657ffffffff-2023-11,16
847a659ffffffff-2015-12,1
847a659ffffffff-2016-08,1
847a6d9ffffffff-2023-08,1
847b4b7ffffffff-2023-06,1
8496861ffffffff-2021-10,3
8496903ffffffff-2021-12,1
8496907ffffffff-2022-01,1
8496921ffffffff-2014-10,4
8496921ffffffff-2014-11,1
8496921ffffffff-2016-07,1
8496921ffffffff-2018-06,3
8496921ffffffff-2018-11,2
8496921ffffffff-2019-05,1
8496921ffffffff-2022-05,3
8496921ffffffff-2022-06,2
8496921ffffffff-2022-10,2
8496921ffffffff-2022-11,1
8496921ffffffff-2022-12,1
8496921ffffffff-2023-01,2
8496921ffffffff-2023-06,1
8496921ffffffff-2023-07,4
8496925ffffffff-2012-02,1
8496925ffffffff-2012-05,2
8496925ffffffff-2012-11,1
8496925ffffffff-2012-12,1
8496925ffffffff-2013-01,1
8496925ffffffff-2013-04,2
8496925ffffffff-2013-07,1
8496925ffffffff-2014-02,1
8496925ffffffff-2014-03,1
8496925ffffffff-2014-07,1
8496925ffffffff-2015-02,1
8496925ffffffff-2015-03,3
8496925ffffffff-2015-04,3
8496925ffffffff-2015-05,2
8496925ffffffff-2015-06,1
8496925ffffffff-2015-07,2
8496925ffffffff-2015-08,4
8496925ffffffff-2015-09,2
8496925ffffffff-2015-12,4
8496925ffffffff-2016-02,2
8496925ffffffff-2016-03,7
8496925ffffffff-2016-04,2
8496925ffffffff-2016-05,5
8496925ffffffff-2016-06,2
8496925ffffffff-2016-07,9
8496925ffffffff-2016-08,3
8496925ffffffff-2016-10,6
8496925ffffffff-2016-12,1
8496925ffffffff-2017-04,2
8496925ffffffff-2017-07,6
8496925ffffffff-2017-11,1
8496925ffffffff-2017-12,1
8496925ffffffff-2018-03,7
8496925ffffffff-2018-04,4
8496925ffffffff-2018-09,1
8496925ffffffff-2018-12,1
8496925ffffffff-2019-02,7
8496925ffffffff-2019-04,1
8496925ffffffff-2019-06,17
8496925ffffffff-2019-07,7
8496925ffffffff-2019-08,1
8496925ffffffff-2019-10,2
8496925ffffffff-2020-03,2
8496925ffffffff-2020-08,7
8496925ffffffff-2020-10,6
8496925ffffffff-2020-12,1
8496925ffffffff-2021-02,2
8496925ffffffff-2021-05,1
8496925ffffffff-2021-07,14
8496925ffffffff-2021-08,13
8496925ffffffff-2021-10,5
8496925ffffffff-2021-11,4
8496925ffffffff-2022-01,5
8496925ffffffff-2022-02,4
8496925ffffffff-2022-04,13
8496925ffffffff-2022-05,7
8496925ffffffff-2022-06,5
8496925ffffffff-2022-07,4
8496925ffffffff-2022-08,7
8496925ffffffff-2022-09,8
8496925ffffffff-2022-10,45
8496925ffffffff-2022-11,17
8496925ffffffff-2022-12,11
8496925ffffffff-2023-01,7
8496925ffffffff-2023-02,25
8496925ffffffff-2023-03,11
8496925ffffffff-2023-04,22
8496925ffffffff-2023-05,6
8496925ffffffff-2023-06,5
8496925ffffffff-2023-07,4
8496925ffffffff-2023-08,17
8496925ffffffff-2023-09,7
8496925ffffffff-2023-10,5
8496925ffffffff-2023-11,6
849692dffffffff-2019-01,1
849692dffffffff-2022-06,1
849692dffffffff-2023-11,1
8496935ffffffff-2015-05,1
8496935ffffffff-2023-06,1
