index,n
8412cb5ffffffff-2015-06,1
8412cb5ffffffff-2015-07,1
84260a1ffffffff-2016-07,1
84260a1ffffffff-2023-08,1
8426121ffffffff-2016-05,3
8426121ffffffff-2020-05,1
8426127ffffffff-2022-08,1
8426165ffffffff-2013-09,1
8426165ffffffff-2016-06,1
8426165ffffffff-2018-09,1
8426165ffffffff-2019-05,1
8426165ffffffff-2020-05,3
8426165ffffffff-2020-06,1
8426165ffffffff-2021-05,1
8426165ffffffff-2021-08,1
8426165ffffffff-2022-06,1
8426165ffffffff-2022-08,1
8426165ffffffff-2023-06,2
8426165ffffffff-2023-07,1
8426165ffffffff-2023-08,1
84261adffffffff-2023-08,2
84261d3ffffffff-2023-08,1
84261d3ffffffff-2023-09,1
8426495ffffffff-2012-01,1
8426495ffffffff-2012-02,2
8426595ffffffff-2020-12,10
8426595ffffffff-2021-01,2
8426595ffffffff-2021-02,1
8426607ffffffff-2023-11,50
8426801ffffffff-2012-05,2
8426801ffffffff-2012-06,17
8426801ffffffff-2012-07,14
8426801ffffffff-2012-08,4
8426801ffffffff-2012-09,2
8426801ffffffff-2013-05,5
8426801ffffffff-2013-06,17
8426801ffffffff-2013-07,4
8426801ffffffff-2013-08,2
8426801ffffffff-2013-09,1
8426801ffffffff-2014-05,22
8426801ffffffff-2014-06,4
8426801ffffffff-2014-07,10
8426801ffffffff-2014-08,10
8426801ffffffff-2014-09,1
8426801ffffffff-2015-05,12
8426801ffffffff-2015-06,12
8426801ffffffff-2015-07,7
8426801ffffffff-2015-08,17
8426801ffffffff-2015-09,7
8426801ffffffff-2016-05,19
8426801ffffffff-2016-06,26
8426801ffffffff-2016-07,11
8426801ffffffff-2016-08,20
8426801ffffffff-2016-09,6
8426801ffffffff-2017-04,1
8426801ffffffff-2017-05,24
8426801ffffffff-2017-06,148
8426801ffffffff-2017-07,26
8426801ffffffff-2017-08,15
8426801ffffffff-2017-09,3
8426801ffffffff-2018-05,23
8426801ffffffff-2018-06,12
8426801ffffffff-2018-07,21
8426801ffffffff-2018-08,28
8426801ffffffff-2018-09,13
8426801ffffffff-2019-04,8
8426801ffffffff-2019-05,57
8426801ffffffff-2019-06,42
8426801ffffffff-2019-07,38
8426801ffffffff-2019-08,25
8426801ffffffff-2019-09,4
8426801ffffffff-2020-04,9
8426801ffffffff-2020-05,65
8426801ffffffff-2020-06,34
8426801ffffffff-2020-07,18
8426801ffffffff-2020-08,30
8426801ffffffff-2020-09,7
8426801ffffffff-2021-05,30
8426801ffffffff-2021-06,48
8426801ffffffff-2021-07,34
8426801ffffffff-2021-08,38
8426801ffffffff-2021-09,10
8426801ffffffff-2022-04,2
8426801ffffffff-2022-05,48
8426801ffffffff-2022-06,25
8426801ffffffff-2022-07,47
8426801ffffffff-2022-08,28
8426801ffffffff-2022-09,31
8426801ffffffff-2023-05,52
8426801ffffffff-2023-06,82
8426801ffffffff-2023-07,80
8426801ffffffff-2023-08,32
8426801ffffffff-2023-09,17
8426803ffffffff-2012-06,4
8426803ffffffff-2012-07,1
8426803ffffffff-2012-08,1
8426803ffffffff-2013-05,5
8426803ffffffff-2013-06,3
8426803ffffffff-2013-07,1
8426803ffffffff-2014-05,2
8426803ffffffff-2014-06,5
8426803ffffffff-2015-06,2
8426803ffffffff-2015-07,12
8426803ffffffff-2015-08,1
8426803ffffffff-2016-05,5
8426803ffffffff-2016-06,12
8426803ffffffff-2016-07,19
8426803ffffffff-2016-08,2
8426803ffffffff-2016-09,1
8426803ffffffff-2017-05,14
8426803ffffffff-2017-06,215
8426803ffffffff-2017-07,5
8426803ffffffff-2017-08,1
8426803ffffffff-2018-05,2
8426803ffffffff-2018-06,6
8426803ffffffff-2018-07,13
8426803ffffffff-2018-09,1
8426803ffffffff-2019-04,8
8426803ffffffff-2019-05,2
8426803ffffffff-2019-06,6
8426803ffffffff-2019-07,10
8426803ffffffff-2019-08,1
8426803ffffffff-2020-05,12
8426803ffffffff-2020-06,10
8426803ffffffff-2020-07,6
8426803ffffffff-2020-08,10
8426803ffffffff-2021-05,10
8426803ffffffff-2021-06,16
8426803ffffffff-2021-07,20
8426803ffffffff-2021-08,20
8426803ffffffff-2021-09,2
8426803ffffffff-2022-05,14
8426803ffffffff-2022-06,6
8426803ffffffff-2022-07,13
8426803ffffffff-2022-08,34
8426803ffffffff-2022-09,8
8426803ffffffff-2023-05,12
8426803ffffffff-2023-06,32
8426803ffffffff-2023-07,25
8426803ffffffff-2023-08,12
8426803ffffffff-2023-09,1
8426805ffffffff-2013-07,1
8426805ffffffff-2014-05,3
8426805ffffffff-2014-07,1
8426805ffffffff-2014-08,2
8426805ffffffff-2015-07,1
8426805ffffffff-2015-08,7
8426805ffffffff-2016-05,5
8426805ffffffff-2016-06,2
8426805ffffffff-2016-07,7
8426805ffffffff-2017-05,8
8426805ffffffff-2017-06,14
8426805ffffffff-2017-07,4
8426805ffffffff-2017-08,13
8426805ffffffff-2017-09,2
8426805ffffffff-2018-06,2
8426805ffffffff-2018-07,4
8426805ffffffff-2018-08,11
8426805ffffffff-2019-04,2
8426805ffffffff-2019-05,15
8426805ffffffff-2019-06,19
8426805ffffffff-2019-07,1
8426805ffffffff-2019-08,10
8426805ffffffff-2019-09,9
8426805ffffffff-2020-04,3
8426805ffffffff-2020-05,10
8426805ffffffff-2020-06,2
8426805ffffffff-2020-07,5
8426805ffffffff-2020-08,12
8426805ffffffff-2020-09,9
8426805ffffffff-2021-04,1
8426805ffffffff-2021-05,12
8426805ffffffff-2021-06,4
8426805ffffffff-2021-07,17
8426805ffffffff-2021-08,34
8426805ffffffff-2021-09,1
8426805ffffffff-2022-04,3
8426805ffffffff-2022-05,18
8426805ffffffff-2022-07,2
8426805ffffffff-2022-08,17
8426805ffffffff-2022-09,6
8426805ffffffff-2023-05,17
8426805ffffffff-2023-06,2
8426805ffffffff-2023-07,8
8426805ffffffff-2023-08,30
8426805ffffffff-2023-09,13
8426807ffffffff-2012-07,1
8426807ffffffff-2014-07,1
8426807ffffffff-2015-06,1
8426807ffffffff-2016-06,1
8426807ffffffff-2016-07,1
8426807ffffffff-2017-05,1
8426807ffffffff-2017-06,6
8426807ffffffff-2017-07,8
8426807ffffffff-2018-06,12
8426807ffffffff-2018-07,10
8426807ffffffff-2018-08,4
8426807ffffffff-2019-06,8
8426807ffffffff-2019-08,1
8426807ffffffff-2019-09,2
8426807ffffffff-2020-05,1
8426807ffffffff-2020-06,10
8426807ffffffff-2020-07,12
8426807ffffffff-2020-08,6
8426807ffffffff-2021-05,1
8426807ffffffff-2021-06,8
8426807ffffffff-2021-07,11
8426807ffffffff-2021-08,61
8426807ffffffff-2022-05,4
8426807ffffffff-2022-06,3
8426807ffffffff-2022-07,14
8426807ffffffff-2022-08,4
8426807ffffffff-2023-05,1
8426807ffffffff-2023-06,12
8426807ffffffff-2023-07,33
8426807ffffffff-2023-08,2
8426809ffffffff-2012-06,4
8426809ffffffff-2012-07,2
8426809ffffffff-2012-08,1
8426809ffffffff-2013-06,4
8426809ffffffff-2013-07,6
8426809ffffffff-2014-07,3
8426809ffffffff-2014-08,1
8426809ffffffff-2014-09,1
8426809ffffffff-2015-05,4
8426809ffffffff-2015-06,10
8426809ffffffff-2015-07,9
8426809ffffffff-2015-08,5
8426809ffffffff-2015-09,1
8426809ffffffff-2016-05,2
8426809ffffffff-2016-06,18
8426809ffffffff-2016-07,10
8426809ffffffff-2016-08,3
8426809ffffffff-2017-05,4
8426809ffffffff-2017-06,42
8426809ffffffff-2017-07,17
8426809ffffffff-2017-08,5
8426809ffffffff-2018-05,6
8426809ffffffff-2018-06,4
8426809ffffffff-2018-07,24
8426809ffffffff-2018-08,13
8426809ffffffff-2019-06,30
8426809ffffffff-2019-07,4
8426809ffffffff-2019-08,14
8426809ffffffff-2019-09,3
8426809ffffffff-2020-05,13
8426809ffffffff-2020-06,15
8426809ffffffff-2020-07,20
8426809ffffffff-2020-08,4
8426809ffffffff-2020-09,2
8426809ffffffff-2021-05,6
8426809ffffffff-2021-06,12
8426809ffffffff-2021-07,18
8426809ffffffff-2021-08,6
8426809ffffffff-2022-06,10
8426809ffffffff-2022-07,11
8426809ffffffff-2022-08,7
8426809ffffffff-2022-09,1
8426809ffffffff-2023-05,3
8426809ffffffff-2023-06,21
8426809ffffffff-2023-07,31
8426809ffffffff-2023-08,7
8426809ffffffff-2023-09,1
842680bffffffff-2012-06,1
842680bffffffff-2012-08,1
842680bffffffff-2013-05,1
842680bffffffff-2013-06,1
842680bffffffff-2013-07,3
842680bffffffff-2013-08,1
842680bffffffff-2014-05,1
842680bffffffff-2014-07,6
842680bffffffff-2014-08,4
842680bffffffff-2015-05,1
842680bffffffff-2015-06,12
842680bffffffff-2015-07,5
842680bffffffff-2015-08,4
842680bffffffff-2015-09,1
842680bffffffff-2016-06,2
842680bffffffff-2016-07,7
842680bffffffff-2016-08,5
842680bffffffff-2017-05,1
842680bffffffff-2017-06,30
842680bffffffff-2017-07,3
842680bffffffff-2017-08,1
842680bffffffff-2018-06,3
842680bffffffff-2018-07,11
842680bffffffff-2018-08,1
842680bffffffff-2019-05,14
842680bffffffff-2019-06,6
842680bffffffff-2019-07,6
842680bffffffff-2019-08,2
842680bffffffff-2020-05,2
842680bffffffff-2020-06,6
842680bffffffff-2020-07,7
842680bffffffff-2020-08,10
842680bffffffff-2020-09,2
842680bffffffff-2021-05,5
842680bffffffff-2021-06,13
842680bffffffff-2021-07,3
842680bffffffff-2022-06,5
842680bffffffff-2022-07,2
842680bffffffff-2023-05,2
842680bffffffff-2023-06,12
842680bffffffff-2023-07,18
842680bffffffff-2023-08,8
842680dffffffff-2014-06,1
842680dffffffff-2015-06,3
842680dffffffff-2015-07,1
842680dffffffff-2016-07,11
842680dffffffff-2017-06,27
842680dffffffff-2017-07,5
842680dffffffff-2018-04,1
842680dffffffff-2018-05,4
842680dffffffff-2018-06,5
842680dffffffff-2018-07,6
842680dffffffff-2018-08,1
842680dffffffff-2019-05,10
842680dffffffff-2019-06,6
842680dffffffff-2019-07,6
842680dffffffff-2019-08,1
842680dffffffff-2020-05,2
842680dffffffff-2020-06,5
842680dffffffff-2020-07,8
842680dffffffff-2021-05,5
842680dffffffff-2021-06,4
842680dffffffff-2021-07,4
842680dffffffff-2021-08,2
842680dffffffff-2022-05,1
842680dffffffff-2022-06,2
842680dffffffff-2022-07,4
842680dffffffff-2023-05,1
842680dffffffff-2023-06,5
842680dffffffff-2023-07,7
8426811ffffffff-2012-05,3
8426811ffffffff-2012-06,24
8426811ffffffff-2012-07,11
8426811ffffffff-2012-08,13
8426811ffffffff-2013-05,4
8426811ffffffff-2013-06,24
8426811ffffffff-2013-07,38
8426811ffffffff-2013-08,9
8426811ffffffff-2014-05,3
8426811ffffffff-2014-06,49
8426811ffffffff-2014-07,40
8426811ffffffff-2014-08,9
8426811ffffffff-2014-09,3
8426811ffffffff-2015-05,5
8426811ffffffff-2015-06,35
8426811ffffffff-2015-07,43
8426811ffffffff-2015-08,31
8426811ffffffff-2015-09,2
8426811ffffffff-2016-05,7
8426811ffffffff-2016-06,45
8426811ffffffff-2016-07,64
8426811ffffffff-2016-08,19
8426811ffffffff-2016-09,9
8426811ffffffff-2017-05,50
8426811ffffffff-2017-06,43
8426811ffffffff-2017-07,57
8426811ffffffff-2017-08,58
8426811ffffffff-2018-05,28
8426811ffffffff-2018-06,43
8426811ffffffff-2018-07,123
8426811ffffffff-2018-08,30
8426811ffffffff-2018-09,5
8426811ffffffff-2019-05,15
8426811ffffffff-2019-06,82
8426811ffffffff-2019-07,218
8426811ffffffff-2019-08,120
8426811ffffffff-2019-09,27
8426811ffffffff-2020-04,12
8426811ffffffff-2020-05,152
8426811ffffffff-2020-06,156
8426811ffffffff-2020-07,229
8426811ffffffff-2020-08,83
8426811ffffffff-2020-09,20
8426811ffffffff-2021-05,78
8426811ffffffff-2021-06,165
8426811ffffffff-2021-07,303
8426811ffffffff-2021-08,126
8426811ffffffff-2021-09,29
8426811ffffffff-2022-05,108
8426811ffffffff-2022-06,198
8426811ffffffff-2022-07,348
8426811ffffffff-2022-08,246
8426811ffffffff-2022-09,19
8426811ffffffff-2023-04,2
8426811ffffffff-2023-05,131
8426811ffffffff-2023-06,180
8426811ffffffff-2023-07,406
8426811ffffffff-2023-08,146
8426811ffffffff-2023-09,28
8426813ffffffff-2012-04,9
8426813ffffffff-2012-05,43
8426813ffffffff-2012-06,84
8426813ffffffff-2012-07,107
8426813ffffffff-2012-08,53
8426813ffffffff-2012-09,9
8426813ffffffff-2012-10,1
8426813ffffffff-2013-04,3
8426813ffffffff-2013-05,45
8426813ffffffff-2013-06,90
8426813ffffffff-2013-07,117
8426813ffffffff-2013-08,97
8426813ffffffff-2013-09,18
8426813ffffffff-2013-10,1
8426813ffffffff-2014-04,28
8426813ffffffff-2014-05,172
8426813ffffffff-2014-06,268
8426813ffffffff-2014-07,290
8426813ffffffff-2014-08,137
8426813ffffffff-2014-09,41
8426813ffffffff-2014-10,1
8426813ffffffff-2015-04,42
8426813ffffffff-2015-05,232
8426813ffffffff-2015-06,227
8426813ffffffff-2015-07,327
8426813ffffffff-2015-08,261
8426813ffffffff-2015-09,83
8426813ffffffff-2015-10,2
8426813ffffffff-2016-04,25
8426813ffffffff-2016-05,221
8426813ffffffff-2016-06,394
8426813ffffffff-2016-07,393
8426813ffffffff-2016-08,173
8426813ffffffff-2016-09,55
8426813ffffffff-2016-10,1
8426813ffffffff-2017-04,47
8426813ffffffff-2017-05,297
8426813ffffffff-2017-06,411
8426813ffffffff-2017-07,426
8426813ffffffff-2017-08,310
8426813ffffffff-2017-09,69
8426813ffffffff-2017-10,1
8426813ffffffff-2018-04,65
8426813ffffffff-2018-05,294
8426813ffffffff-2018-06,391
8426813ffffffff-2018-07,569
8426813ffffffff-2018-08,277
8426813ffffffff-2018-09,52
8426813ffffffff-2018-10,1
8426813ffffffff-2019-04,62
8426813ffffffff-2019-05,331
8426813ffffffff-2019-06,419
8426813ffffffff-2019-07,519
8426813ffffffff-2019-08,405
8426813ffffffff-2019-09,80
8426813ffffffff-2019-10,3
8426813ffffffff-2020-04,54
8426813ffffffff-2020-05,530
8426813ffffffff-2020-06,416
8426813ffffffff-2020-07,558
8426813ffffffff-2020-08,451
8426813ffffffff-2020-09,200
8426813ffffffff-2021-04,41
8426813ffffffff-2021-05,434
8426813ffffffff-2021-06,691
8426813ffffffff-2021-07,669
8426813ffffffff-2021-08,495
8426813ffffffff-2021-09,88
8426813ffffffff-2021-10,1
8426813ffffffff-2022-04,63
8426813ffffffff-2022-05,643
8426813ffffffff-2022-06,573
8426813ffffffff-2022-07,783
8426813ffffffff-2022-08,430
8426813ffffffff-2022-09,129
8426813ffffffff-2022-10,1
8426813ffffffff-2023-04,62
8426813ffffffff-2023-05,792
8426813ffffffff-2023-06,692
8426813ffffffff-2023-07,906
8426813ffffffff-2023-08,502
8426813ffffffff-2023-09,138
8426813ffffffff-2023-10,2
8426815ffffffff-2012-05,1
8426815ffffffff-2012-06,3
8426815ffffffff-2012-07,2
8426815ffffffff-2013-07,4
8426815ffffffff-2014-06,3
8426815ffffffff-2014-07,7
8426815ffffffff-2014-08,7
8426815ffffffff-2015-06,6
8426815ffffffff-2015-07,8
8426815ffffffff-2015-08,3
8426815ffffffff-2016-06,1
8426815ffffffff-2016-07,20
8426815ffffffff-2017-05,8
8426815ffffffff-2017-06,53
8426815ffffffff-2017-07,2
8426815ffffffff-2017-08,4
8426815ffffffff-2017-09,1
8426815ffffffff-2018-05,3
8426815ffffffff-2018-06,5
8426815ffffffff-2018-07,15
8426815ffffffff-2018-08,9
8426815ffffffff-2019-04,1
8426815ffffffff-2019-05,7
8426815ffffffff-2019-06,12
8426815ffffffff-2019-07,16
8426815ffffffff-2019-08,10
8426815ffffffff-2019-09,3
8426815ffffffff-2020-04,4
8426815ffffffff-2020-05,12
8426815ffffffff-2020-06,25
8426815ffffffff-2020-07,3
8426815ffffffff-2020-08,14
8426815ffffffff-2020-09,1
8426815ffffffff-2021-05,6
8426815ffffffff-2021-06,14
8426815ffffffff-2021-07,31
8426815ffffffff-2021-08,8
8426815ffffffff-2022-04,2
8426815ffffffff-2022-05,6
8426815ffffffff-2022-06,27
8426815ffffffff-2022-07,34
8426815ffffffff-2022-08,18
8426815ffffffff-2022-09,2
8426815ffffffff-2023-05,6
8426815ffffffff-2023-06,24
8426815ffffffff-2023-07,121
8426815ffffffff-2023-08,25
8426815ffffffff-2023-09,6
8426817ffffffff-2012-05,5
8426817ffffffff-2012-06,25
8426817ffffffff-2012-07,28
8426817ffffffff-2012-08,11
8426817ffffffff-2012-09,5
8426817ffffffff-2013-05,2
8426817ffffffff-2013-06,16
8426817ffffffff-2013-07,18
8426817ffffffff-2013-08,19
8426817ffffffff-2014-05,8
8426817ffffffff-2014-06,27
8426817ffffffff-2014-07,47
8426817ffffffff-2014-08,13
8426817ffffffff-2014-09,3
8426817ffffffff-2015-05,16
8426817ffffffff-2015-06,74
8426817ffffffff-2015-07,55
8426817ffffffff-2015-08,22
8426817ffffffff-2015-09,6
8426817ffffffff-2016-05,40
8426817ffffffff-2016-06,70
8426817ffffffff-2016-07,66
8426817ffffffff-2016-08,29
8426817ffffffff-2016-09,2
8426817ffffffff-2017-05,20
8426817ffffffff-2017-06,92
8426817ffffffff-2017-07,47
8426817ffffffff-2017-08,44
8426817ffffffff-2017-09,6
8426817ffffffff-2018-05,26
8426817ffffffff-2018-06,94
8426817ffffffff-2018-07,132
8426817ffffffff-2018-08,60
8426817ffffffff-2018-09,3
8426817ffffffff-2019-04,2
8426817ffffffff-2019-05,73
8426817ffffffff-2019-06,118
8426817ffffffff-2019-07,156
8426817ffffffff-2019-08,102
8426817ffffffff-2019-09,13
8426817ffffffff-2020-04,4
8426817ffffffff-2020-05,99
8426817ffffffff-2020-06,100
8426817ffffffff-2020-07,158
8426817ffffffff-2020-08,166
8426817ffffffff-2020-09,30
8426817ffffffff-2021-05,54
8426817ffffffff-2021-06,172
8426817ffffffff-2021-07,191
8426817ffffffff-2021-08,124
8426817ffffffff-2021-09,24
8426817ffffffff-2022-05,63
8426817ffffffff-2022-06,214
8426817ffffffff-2022-07,362
8426817ffffffff-2022-08,126
8426817ffffffff-2022-09,22
8426817ffffffff-2023-05,41
8426817ffffffff-2023-06,174
8426817ffffffff-2023-07,674
8426817ffffffff-2023-08,140
8426817ffffffff-2023-09,17
8426819ffffffff-2012-04,4
8426819ffffffff-2012-05,71
8426819ffffffff-2012-06,179
8426819ffffffff-2012-07,154
8426819ffffffff-2012-08,124
8426819ffffffff-2012-09,16
8426819ffffffff-2013-04,5
8426819ffffffff-2013-05,119
8426819ffffffff-2013-06,140
8426819ffffffff-2013-07,276
8426819ffffffff-2013-08,48
