index,n
8468111ffffffff-2022-02,3
8468111ffffffff-2022-03,1
8468111ffffffff-2022-09,1
8468111ffffffff-2022-11,1
8468111ffffffff-2022-12,3
8468111ffffffff-2023-01,2
8468111ffffffff-2023-02,7
8468111ffffffff-2023-03,1
8468111ffffffff-2023-05,4
8468111ffffffff-2023-06,2
8468111ffffffff-2023-09,1
8468111ffffffff-2023-10,1
8468113ffffffff-2022-08,1
8468113ffffffff-2023-03,1
8468113ffffffff-2023-04,1
8468123ffffffff-2015-10,1
8468123ffffffff-2016-06,1
8468123ffffffff-2018-07,2
8468123ffffffff-2018-08,4
8468123ffffffff-2019-09,1
8468123ffffffff-2022-05,2
8468123ffffffff-2022-07,2
8468123ffffffff-2023-06,6
8468123ffffffff-2023-08,1
8468185ffffffff-2019-09,1
8468189ffffffff-2018-03,2
8468189ffffffff-2022-07,1
8468189ffffffff-2022-08,1
8468189ffffffff-2023-03,2
8468189ffffffff-2023-09,3
846818bffffffff-2012-10,1
846818bffffffff-2018-08,1
846818bffffffff-2022-04,5
846818bffffffff-2022-08,5
846818dffffffff-2012-03,5
846818dffffffff-2012-10,2
846818dffffffff-2012-12,3
846818dffffffff-2013-03,2
846818dffffffff-2013-07,1
846818dffffffff-2013-08,1
846818dffffffff-2014-02,7
846818dffffffff-2014-05,3
846818dffffffff-2014-06,2
846818dffffffff-2014-08,2
846818dffffffff-2015-03,1
846818dffffffff-2015-04,6
846818dffffffff-2015-06,2
846818dffffffff-2015-08,1
846818dffffffff-2015-10,3
846818dffffffff-2015-11,1
846818dffffffff-2016-02,2
846818dffffffff-2016-05,1
846818dffffffff-2016-06,18
846818dffffffff-2016-07,1
846818dffffffff-2016-09,5
846818dffffffff-2017-03,2
846818dffffffff-2017-05,3
846818dffffffff-2017-06,12
846818dffffffff-2017-07,12
846818dffffffff-2017-08,2
846818dffffffff-2017-09,2
846818dffffffff-2018-02,1
846818dffffffff-2018-03,2
846818dffffffff-2018-04,1
846818dffffffff-2018-05,2
846818dffffffff-2018-06,1
846818dffffffff-2018-07,7
846818dffffffff-2018-08,12
846818dffffffff-2018-09,1
846818dffffffff-2018-10,1
846818dffffffff-2018-11,3
846818dffffffff-2019-01,2
846818dffffffff-2019-03,7
846818dffffffff-2019-04,6
846818dffffffff-2019-05,1
846818dffffffff-2019-06,1
846818dffffffff-2019-07,8
846818dffffffff-2019-08,3
846818dffffffff-2019-09,3
846818dffffffff-2019-10,21
846818dffffffff-2019-11,3
846818dffffffff-2020-02,1
846818dffffffff-2020-03,5
846818dffffffff-2020-10,2
846818dffffffff-2022-03,1
846818dffffffff-2022-05,4
846818dffffffff-2022-06,6
846818dffffffff-2022-07,5
846818dffffffff-2022-08,7
846818dffffffff-2022-09,16
846818dffffffff-2022-10,12
846818dffffffff-2022-11,29
846818dffffffff-2023-01,2
846818dffffffff-2023-03,12
846818dffffffff-2023-04,12
846818dffffffff-2023-05,8
846818dffffffff-2023-06,13
846818dffffffff-2023-07,7
846818dffffffff-2023-08,27
846818dffffffff-2023-09,2
846818dffffffff-2023-10,2
846818dffffffff-2023-11,5
846819dffffffff-2013-09,1
846819dffffffff-2014-06,2
846819dffffffff-2014-10,4
846819dffffffff-2015-05,1
846819dffffffff-2015-08,1
846819dffffffff-2016-02,1
846819dffffffff-2016-05,1
846819dffffffff-2017-07,1
846819dffffffff-2018-01,2
846819dffffffff-2018-02,2
846819dffffffff-2018-03,1
846819dffffffff-2019-08,3
846819dffffffff-2020-03,1
846819dffffffff-2022-04,4
846819dffffffff-2022-07,1
846819dffffffff-2022-08,2
846819dffffffff-2022-10,5
846819dffffffff-2023-05,1
84681a9ffffffff-2018-01,1
84681c3ffffffff-2017-07,2
84681c3ffffffff-2019-07,1
84681c3ffffffff-2019-10,1
84681c3ffffffff-2022-10,11
84681c3ffffffff-2022-11,1
84681c3ffffffff-2023-03,8
84681c3ffffffff-2023-05,1
84681c3ffffffff-2023-09,3
84681c5ffffffff-2018-07,1
84681c5ffffffff-2022-08,1
84681c5ffffffff-2023-04,2
84681c5ffffffff-2023-10,1
84681d5ffffffff-2018-06,2
8468985ffffffff-2022-09,1
84689a9ffffffff-2022-09,1
8468ac9ffffffff-2015-10,1
8468ac9ffffffff-2017-10,1
8468ac9ffffffff-2018-03,3
8468ac9ffffffff-2018-07,4
8468ac9ffffffff-2019-08,2
8468ac9ffffffff-2020-03,2
8468ac9ffffffff-2021-12,1
8468ac9ffffffff-2022-08,1
8468ac9ffffffff-2022-09,6
8468ac9ffffffff-2023-01,1
8468ac9ffffffff-2023-02,1
8468ac9ffffffff-2023-03,2
8468ac9ffffffff-2023-04,1
8468ac9ffffffff-2023-05,2
8468ac9ffffffff-2023-06,3
8468ac9ffffffff-2023-07,3
8468ac9ffffffff-2023-08,1
8468ac9ffffffff-2023-09,1
