index,n
8412805ffffffff-2013-09,3
8412805ffffffff-2018-04,1
841280dffffffff-2019-06,2
841280dffffffff-2020-08,1
841280dffffffff-2022-08,1
841280dffffffff-2023-08,2
8412847ffffffff-2015-08,2
8412847ffffffff-2016-08,2
8412847ffffffff-2016-09,1
8412847ffffffff-2017-07,5
8412847ffffffff-2019-07,2
8412847ffffffff-2020-07,2
8412847ffffffff-2020-08,2
8412847ffffffff-2020-09,1
8412847ffffffff-2021-09,1
8412847ffffffff-2022-06,1
8412847ffffffff-2022-08,1
8412847ffffffff-2023-08,10
84128e5ffffffff-2014-05,1
84128e5ffffffff-2023-06,1
84128e7ffffffff-2019-05,7
84128e7ffffffff-2022-07,1
8412993ffffffff-2017-05,1
8412997ffffffff-2019-05,1
84129a3ffffffff-2015-07,1
84129abffffffff-2019-04,1
84129abffffffff-2020-07,1
84129abffffffff-2021-06,1
84129abffffffff-2021-07,4
84129b1ffffffff-2019-05,1
84129b3ffffffff-2014-05,1
84129b3ffffffff-2018-06,2
84129b3ffffffff-2019-05,2
84129b3ffffffff-2020-06,2
84129b7ffffffff-2020-07,1
84129b7ffffffff-2022-07,6
84129b9ffffffff-2015-05,1
84129b9ffffffff-2016-05,1
84129b9ffffffff-2017-06,1
84129b9ffffffff-2018-07,1
84129b9ffffffff-2021-05,1
84129b9ffffffff-2021-06,1
84129b9ffffffff-2022-09,1
84129bbffffffff-2015-05,1
84129bbffffffff-2015-06,1
84129bbffffffff-2017-05,2
84129bbffffffff-2017-06,3
84129bbffffffff-2018-05,2
84129bbffffffff-2018-06,3
84129bbffffffff-2018-07,1
84129bbffffffff-2019-05,9
84129bbffffffff-2019-06,5
84129bbffffffff-2020-05,7
84129bbffffffff-2020-06,9
84129bbffffffff-2020-07,2
84129bbffffffff-2021-04,2
84129bbffffffff-2021-05,3
84129bbffffffff-2022-04,1
84129bbffffffff-2022-05,2
84129bbffffffff-2022-06,3
84129bbffffffff-2022-07,2
84129bbffffffff-2023-05,8
84129bbffffffff-2023-06,1
84129bbffffffff-2023-09,1
84129bdffffffff-2014-05,2
84129bdffffffff-2014-06,1
84129bdffffffff-2015-07,1
84129cbffffffff-2022-05,1
84129d9ffffffff-2014-05,5
84129d9ffffffff-2019-05,2
84129d9ffffffff-2021-06,2
84129d9ffffffff-2022-07,1
84129d9ffffffff-2023-06,3
84129d9ffffffff-2023-08,1
84129dbffffffff-2019-05,3
8412a21ffffffff-2022-06,2
8412a25ffffffff-2016-06,6
8412a25ffffffff-2023-07,1
8412a37ffffffff-2022-09,1
8412a67ffffffff-2020-07,1
8412b03ffffffff-2018-10,3
8412b03ffffffff-2018-11,2
8412c21ffffffff-2016-08,3
8412c21ffffffff-2019-10,1
8412cadffffffff-2023-09,3
8412d17ffffffff-2023-09,1
8412d21ffffffff-2012-05,1
8412d21ffffffff-2015-05,1
8412d21ffffffff-2019-05,1
8412d21ffffffff-2020-06,4
8412d21ffffffff-2021-05,4
8412d21ffffffff-2023-05,1
8412d23ffffffff-2012-05,2
8412d23ffffffff-2013-06,3
8412d23ffffffff-2013-07,2
8412d23ffffffff-2013-08,2
8412d23ffffffff-2014-05,1
8412d23ffffffff-2014-06,1
8412d23ffffffff-2014-07,1
8412d23ffffffff-2015-05,2
8412d23ffffffff-2016-06,3
8412d23ffffffff-2017-05,2
8412d23ffffffff-2018-05,1
8412d23ffffffff-2018-06,1
8412d23ffffffff-2019-05,1
8412d23ffffffff-2019-06,2
8412d23ffffffff-2019-07,3
8412d23ffffffff-2020-05,5
8412d23ffffffff-2020-06,1
8412d23ffffffff-2021-05,7
8412d23ffffffff-2021-06,7
8412d23ffffffff-2022-05,11
8412d23ffffffff-2022-06,4
8412d23ffffffff-2023-05,3
8412d23ffffffff-2023-06,8
8412d25ffffffff-2016-07,15
8412d25ffffffff-2020-06,20
8412d25ffffffff-2020-07,13
8412d25ffffffff-2023-06,28
8412d27ffffffff-2016-05,1
8412d27ffffffff-2016-07,1
8412d27ffffffff-2020-06,19
8412d27ffffffff-2020-07,76
8412d27ffffffff-2023-06,10
8412d29ffffffff-2012-05,2
8412d29ffffffff-2013-06,1
8412d29ffffffff-2014-05,1
8412d29ffffffff-2016-05,1
8412d29ffffffff-2017-06,5
8412d29ffffffff-2018-05,1
8412d29ffffffff-2019-05,1
8412d2bffffffff-2013-08,1
8412d2bffffffff-2014-05,1
8412d2bffffffff-2019-05,2
8412d2dffffffff-2015-04,1
8412d2dffffffff-2017-06,1
8412d2dffffffff-2017-08,3
8412d2dffffffff-2019-05,1
8412d2dffffffff-2021-05,1
8412d2dffffffff-2023-07,2
8412d33ffffffff-2012-05,2
8412d35ffffffff-2015-06,1
8412d35ffffffff-2018-08,1
8412d35ffffffff-2020-08,3
8412d35ffffffff-2021-07,2
8412d35ffffffff-2022-06,1
8412d37ffffffff-2021-05,1
8412d37ffffffff-2021-08,1
8412d63ffffffff-2012-06,1
8412d63ffffffff-2013-05,3
8412d63ffffffff-2013-06,1
8412d63ffffffff-2013-08,1
8412d63ffffffff-2014-06,1
8412d63ffffffff-2014-07,1
8412d63ffffffff-2014-08,1
8412d63ffffffff-2015-04,1
8412d63ffffffff-2015-05,3
8412d63ffffffff-2015-08,2
8412d63ffffffff-2015-09,2
8412d63ffffffff-2016-05,2
8412d63ffffffff-2016-07,2
8412d63ffffffff-2016-08,1
8412d63ffffffff-2016-09,4
8412d63ffffffff-2017-05,1
8412d63ffffffff-2017-06,1
8412d63ffffffff-2017-07,4
8412d63ffffffff-2017-08,1
8412d63ffffffff-2017-09,2
8412d63ffffffff-2018-04,3
8412d63ffffffff-2018-05,5
8412d63ffffffff-2018-06,2
8412d63ffffffff-2018-09,3
8412d63ffffffff-2019-04,1
8412d63ffffffff-2019-05,10
8412d63ffffffff-2019-06,3
8412d63ffffffff-2019-07,2
8412d63ffffffff-2019-08,1
8412d63ffffffff-2020-08,2
8412d63ffffffff-2021-05,2
8412d63ffffffff-2022-05,5
8412d63ffffffff-2022-09,1
8412d65ffffffff-2020-08,1
8412d67ffffffff-2012-05,11
8412d67ffffffff-2012-06,1
8412d67ffffffff-2012-08,1
8412d67ffffffff-2013-04,2
8412d67ffffffff-2013-05,6
8412d67ffffffff-2013-06,10
8412d67ffffffff-2013-08,3
8412d67ffffffff-2014-04,1
8412d67ffffffff-2014-05,8
8412d67ffffffff-2014-06,5
8412d67ffffffff-2014-07,1
8412d67ffffffff-2015-04,5
8412d67ffffffff-2015-05,14
8412d67ffffffff-2015-06,14
8412d67ffffffff-2015-07,2
8412d67ffffffff-2015-08,3
8412d67ffffffff-2015-09,2
8412d67ffffffff-2016-04,5
8412d67ffffffff-2016-05,12
8412d67ffffffff-2016-06,5
8412d67ffffffff-2017-04,1
8412d67ffffffff-2017-05,5
8412d67ffffffff-2017-06,4
8412d67ffffffff-2017-07,4
8412d67ffffffff-2017-09,1
8412d67ffffffff-2018-04,2
8412d67ffffffff-2018-05,7
8412d67ffffffff-2018-06,3
8412d67ffffffff-2018-07,3
8412d67ffffffff-2018-08,2
8412d67ffffffff-2018-09,1
8412d67ffffffff-2019-05,2
8412d67ffffffff-2019-06,5
8412d67ffffffff-2019-08,1
8412d67ffffffff-2020-04,1
8412d67ffffffff-2020-05,6
8412d67ffffffff-2020-06,11
8412d67ffffffff-2021-05,4
8412d67ffffffff-2021-06,2
8412d67ffffffff-2021-07,2
8412d67ffffffff-2022-04,4
8412d67ffffffff-2022-05,17
8412d67ffffffff-2022-06,6
8412d67ffffffff-2022-07,2
8412d67ffffffff-2022-09,1
8412d67ffffffff-2023-04,1
8412d67ffffffff-2023-05,7
8412d67ffffffff-2023-06,6
8412d67ffffffff-2023-07,5
8412e13ffffffff-2023-09,4
84139b7ffffffff-2014-06,1
84139edffffffff-2021-05,4
84139edffffffff-2021-06,1
841d243ffffffff-2018-10,1
841d243ffffffff-2018-11,2
8426035ffffffff-2021-09,1
84261a9ffffffff-2023-05,2
84262c9ffffffff-2019-05,2
8426625ffffffff-2018-12,1
8426665ffffffff-2019-05,1
84266d5ffffffff-2015-11,26
84266d5ffffffff-2015-12,3
8426801ffffffff-2016-07,1
8426801ffffffff-2018-08,2
8426803ffffffff-2021-09,1
8426805ffffffff-2017-04,4
8426805ffffffff-2017-06,6
8426805ffffffff-2017-09,1
8426805ffffffff-2019-05,1
8426805ffffffff-2020-05,3
8426805ffffffff-2021-05,3
8426805ffffffff-2021-06,1
8426805ffffffff-2022-05,1
8426805ffffffff-2023-05,1
8426805ffffffff-2023-06,1
8426809ffffffff-2023-07,1
842680dffffffff-2017-08,1
842680dffffffff-2020-06,2
842680dffffffff-2023-06,1
842680dffffffff-2023-07,1
8426813ffffffff-2015-04,3
8426813ffffffff-2015-05,1
8426813ffffffff-2019-05,1
8426815ffffffff-2014-08,4
8426815ffffffff-2017-08,1
8426815ffffffff-2018-08,8
8426815ffffffff-2019-06,1
8426815ffffffff-2019-07,6
8426815ffffffff-2020-05,3
8426815ffffffff-2020-06,1
8426815ffffffff-2020-09,1
8426815ffffffff-2021-06,2
8426815ffffffff-2021-08,1
8426815ffffffff-2022-06,3
8426815ffffffff-2023-06,3
8426815ffffffff-2023-07,14
8426819ffffffff-2016-05,1
8426819ffffffff-2016-08,1
8426819ffffffff-2017-07,3
8426819ffffffff-2018-06,1
8426819ffffffff-2019-06,1
8426819ffffffff-2020-07,2
8426819ffffffff-2020-08,2
8426819ffffffff-2020-09,2
8426819ffffffff-2022-05,1
842681bffffffff-2012-05,3
842681bffffffff-2014-04,1
842681bffffffff-2014-05,2
842681bffffffff-2014-06,1
842681bffffffff-2015-05,3
842681bffffffff-2016-05,3
842681bffffffff-2016-06,2
842681bffffffff-2016-08,1
842681bffffffff-2017-04,17
842681bffffffff-2017-05,8
842681bffffffff-2017-07,1
842681bffffffff-2017-11,2
842681bffffffff-2018-04,1
842681bffffffff-2018-05,5
842681bffffffff-2018-06,1
842681bffffffff-2019-05,4
842681bffffffff-2020-05,40
842681bffffffff-2021-04,13
842681bffffffff-2021-05,8
842681bffffffff-2022-05,28
842681bffffffff-2022-08,1
842681bffffffff-2022-09,1
842681bffffffff-2023-04,1
842681bffffffff-2023-05,70
842681bffffffff-2023-10,1
8426821ffffffff-2017-05,3
8426821ffffffff-2017-06,5
8426821ffffffff-2018-07,4
8426821ffffffff-2018-08,3
8426821ffffffff-2018-09,3
8426821ffffffff-2019-06,6
8426821ffffffff-2020-04,2
8426821ffffffff-2020-05,1
8426821ffffffff-2020-06,3
8426821ffffffff-2020-07,2
8426821ffffffff-2020-08,2
8426821ffffffff-2021-04,1
8426821ffffffff-2021-05,6
8426821ffffffff-2021-06,1
8426821ffffffff-2021-07,6
8426821ffffffff-2022-05,1
8426821ffffffff-2022-06,8
8426821ffffffff-2023-04,1
8426821ffffffff-2023-06,9
8426821ffffffff-2023-08,1
8426821ffffffff-2023-09,1
8426823ffffffff-2012-06,1
8426823ffffffff-2013-06,1
8426823ffffffff-2014-05,1
8426823ffffffff-2017-04,1
8426823ffffffff-2017-07,1
8426823ffffffff-2019-05,3
8426823ffffffff-2019-06,2
8426823ffffffff-2019-09,10
8426823ffffffff-2020-05,2
8426823ffffffff-2020-06,1
8426823ffffffff-2020-08,1
8426823ffffffff-2021-05,1
8426823ffffffff-2021-06,2
8426823ffffffff-2022-05,1
8426823ffffffff-2022-06,2
8426823ffffffff-2022-07,1
8426823ffffffff-2023-06,2
8426825ffffffff-2012-06,2
8426825ffffffff-2014-07,1
8426825ffffffff-2015-05,1
8426825ffffffff-2015-07,1
8426825ffffffff-2016-05,1
8426825ffffffff-2017-08,1
8426825ffffffff-2019-04,2
8426825ffffffff-2021-05,4
8426825ffffffff-2021-06,1
8426825ffffffff-2021-07,1
8426825ffffffff-2022-06,2
8426825ffffffff-2023-05,1
8426825ffffffff-2023-06,2
8426827ffffffff-2012-05,7
8426827ffffffff-2013-08,1
8426827ffffffff-2015-06,1
8426827ffffffff-2017-06,2
8426827ffffffff-2018-06,1
8426827ffffffff-2019-06,1
8426827ffffffff-2020-05,1
8426827ffffffff-2021-06,1
8426827ffffffff-2021-07,2
8426827ffffffff-2022-06,2
8426827ffffffff-2023-05,1
8426827ffffffff-2023-06,4
8426829ffffffff-2015-05,2
8426829ffffffff-2015-07,1
8426829ffffffff-2017-06,1
8426829ffffffff-2017-07,1
8426829ffffffff-2020-05,4
8426829ffffffff-2020-08,2
8426829ffffffff-2021-05,1
842682bffffffff-2014-06,1
842682bffffffff-2016-05,1
842682bffffffff-2016-06,1
842682bffffffff-2016-07,1
842682bffffffff-2016-08,2
842682bffffffff-2017-04,1
842682bffffffff-2017-06,1
842682bffffffff-2019-04,3
842682bffffffff-2020-04,1
842682bffffffff-2020-08,2
842682bffffffff-2021-04,2
842682bffffffff-2021-06,1
842682bffffffff-2022-06,1
842682bffffffff-2023-04,7
842682bffffffff-2023-05,1
842682bffffffff-2023-06,4
842682bffffffff-2023-07,1
842682bffffffff-2023-08,1
842682dffffffff-2014-06,1
842682dffffffff-2014-07,1
842682dffffffff-2015-05,5
842682dffffffff-2015-06,4
842682dffffffff-2016-05,2
842682dffffffff-2016-06,1
842682dffffffff-2017-04,1
842682dffffffff-2017-05,3
842682dffffffff-2017-06,7
842682dffffffff-2019-05,1
842682dffffffff-2019-06,1
842682dffffffff-2019-07,3
842682dffffffff-2020-05,2
842682dffffffff-2020-06,1
842682dffffffff-2020-07,1
842682dffffffff-2020-08,2
842682dffffffff-2021-05,6
842682dffffffff-2021-06,3
842682dffffffff-2021-07,2
842682dffffffff-2021-08,2
842682dffffffff-2022-05,6
842682dffffffff-2022-06,6
842682dffffffff-2023-06,4
842682dffffffff-2023-07,5
8426831ffffffff-2012-04,1
8426831ffffffff-2012-07,4
8426831ffffffff-2012-08,2
8426831ffffffff-2013-06,1
8426831ffffffff-2014-05,3
8426831ffffffff-2014-07,4
8426831ffffffff-2015-07,2
8426831ffffffff-2017-06,4
8426831ffffffff-2017-07,3
8426831ffffffff-2017-08,1
8426831ffffffff-2018-04,1
8426831ffffffff-2018-05,3
8426831ffffffff-2018-06,7
8426831ffffffff-2018-07,2
8426831ffffffff-2018-08,1
8426831ffffffff-2019-05,8
8426831ffffffff-2019-06,5
8426831ffffffff-2019-07,15
8426831ffffffff-2019-08,9
8426831ffffffff-2019-09,9
8426831ffffffff-2020-04,3
8426831ffffffff-2020-05,34
8426831ffffffff-2020-06,6
8426831ffffffff-2020-07,5
8426831ffffffff-2020-08,8
8426831ffffffff-2020-09,2
8426831ffffffff-2021-04,3
8426831ffffffff-2021-05,38
8426831ffffffff-2021-06,31
8426831ffffffff-2021-07,7
8426831ffffffff-2021-08,20
8426831ffffffff-2021-09,1
8426831ffffffff-2022-04,9
8426831ffffffff-2022-05,38
8426831ffffffff-2022-06,27
8426831ffffffff-2022-07,13
8426831ffffffff-2022-08,17
8426831ffffffff-2022-09,4
8426831ffffffff-2023-04,4
8426831ffffffff-2023-05,22
8426831ffffffff-2023-06,25
8426831ffffffff-2023-07,19
8426831ffffffff-2023-08,23
8426831ffffffff-2023-09,21
8426833ffffffff-2017-07,1
8426833ffffffff-2019-04,1
8426833ffffffff-2019-05,2
8426833ffffffff-2020-04,1
8426833ffffffff-2020-05,19
8426833ffffffff-2020-06,4
8426833ffffffff-2020-07,1
8426833ffffffff-2021-04,1
8426833ffffffff-2021-05,11
8426833ffffffff-2021-06,4
8426833ffffffff-2021-07,1
8426833ffffffff-2022-04,1
8426833ffffffff-2022-05,15
8426833ffffffff-2022-06,8
8426833ffffffff-2022-07,1
8426833ffffffff-2023-04,2
8426833ffffffff-2023-05,10
8426833ffffffff-2023-06,2
8426835ffffffff-2014-04,2
8426835ffffffff-2015-08,1
8426835ffffffff-2016-04,9
8426835ffffffff-2017-05,2
8426835ffffffff-2017-08,1
8426835ffffffff-2018-04,3
8426835ffffffff-2019-05,8
