index,n
8466d13ffffffff-2013-09,2
8466d81ffffffff-2013-04,1
8466d81ffffffff-2017-02,1
8466d81ffffffff-2019-02,1
8466da1ffffffff-2019-05,2
8466da3ffffffff-2022-09,1
8466da3ffffffff-2022-12,3
8466da3ffffffff-2023-01,1
8466da7ffffffff-2022-02,2
8466da9ffffffff-2019-08,2
8466dadffffffff-2018-01,2
8466dadffffffff-2020-01,2
8466dadffffffff-2021-05,1
8466dadffffffff-2021-09,2
8466dadffffffff-2022-02,1
8466dadffffffff-2023-11,1
8466db5ffffffff-2019-09,2
8466db5ffffffff-2020-09,2
8466db5ffffffff-2021-01,2
8466db5ffffffff-2021-05,2
8466db5ffffffff-2021-10,2
8466dc3ffffffff-2012-04,1
8466dc3ffffffff-2013-04,1
8466dc3ffffffff-2014-09,3
8466dc3ffffffff-2014-10,3
8466dc3ffffffff-2015-02,2
8466dc3ffffffff-2016-03,1
8466dc3ffffffff-2016-07,1
8466dc3ffffffff-2017-02,1
8466dc3ffffffff-2018-01,1
8466dc3ffffffff-2018-05,2
8466dc3ffffffff-2019-06,1
8466dc3ffffffff-2019-07,1
8466dc3ffffffff-2019-11,1
8466dc3ffffffff-2021-06,1
8466dc3ffffffff-2022-05,1
8466dc3ffffffff-2022-12,2
8466dc3ffffffff-2023-03,3
8466dc3ffffffff-2023-05,1
8466dc3ffffffff-2023-11,1
8466dc7ffffffff-2017-08,1
8466dc7ffffffff-2019-10,1
8466dc7ffffffff-2022-10,4
8466dcbffffffff-2019-08,1
8466dcbffffffff-2023-09,1
8466ddbffffffff-2019-12,1
8466ddbffffffff-2022-12,2
8466de1ffffffff-2012-06,1
8466de1ffffffff-2012-07,2
8466de1ffffffff-2012-08,2
8466de1ffffffff-2012-12,2
8466de1ffffffff-2013-01,2
8466de1ffffffff-2013-03,1
8466de1ffffffff-2014-02,2
8466de1ffffffff-2014-04,2
8466de1ffffffff-2014-05,1
8466de1ffffffff-2014-07,2
8466de1ffffffff-2014-11,7
8466de1ffffffff-2014-12,1
8466de1ffffffff-2015-01,1
8466de1ffffffff-2015-02,6
8466de1ffffffff-2015-05,1
8466de1ffffffff-2015-08,1
8466de1ffffffff-2015-09,2
8466de1ffffffff-2015-10,6
8466de1ffffffff-2016-01,3
8466de1ffffffff-2016-02,3
8466de1ffffffff-2016-03,17
8466de1ffffffff-2016-06,1
8466de1ffffffff-2016-08,7
8466de1ffffffff-2016-09,1
8466de1ffffffff-2017-02,3
8466de1ffffffff-2017-04,1
8466de1ffffffff-2017-07,4
8466de1ffffffff-2017-08,1
8466de1ffffffff-2017-09,2
8466de1ffffffff-2017-12,1
8466de1ffffffff-2018-01,2
8466de1ffffffff-2018-05,1
8466de1ffffffff-2018-07,3
8466de1ffffffff-2018-11,6
8466de1ffffffff-2018-12,1
8466de1ffffffff-2019-01,1
8466de1ffffffff-2019-02,3
8466de1ffffffff-2019-03,20
8466de1ffffffff-2019-04,1
8466de1ffffffff-2019-05,2
8466de1ffffffff-2019-07,5
8466de1ffffffff-2019-11,3
8466de1ffffffff-2020-01,5
8466de1ffffffff-2020-02,8
8466de1ffffffff-2020-03,2
8466de1ffffffff-2020-05,3
8466de1ffffffff-2020-10,7
8466de1ffffffff-2020-11,6
8466de1ffffffff-2020-12,1
8466de1ffffffff-2021-01,2
8466de1ffffffff-2021-03,1
8466de1ffffffff-2021-04,5
8466de1ffffffff-2021-05,3
8466de1ffffffff-2021-07,8
8466de1ffffffff-2021-08,13
8466de1ffffffff-2021-09,8
8466de1ffffffff-2021-10,6
8466de1ffffffff-2021-11,1
8466de1ffffffff-2021-12,12
8466de1ffffffff-2022-01,12
8466de1ffffffff-2022-03,9
8466de1ffffffff-2022-04,1
8466de1ffffffff-2022-05,1
8466de1ffffffff-2022-08,6
8466de1ffffffff-2022-09,9
8466de1ffffffff-2022-10,10
8466de1ffffffff-2022-11,9
8466de1ffffffff-2022-12,9
8466de1ffffffff-2023-01,6
8466de1ffffffff-2023-02,4
8466de1ffffffff-2023-03,12
8466de1ffffffff-2023-04,19
8466de1ffffffff-2023-05,7
8466de1ffffffff-2023-06,4
8466de1ffffffff-2023-08,5
8466de1ffffffff-2023-09,38
8466de1ffffffff-2023-10,14
8466de1ffffffff-2023-11,14
8466de3ffffffff-2015-10,1
8466de3ffffffff-2017-07,4
8466de3ffffffff-2018-12,1
8466de3ffffffff-2019-03,2
8466de3ffffffff-2019-11,1
8466de3ffffffff-2020-10,1
8466de3ffffffff-2021-01,2
8466de3ffffffff-2021-04,1
8466de3ffffffff-2021-05,1
8466de3ffffffff-2022-01,5
8466de3ffffffff-2022-03,1
8466de3ffffffff-2022-05,1
8466de3ffffffff-2022-06,1
8466de3ffffffff-2022-07,2
8466de3ffffffff-2023-01,2
8466de3ffffffff-2023-08,1
8466de3ffffffff-2023-11,3
8466de7ffffffff-2014-09,1
8466de7ffffffff-2020-03,1
8466de7ffffffff-2021-12,1
8466debffffffff-2015-08,1
8466debffffffff-2018-08,1
8466debffffffff-2020-01,1
8466debffffffff-2022-08,1
8466debffffffff-2023-01,1
8466debffffffff-2023-04,1
8466dedffffffff-2014-03,1
8466dedffffffff-2022-01,1
84814d5ffffffff-2021-11,1
84814e7ffffffff-2021-08,3
848a459ffffffff-2019-05,1
848a459ffffffff-2019-12,2
848a699ffffffff-2017-07,1
848a699ffffffff-2018-08,1
848a699ffffffff-2022-10,2
848a699ffffffff-2023-06,2
848a6d3ffffffff-2020-09,3
848a6d3ffffffff-2020-10,4
848a6d3ffffffff-2023-05,1
848a6dbffffffff-2018-08,1
848a6dbffffffff-2018-12,1
848a6dbffffffff-2021-08,1
848a6dbffffffff-2021-10,1
848a6dbffffffff-2022-11,3
848a6dbffffffff-2023-10,2
848b401ffffffff-2017-06,1
848b40dffffffff-2018-09,1
848b40dffffffff-2023-08,1
848b443ffffffff-2021-04,1
848b445ffffffff-2019-08,1
848b447ffffffff-2017-08,1
848b447ffffffff-2022-10,1
848b44bffffffff-2012-10,1
848b44bffffffff-2015-06,2
848b44bffffffff-2017-09,6
848b44bffffffff-2018-06,2
848b44bffffffff-2018-07,2
848b44bffffffff-2018-08,1
848b44bffffffff-2019-01,1
848b44bffffffff-2019-06,1
848b44bffffffff-2019-10,1
848b44bffffffff-2021-06,2
848b44bffffffff-2021-09,1
848b44bffffffff-2023-05,1
848b44bffffffff-2023-07,1
848b44bffffffff-2023-08,2
848b44bffffffff-2023-09,2
848b44dffffffff-2015-10,1
848b44dffffffff-2019-09,1
848b44dffffffff-2020-02,2
848b44dffffffff-2022-01,3
848b44dffffffff-2022-12,1
848b44dffffffff-2023-05,1
848b459ffffffff-2015-07,1
848b459ffffffff-2017-02,1
848b459ffffffff-2020-05,1
848b469ffffffff-2023-10,1
848b46bffffffff-2022-09,2
848b4adffffffff-2022-04,2
848b529ffffffff-2022-10,2
848b617ffffffff-2014-09,1
848b617ffffffff-2014-10,2
848b617ffffffff-2015-02,1
848b617ffffffff-2015-05,1
848b617ffffffff-2015-10,2
848b617ffffffff-2016-05,2
848b617ffffffff-2018-07,1
848b617ffffffff-2018-08,6
848b617ffffffff-2018-11,1
848b617ffffffff-2019-01,1
848b617ffffffff-2019-07,3
848b617ffffffff-2019-08,1
848b617ffffffff-2019-09,4
848b617ffffffff-2019-10,1
848b617ffffffff-2019-11,1
848b617ffffffff-2020-10,1
848b617ffffffff-2021-01,1
848b617ffffffff-2021-02,1
848b617ffffffff-2021-08,1
848b617ffffffff-2021-09,1
848b617ffffffff-2021-10,1
848b617ffffffff-2022-02,1
848b617ffffffff-2022-05,3
848b617ffffffff-2022-06,4
848b617ffffffff-2022-08,15
848b617ffffffff-2022-11,2
848b617ffffffff-2023-07,5
848b617ffffffff-2023-08,2
848b617ffffffff-2023-10,2
848b623ffffffff-2021-04,1
848b623ffffffff-2023-08,4
848b627ffffffff-2017-03,1
848b627ffffffff-2017-05,1
848b627ffffffff-2017-10,1
848b627ffffffff-2018-12,1
848b627ffffffff-2019-07,1
848b633ffffffff-2020-01,1
848b633ffffffff-2020-06,1
848b633ffffffff-2020-07,1
848b635ffffffff-2021-10,1
848b635ffffffff-2021-12,1
848b635ffffffff-2022-01,1
848b635ffffffff-2022-10,2
