index,n
846ac03ffffffff-2015-02,1
846ac03ffffffff-2023-07,3
846ac03ffffffff-2023-08,1
846ac03ffffffff-2023-09,2
846ac07ffffffff-2023-07,1
846ac0bffffffff-2021-08,2
846ac0bffffffff-2021-09,1
846ac0bffffffff-2021-11,2
846ac0bffffffff-2023-08,1
846ac15ffffffff-2014-02,1
846ac15ffffffff-2018-07,1
846ac15ffffffff-2019-07,1
846ac15ffffffff-2019-12,1
846ac15ffffffff-2020-06,1
846ac15ffffffff-2020-07,1
846ac15ffffffff-2020-08,1
846ac15ffffffff-2020-09,1
846ac15ffffffff-2020-11,1
846ac15ffffffff-2021-03,1
846ac15ffffffff-2021-11,1
846ac15ffffffff-2021-12,1
846ac15ffffffff-2022-07,1
846ac15ffffffff-2022-09,2
846ac15ffffffff-2023-08,3
846ac15ffffffff-2023-09,3
846ac39ffffffff-2022-04,1
846ac39ffffffff-2023-05,1
846ac39ffffffff-2023-07,1
846ac3dffffffff-2022-08,2
846ac93ffffffff-2012-02,4
846ac93ffffffff-2014-11,6
846ac93ffffffff-2015-10,4
846ac93ffffffff-2016-10,6
846ac93ffffffff-2017-03,1
846ac93ffffffff-2021-03,1
846ac93ffffffff-2021-07,4
846ac93ffffffff-2021-08,8
846ac93ffffffff-2021-09,3
846ac93ffffffff-2021-10,1
846ac93ffffffff-2021-11,2
846ac93ffffffff-2022-03,1
846ac93ffffffff-2022-08,2
846acadffffffff-2021-06,2
846ace5ffffffff-2022-04,1
846ad1bffffffff-2013-04,1
846ad8bffffffff-2020-06,1
846ad8dffffffff-2014-07,1
846ad8dffffffff-2023-07,1
846adc1ffffffff-2012-01,2
846adc1ffffffff-2012-05,2
846adc1ffffffff-2012-09,1
846adc1ffffffff-2012-11,1
846adc1ffffffff-2013-02,1
846adc1ffffffff-2013-03,1
846adc1ffffffff-2014-05,1
846adc1ffffffff-2014-06,1
846adc1ffffffff-2015-02,2
846adc1ffffffff-2015-03,1
846adc1ffffffff-2015-06,2
846adc1ffffffff-2015-09,1
846adc1ffffffff-2016-01,1
846adc1ffffffff-2016-06,1
846adc1ffffffff-2016-07,2
846adc1ffffffff-2016-12,1
846adc1ffffffff-2017-01,2
846adc1ffffffff-2017-03,1
846adc1ffffffff-2017-04,3
846adc1ffffffff-2017-05,2
846adc1ffffffff-2017-07,4
846adc1ffffffff-2017-11,4
846adc1ffffffff-2017-12,5
846adc1ffffffff-2018-03,1
846adc1ffffffff-2018-05,2
846adc1ffffffff-2018-06,15
846adc1ffffffff-2018-07,23
846adc1ffffffff-2018-08,2
846adc1ffffffff-2018-09,3
846adc1ffffffff-2018-10,1
846adc1ffffffff-2018-11,2
846adc1ffffffff-2018-12,9
846adc1ffffffff-2019-02,2
846adc1ffffffff-2019-03,2
846adc1ffffffff-2019-06,5
846adc1ffffffff-2019-07,3
846adc1ffffffff-2019-09,1
846adc1ffffffff-2019-12,7
846adc1ffffffff-2020-01,2
846adc1ffffffff-2020-10,1
846adc1ffffffff-2021-01,3
846adc1ffffffff-2021-03,4
846adc1ffffffff-2021-04,2
846adc1ffffffff-2021-05,4
846adc1ffffffff-2021-06,34
846adc1ffffffff-2021-07,17
846adc1ffffffff-2021-08,8
846adc1ffffffff-2021-09,12
846adc1ffffffff-2021-10,7
846adc1ffffffff-2021-11,6
846adc1ffffffff-2021-12,15
846adc1ffffffff-2022-01,4
846adc1ffffffff-2022-02,5
846adc1ffffffff-2022-03,2
846adc1ffffffff-2022-04,1
846adc1ffffffff-2022-05,2
846adc1ffffffff-2022-06,9
846adc1ffffffff-2022-07,13
846adc1ffffffff-2022-08,24
846adc1ffffffff-2022-09,10
846adc1ffffffff-2022-10,3
846adc1ffffffff-2023-01,1
846adc1ffffffff-2023-02,5
846adc1ffffffff-2023-03,2
846adc1ffffffff-2023-04,3
846adc1ffffffff-2023-05,1
846adc1ffffffff-2023-06,1
846adc1ffffffff-2023-07,13
846adc1ffffffff-2023-08,5
846adc1ffffffff-2023-09,4
846adc1ffffffff-2023-10,3
846adc1ffffffff-2023-11,2
846adc5ffffffff-2021-07,1
846adc5ffffffff-2021-10,2
846adc5ffffffff-2021-11,18
846adc5ffffffff-2021-12,5
846adc5ffffffff-2022-02,7
846adc5ffffffff-2022-03,10
846adc5ffffffff-2022-04,14
846adc5ffffffff-2022-05,14
846adc5ffffffff-2022-06,16
846adc5ffffffff-2022-07,9
846adc5ffffffff-2022-08,4
846adc5ffffffff-2022-09,8
846adc5ffffffff-2022-10,12
846adc5ffffffff-2022-11,6
846add9ffffffff-2016-09,1
846ade7ffffffff-2017-02,1
846ade7ffffffff-2017-03,1
846ade7ffffffff-2018-01,1
846ade7ffffffff-2018-05,1
846ade7ffffffff-2018-09,1
846ade7ffffffff-2019-05,1
846ade7ffffffff-2019-08,2
846ade7ffffffff-2019-09,3
846ade7ffffffff-2019-10,2
846ade7ffffffff-2019-12,3
846ade7ffffffff-2020-03,3
846ade7ffffffff-2020-06,1
846ade7ffffffff-2020-07,1
846ade7ffffffff-2020-10,1
846ade7ffffffff-2021-03,2
846ade7ffffffff-2021-04,2
846ade7ffffffff-2021-08,3
846ade7ffffffff-2021-09,2
846ade7ffffffff-2021-11,1
846ade7ffffffff-2021-12,8
846ade7ffffffff-2022-02,1
846ade7ffffffff-2022-03,1
846ade7ffffffff-2022-05,1
846ade7ffffffff-2022-06,1
846ade7ffffffff-2022-07,2
846ade7ffffffff-2023-01,2
846ade7ffffffff-2023-03,1
846ade7ffffffff-2023-06,1
846ade7ffffffff-2023-07,14
846ade7ffffffff-2023-10,3
846adebffffffff-2017-03,1
846aea9ffffffff-2014-02,1
846aedbffffffff-2016-08,6
847a409ffffffff-2021-11,1
847a40bffffffff-2023-10,3
847a40dffffffff-2021-11,2
847a40dffffffff-2023-03,2
847a41bffffffff-2022-02,1
847a451ffffffff-2016-07,2
847a451ffffffff-2021-04,1
847a451ffffffff-2021-11,1
847a451ffffffff-2022-08,2
847a453ffffffff-2020-11,1
847a453ffffffff-2021-11,1
847a453ffffffff-2022-01,1
847a453ffffffff-2022-02,1
847a453ffffffff-2022-11,1
847a455ffffffff-2012-08,1
847a455ffffffff-2015-08,1
847a455ffffffff-2016-07,2
847a455ffffffff-2016-08,1
847a455ffffffff-2016-11,6
847a455ffffffff-2017-04,5
847a455ffffffff-2017-05,1
847a455ffffffff-2017-07,2
847a455ffffffff-2018-01,1
847a455ffffffff-2018-10,2
847a455ffffffff-2019-03,1
847a455ffffffff-2019-12,1
847a455ffffffff-2020-11,4
847a455ffffffff-2020-12,3
847a455ffffffff-2021-05,4
847a455ffffffff-2021-07,3
847a455ffffffff-2021-08,1
847a455ffffffff-2021-09,1
847a455ffffffff-2021-10,6
847a455ffffffff-2021-11,2
847a455ffffffff-2022-02,2
847a455ffffffff-2022-04,2
847a455ffffffff-2022-06,1
847a455ffffffff-2022-07,5
847a455ffffffff-2022-08,7
847a455ffffffff-2022-12,2
847a455ffffffff-2023-01,1
847a455ffffffff-2023-02,8
847a455ffffffff-2023-03,4
847a455ffffffff-2023-04,7
847a455ffffffff-2023-05,12
847a455ffffffff-2023-07,2
847a455ffffffff-2023-08,3
847a455ffffffff-2023-09,4
847a455ffffffff-2023-10,3
847a455ffffffff-2023-11,2
847a457ffffffff-2014-09,1
847a457ffffffff-2015-05,1
847a457ffffffff-2016-04,1
847a457ffffffff-2017-10,2
847a457ffffffff-2018-05,1
847a457ffffffff-2018-06,2
847a457ffffffff-2019-04,1
847a457ffffffff-2020-01,5
847a457ffffffff-2021-08,1
847a457ffffffff-2022-03,1
847a457ffffffff-2023-06,1
847a459ffffffff-2015-10,2
847a459ffffffff-2017-09,1
847a459ffffffff-2022-08,1
847a45bffffffff-2014-01,1
847a45bffffffff-2014-05,1
847a45bffffffff-2014-11,1
847a45bffffffff-2015-01,6
847a45bffffffff-2015-03,1
847a45bffffffff-2015-04,1
847a45bffffffff-2015-07,1
847a45bffffffff-2015-10,1
847a45bffffffff-2015-11,2
847a45bffffffff-2016-01,1
847a45bffffffff-2017-04,1
847a45bffffffff-2017-05,2
847a45bffffffff-2017-11,2
847a45bffffffff-2017-12,4
847a45bffffffff-2018-01,4
847a45bffffffff-2018-03,1
847a45bffffffff-2018-04,1
847a45bffffffff-2018-05,1
847a45bffffffff-2018-09,3
847a45bffffffff-2019-01,2
847a45bffffffff-2019-10,1
847a45bffffffff-2020-04,1
847a45bffffffff-2020-07,1
847a45bffffffff-2020-08,1
847a45bffffffff-2021-04,1
847a45bffffffff-2021-05,3
847a45bffffffff-2021-07,1
847a45bffffffff-2021-08,2
847a45bffffffff-2021-09,1
847a45bffffffff-2021-10,1
847a45bffffffff-2021-11,2
847a45bffffffff-2022-02,1
847a45bffffffff-2022-05,6
847a45bffffffff-2022-06,4
847a45bffffffff-2022-07,2
847a45bffffffff-2022-09,3
847a45bffffffff-2022-10,4
847a45bffffffff-2022-11,4
847a45bffffffff-2023-01,9
847a45bffffffff-2023-02,8
847a45bffffffff-2023-03,7
847a45bffffffff-2023-04,5
847a45bffffffff-2023-05,4
847a45bffffffff-2023-07,10
847a45bffffffff-2023-08,1
847a45bffffffff-2023-10,2
847a45bffffffff-2023-11,2
847a45dffffffff-2019-11,1
847a489ffffffff-2016-01,1
847a489ffffffff-2017-12,2
847a489ffffffff-2018-10,1
847a489ffffffff-2019-02,2
847a489ffffffff-2020-12,2
847a489ffffffff-2021-04,1
847a489ffffffff-2021-11,2
847a489ffffffff-2022-07,1
847a489ffffffff-2022-09,8
847a489ffffffff-2022-10,2
847a489ffffffff-2023-02,2
847a489ffffffff-2023-03,2
847a489ffffffff-2023-07,6
847a489ffffffff-2023-10,2
847a48bffffffff-2016-02,1
847a48bffffffff-2020-02,1
847a48bffffffff-2021-01,1
847a48bffffffff-2022-06,1
847a48bffffffff-2022-07,3
847a48bffffffff-2023-08,4
847a48dffffffff-2021-06,1
847a4b5ffffffff-2017-01,2
847a4c1ffffffff-2017-12,2
847a4c3ffffffff-2021-07,2
847a4c5ffffffff-2014-06,3
847a4c5ffffffff-2014-11,1
847a4c5ffffffff-2017-03,1
847a4c5ffffffff-2018-11,8
847a4c7ffffffff-2020-02,3
847a4c7ffffffff-2023-03,2
847a4c9ffffffff-2016-10,2
847a4c9ffffffff-2020-03,2
847a4c9ffffffff-2022-01,1
847a4c9ffffffff-2022-02,1
847a4c9ffffffff-2022-06,1
847a4c9ffffffff-2022-10,1
847a4c9ffffffff-2022-12,1
847a4c9ffffffff-2023-01,1
847a4c9ffffffff-2023-03,4
847a4cbffffffff-2012-08,1
847a4cbffffffff-2014-02,3
847a4cbffffffff-2015-06,2
847a4cbffffffff-2015-08,1
847a4cbffffffff-2016-03,1
847a4cbffffffff-2016-06,3
847a4cbffffffff-2016-09,1
847a4cbffffffff-2016-11,7
847a4cbffffffff-2017-03,3
847a4cbffffffff-2017-07,1
847a4cbffffffff-2017-10,3
847a4cbffffffff-2017-12,6
847a4cbffffffff-2018-02,3
847a4cbffffffff-2018-08,2
847a4cbffffffff-2018-09,1
847a4cbffffffff-2019-01,4
847a4cbffffffff-2019-02,5
847a4cbffffffff-2019-06,2
847a4cbffffffff-2019-10,1
847a4cbffffffff-2020-01,7
847a4cbffffffff-2020-02,3
847a4cbffffffff-2020-11,1
847a4cbffffffff-2020-12,2
847a4cbffffffff-2021-02,1
847a4cbffffffff-2021-04,3
847a4cbffffffff-2021-05,2
847a4cbffffffff-2021-06,1
847a4cbffffffff-2021-07,2
847a4cbffffffff-2021-08,3
847a4cbffffffff-2021-09,2
847a4cbffffffff-2021-10,2
847a4cbffffffff-2021-11,9
847a4cbffffffff-2021-12,6
847a4cbffffffff-2022-02,5
847a4cbffffffff-2022-03,4
847a4cbffffffff-2022-04,5
847a4cbffffffff-2022-05,4
847a4cbffffffff-2022-06,1
847a4cbffffffff-2022-07,2
847a4cbffffffff-2022-08,2
847a4cbffffffff-2022-09,2
847a4cbffffffff-2022-10,7
847a4cbffffffff-2022-11,3
847a4cbffffffff-2022-12,1
847a4cbffffffff-2023-01,10
847a4cbffffffff-2023-02,22
847a4cbffffffff-2023-03,3
847a4cbffffffff-2023-04,9
847a4cbffffffff-2023-05,13
847a4cbffffffff-2023-06,3
847a4cbffffffff-2023-07,7
847a4cbffffffff-2023-08,10
847a4cbffffffff-2023-09,3
847a4cbffffffff-2023-10,28
847a4cbffffffff-2023-11,13
847a4cdffffffff-2012-03,2
847a4cdffffffff-2018-11,2
847a4cdffffffff-2022-02,2
847a4cdffffffff-2023-03,2
847a4cdffffffff-2023-05,1
847a4d1ffffffff-2017-12,2
847a4d1ffffffff-2023-03,4
847a4ddffffffff-2012-02,4
847a4ddffffffff-2012-10,2
847a4ddffffffff-2013-12,3
847a4ddffffffff-2014-05,1
847a4ddffffffff-2014-09,2
847a4ddffffffff-2015-06,2
847a4ddffffffff-2016-01,1
847a4ddffffffff-2016-04,1
847a4ddffffffff-2016-06,1
847a4ddffffffff-2016-09,2
847a4ddffffffff-2016-11,9
847a4ddffffffff-2017-01,1
847a4ddffffffff-2017-03,5
847a4ddffffffff-2017-12,2
847a4ddffffffff-2018-01,1
847a4ddffffffff-2018-06,6
847a4ddffffffff-2018-07,2
847a4ddffffffff-2018-10,1
847a4ddffffffff-2018-11,4
847a4ddffffffff-2019-02,3
847a4ddffffffff-2019-06,2
847a4ddffffffff-2019-07,4
847a4ddffffffff-2019-09,2
847a4ddffffffff-2019-10,4
847a4ddffffffff-2019-12,4
847a4ddffffffff-2020-01,14
847a4ddffffffff-2020-10,2
847a4ddffffffff-2020-12,1
847a4ddffffffff-2021-02,3
847a4ddffffffff-2021-03,1
847a4ddffffffff-2021-04,2
847a4ddffffffff-2021-05,8
847a4ddffffffff-2021-07,1
847a4ddffffffff-2021-08,5
847a4ddffffffff-2021-10,5
847a4ddffffffff-2021-11,3
847a4ddffffffff-2021-12,4
847a4ddffffffff-2022-02,12
847a4ddffffffff-2022-03,4
