index,n
843cc05ffffffff-2021-05,1
843cc05ffffffff-2021-08,2
843cc05ffffffff-2022-10,1
843cc05ffffffff-2023-09,2
843cc07ffffffff-2014-05,5
843cc07ffffffff-2014-08,2
843cc0bffffffff-2014-03,3
843cc0bffffffff-2019-10,3
843cc0bffffffff-2022-05,2
843cc0dffffffff-2021-10,1
843cc0dffffffff-2022-03,2
843cc0dffffffff-2022-04,1
843cc0dffffffff-2023-03,4
843cc0dffffffff-2023-05,5
843cc21ffffffff-2019-04,1
843cc21ffffffff-2019-05,1
843cc29ffffffff-2020-12,1
843cc29ffffffff-2021-01,3
843cc29ffffffff-2021-02,1
843cc29ffffffff-2021-03,2
843cc29ffffffff-2021-10,2
843cc29ffffffff-2022-02,3
843cc29ffffffff-2022-03,1
843cc29ffffffff-2022-05,2
843cc29ffffffff-2023-01,2
843cc29ffffffff-2023-02,1
843cc29ffffffff-2023-05,6
843cc29ffffffff-2023-06,7
843cc29ffffffff-2023-10,4
843cc2bffffffff-2014-04,2
843cc2bffffffff-2014-05,1
843cc2bffffffff-2014-06,1
843cc2bffffffff-2015-06,1
843cc2bffffffff-2016-04,1
843cc2bffffffff-2019-04,2
843cc2bffffffff-2022-11,1
843cc35ffffffff-2017-04,1
843cc41ffffffff-2013-12,1
843cc41ffffffff-2015-10,2
843cc41ffffffff-2016-09,3
843cc41ffffffff-2016-12,2
843cc41ffffffff-2017-02,2
843cc41ffffffff-2017-08,1
843cc41ffffffff-2017-12,1
843cc41ffffffff-2018-03,4
843cc41ffffffff-2018-05,2
843cc41ffffffff-2018-11,1
843cc41ffffffff-2019-02,7
843cc41ffffffff-2019-03,5
843cc41ffffffff-2019-11,2
843cc41ffffffff-2020-01,3
843cc41ffffffff-2020-02,4
843cc41ffffffff-2020-03,2
843cc41ffffffff-2020-10,2
843cc41ffffffff-2020-11,2
843cc41ffffffff-2020-12,2
843cc41ffffffff-2021-02,9
843cc41ffffffff-2021-03,24
843cc41ffffffff-2021-06,4
843cc41ffffffff-2022-01,2
843cc41ffffffff-2022-02,3
843cc41ffffffff-2022-03,9
843cc41ffffffff-2022-06,1
843cc41ffffffff-2022-10,1
843cc41ffffffff-2022-11,1
843cc41ffffffff-2022-12,21
843cc41ffffffff-2023-01,3
843cc41ffffffff-2023-02,8
843cc41ffffffff-2023-03,13
843cc41ffffffff-2023-04,4
843cc41ffffffff-2023-11,2
843cc43ffffffff-2013-03,3
843cc43ffffffff-2013-11,1
843cc43ffffffff-2015-03,1
843cc43ffffffff-2015-04,1
843cc43ffffffff-2015-05,1
843cc43ffffffff-2015-12,1
843cc43ffffffff-2016-03,2
843cc43ffffffff-2018-03,2
843cc43ffffffff-2018-05,1
843cc43ffffffff-2019-04,1
843cc43ffffffff-2019-12,2
843cc43ffffffff-2020-08,1
843cc43ffffffff-2020-10,2
843cc43ffffffff-2021-03,1
843cc43ffffffff-2021-10,1
843cc43ffffffff-2021-11,1
843cc43ffffffff-2022-02,3
843cc43ffffffff-2022-03,1
843cc43ffffffff-2022-05,1
843cc43ffffffff-2022-07,1
843cc43ffffffff-2022-08,6
843cc43ffffffff-2022-09,6
843cc43ffffffff-2022-10,1
843cc43ffffffff-2022-11,1
843cc43ffffffff-2023-02,2
843cc43ffffffff-2023-03,1
843cc43ffffffff-2023-09,2
843cc47ffffffff-2022-04,10
843cc47ffffffff-2022-05,5
843cc47ffffffff-2022-09,3
843cc47ffffffff-2022-10,3
843cc47ffffffff-2023-04,4
843cc47ffffffff-2023-05,3
843cc51ffffffff-2015-11,3
843cc55ffffffff-2019-11,4
843cc55ffffffff-2021-01,2
843cc55ffffffff-2021-02,1
843cc55ffffffff-2021-03,1
843cc55ffffffff-2021-04,18
843cc55ffffffff-2021-08,1
843cc55ffffffff-2021-10,11
843cc55ffffffff-2021-11,2
843cc55ffffffff-2021-12,19
843cc55ffffffff-2022-01,11
843cc55ffffffff-2022-02,21
843cc55ffffffff-2022-03,14
843cc55ffffffff-2022-04,1
843cc55ffffffff-2022-05,1
843cc55ffffffff-2022-09,2
843cc55ffffffff-2022-10,19
843cc55ffffffff-2022-11,10
843cc55ffffffff-2022-12,2
843cc55ffffffff-2023-01,26
843cc55ffffffff-2023-02,20
843cc55ffffffff-2023-03,18
843cc55ffffffff-2023-04,8
843cc55ffffffff-2023-10,3
843cc55ffffffff-2023-11,3
843cc5bffffffff-2019-09,4
843cc5dffffffff-2019-02,1
843cc5dffffffff-2019-11,5
843cc5dffffffff-2021-01,1
843cc5dffffffff-2021-06,1
843cc5dffffffff-2021-09,2
843cc5dffffffff-2021-10,4
843cc5dffffffff-2021-11,1
843cc5dffffffff-2021-12,1
843cc5dffffffff-2022-02,1
843cc5dffffffff-2022-11,1
843cc5dffffffff-2022-12,2
843cc6bffffffff-2014-10,1
843cc6bffffffff-2016-09,1
843cc6bffffffff-2022-07,5
843cc6bffffffff-2022-10,2
843cc6bffffffff-2022-12,9
843cc6bffffffff-2023-02,6
843cc6bffffffff-2023-05,10
843cdc5ffffffff-2019-02,1
843cdc5ffffffff-2021-09,2
843cdcdffffffff-2022-10,2
843ce2bffffffff-2012-04,4
843ce2bffffffff-2013-05,1
843ce2bffffffff-2021-02,16
843ce2bffffffff-2021-04,1
843ce2bffffffff-2022-06,7
843ce2bffffffff-2023-01,8
843ce2bffffffff-2023-03,2
843ce2bffffffff-2023-06,1
843ce2bffffffff-2023-11,1
843cee7ffffffff-2013-11,1
843cf11ffffffff-2022-09,1
