index,n
8445203ffffffff-2014-12,1
8445203ffffffff-2017-04,1
8445203ffffffff-2019-03,3
8445203ffffffff-2019-04,1
8445203ffffffff-2019-06,1
8445203ffffffff-2020-01,1
8445203ffffffff-2020-03,1
8445203ffffffff-2021-03,2
8445203ffffffff-2021-04,3
844520bffffffff-2012-07,1
844520bffffffff-2015-04,1
844520bffffffff-2016-01,1
844520bffffffff-2016-05,3
844520bffffffff-2016-08,5
844520bffffffff-2016-09,32
844520bffffffff-2017-05,1
844520bffffffff-2017-07,21
844520bffffffff-2018-03,2
844520bffffffff-2018-05,4
844520bffffffff-2019-05,1
844520bffffffff-2019-08,1
844520bffffffff-2019-09,10
844520bffffffff-2021-03,3
844520bffffffff-2021-06,4
844520bffffffff-2021-09,30
844520bffffffff-2021-12,1
844520bffffffff-2023-05,4
844520bffffffff-2023-06,8
844520bffffffff-2023-07,7
8445215ffffffff-2019-04,4
8445217ffffffff-2019-02,3
8445217ffffffff-2019-08,17
8445217ffffffff-2019-09,13
8445217ffffffff-2022-05,1
844521dffffffff-2019-02,1
844521dffffffff-2020-04,4
844521dffffffff-2020-10,7
844521dffffffff-2021-04,7
844521dffffffff-2022-09,1
8445221ffffffff-2012-08,2
8445221ffffffff-2017-01,1
8445221ffffffff-2018-01,1
8445221ffffffff-2018-08,2
8445225ffffffff-2012-09,1
8445225ffffffff-2013-02,1
8445225ffffffff-2013-03,2
8445225ffffffff-2013-08,1
8445225ffffffff-2014-01,4
8445225ffffffff-2014-02,2
8445225ffffffff-2014-03,3
8445225ffffffff-2014-06,1
8445225ffffffff-2014-09,2
8445225ffffffff-2015-03,4
8445225ffffffff-2015-07,1
8445225ffffffff-2015-10,2
8445225ffffffff-2016-02,1
8445225ffffffff-2016-04,1
8445225ffffffff-2016-05,1
8445225ffffffff-2016-11,10
8445225ffffffff-2016-12,2
8445225ffffffff-2017-01,3
8445225ffffffff-2017-02,4
8445225ffffffff-2017-03,2
8445225ffffffff-2017-05,2
8445225ffffffff-2017-07,1
8445225ffffffff-2017-10,2
8445225ffffffff-2017-11,1
8445225ffffffff-2018-01,1
8445225ffffffff-2018-02,2
8445225ffffffff-2018-03,14
8445225ffffffff-2018-04,1
8445225ffffffff-2018-05,3
8445225ffffffff-2018-07,1
8445225ffffffff-2018-08,1
8445225ffffffff-2018-10,1
8445225ffffffff-2019-02,2
8445225ffffffff-2019-03,2
8445225ffffffff-2019-04,1
8445225ffffffff-2019-05,3
8445225ffffffff-2019-09,4
8445225ffffffff-2019-10,1
8445225ffffffff-2020-01,1
8445225ffffffff-2020-02,11
8445225ffffffff-2020-03,3
8445225ffffffff-2020-04,3
8445225ffffffff-2020-07,1
8445225ffffffff-2020-10,4
8445225ffffffff-2020-11,2
8445225ffffffff-2021-03,1
8445225ffffffff-2021-05,2
8445225ffffffff-2021-08,2
8445225ffffffff-2021-10,2
8445225ffffffff-2021-12,7
8445225ffffffff-2022-01,1
8445225ffffffff-2022-02,1
8445225ffffffff-2023-03,2
8445225ffffffff-2023-04,1
8445225ffffffff-2023-08,3
844522dffffffff-2023-06,1
8445233ffffffff-2014-01,1
8445233ffffffff-2014-02,2
8445233ffffffff-2014-12,5
8445233ffffffff-2015-01,1
8445233ffffffff-2015-02,2
8445233ffffffff-2015-03,3
8445233ffffffff-2016-01,1
8445233ffffffff-2016-03,3
8445233ffffffff-2016-04,1
8445233ffffffff-2016-06,1
8445233ffffffff-2017-03,3
8445233ffffffff-2018-01,1
8445233ffffffff-2018-02,3
8445233ffffffff-2018-03,1
8445233ffffffff-2018-06,1
8445233ffffffff-2019-05,1
8445233ffffffff-2020-01,2
8445233ffffffff-2023-03,1
844523bffffffff-2019-05,6
844523bffffffff-2021-02,1
844523bffffffff-2022-10,1
8445257ffffffff-2021-01,2
8445257ffffffff-2021-12,5
8445289ffffffff-2019-06,3
8445289ffffffff-2019-08,6
8445289ffffffff-2020-02,5
8445289ffffffff-2022-01,1
8445289ffffffff-2023-03,2
84452a9ffffffff-2016-03,3
84452a9ffffffff-2017-05,6
84452a9ffffffff-2018-03,5
