index,n
849e021ffffffff-2016-01,14
849e021ffffffff-2021-05,5
849e021ffffffff-2021-09,1
849e021ffffffff-2021-11,1
849e025ffffffff-2012-08,1
849e025ffffffff-2013-10,3
849e025ffffffff-2014-10,1
849e025ffffffff-2015-09,1
849e025ffffffff-2016-07,2
849e025ffffffff-2017-06,3
849e025ffffffff-2017-10,1
849e025ffffffff-2018-09,1
849e025ffffffff-2018-10,3
849e025ffffffff-2019-08,3
849e025ffffffff-2020-02,2
849e025ffffffff-2020-10,1
849e025ffffffff-2021-05,2
849e025ffffffff-2021-08,7
849e025ffffffff-2021-10,1
849e025ffffffff-2022-11,2
849e025ffffffff-2022-12,1
849e025ffffffff-2023-08,1
849e027ffffffff-2021-08,72
849e027ffffffff-2021-09,14
849e029ffffffff-2021-12,4
849e02dffffffff-2014-06,2
849e02dffffffff-2015-04,1
849e02dffffffff-2017-06,1
849e02dffffffff-2018-07,2
849e02dffffffff-2018-09,2
849e02dffffffff-2018-11,1
849e02dffffffff-2019-01,1
849e02dffffffff-2019-05,1
849e02dffffffff-2019-08,2
849e02dffffffff-2019-10,1
849e02dffffffff-2020-02,1
849e02dffffffff-2020-10,4
849e02dffffffff-2020-11,1
849e02dffffffff-2021-02,1
849e02dffffffff-2021-03,2
849e02dffffffff-2021-04,2
849e02dffffffff-2021-05,14
849e02dffffffff-2021-06,1
849e02dffffffff-2021-07,18
849e02dffffffff-2021-08,8
849e02dffffffff-2021-09,6
849e02dffffffff-2021-10,3
849e02dffffffff-2021-12,4
849e02dffffffff-2022-06,3
849e02dffffffff-2022-07,2
849e02dffffffff-2022-08,1
849e02dffffffff-2022-10,5
849e02dffffffff-2023-02,4
849e02dffffffff-2023-04,5
849e02dffffffff-2023-05,2
849e02dffffffff-2023-06,1
849e02dffffffff-2023-07,2
849e02dffffffff-2023-08,2
849e061ffffffff-2021-07,1
849e065ffffffff-2019-06,1
849e067ffffffff-2014-11,8
849e067ffffffff-2019-05,2
849e067ffffffff-2020-10,4
849e067ffffffff-2021-03,1
849e067ffffffff-2021-12,3
849e067ffffffff-2023-05,1
849e067ffffffff-2023-08,3
849e06dffffffff-2019-06,2
849e06dffffffff-2020-02,1
849e103ffffffff-2014-12,14
849e103ffffffff-2021-06,3
849e113ffffffff-2020-10,6
849e119ffffffff-2017-08,2
849e119ffffffff-2018-07,2
849e119ffffffff-2019-08,1
849e119ffffffff-2021-05,3
849e119ffffffff-2021-07,2
849e119ffffffff-2023-03,1
849e135ffffffff-2023-11,3
849e13dffffffff-2014-04,1
849e13dffffffff-2014-10,1
849e13dffffffff-2014-12,12
849e13dffffffff-2015-10,1
849e13dffffffff-2017-10,1
849e13dffffffff-2020-11,2
849e13dffffffff-2022-08,2
849e13dffffffff-2023-02,10
849e13dffffffff-2023-04,2
849e153ffffffff-2016-07,1
849e153ffffffff-2017-06,1
849e153ffffffff-2019-08,2
849e153ffffffff-2023-04,1
849e227ffffffff-2018-09,1
849e227ffffffff-2021-11,1
849e227ffffffff-2022-05,5
849e227ffffffff-2022-08,3
849e227ffffffff-2022-09,1
849e245ffffffff-2014-10,1
849e245ffffffff-2014-11,3
849e245ffffffff-2014-12,2
849e245ffffffff-2015-04,1
849e245ffffffff-2015-10,3
849e245ffffffff-2015-11,2
849e245ffffffff-2015-12,1
849e245ffffffff-2017-02,4
849e245ffffffff-2017-05,1
849e245ffffffff-2017-10,2
849e245ffffffff-2017-11,1
849e245ffffffff-2018-06,2
849e245ffffffff-2018-11,2
849e245ffffffff-2019-03,2
849e245ffffffff-2019-05,1
849e245ffffffff-2019-06,7
849e245ffffffff-2019-07,1
849e245ffffffff-2019-08,4
849e245ffffffff-2019-10,4
849e245ffffffff-2020-02,7
849e245ffffffff-2020-03,1
849e245ffffffff-2020-05,1
849e245ffffffff-2020-09,9
849e245ffffffff-2020-10,51
849e245ffffffff-2020-11,29
849e245ffffffff-2020-12,8
