index,n
842c015ffffffff-2018-04,1
842c015ffffffff-2018-06,1
842c015ffffffff-2018-09,1
842c015ffffffff-2019-05,1
842c015ffffffff-2022-04,1
842c015ffffffff-2022-05,4
842c015ffffffff-2022-06,1
842c015ffffffff-2023-04,9
842c015ffffffff-2023-05,19
842c015ffffffff-2023-06,4
842c015ffffffff-2023-08,1
842c01dffffffff-2016-04,1
842c043ffffffff-2014-06,3
842c043ffffffff-2018-11,2
842c043ffffffff-2021-05,1
842c043ffffffff-2021-10,2
842c043ffffffff-2021-11,2
842c043ffffffff-2023-04,1
842c043ffffffff-2023-06,3
842c043ffffffff-2023-08,1
842c055ffffffff-2019-06,1
842c10bffffffff-2021-05,1
842c139ffffffff-2021-09,1
842c157ffffffff-2021-05,2
842c183ffffffff-2016-07,2
842c183ffffffff-2022-07,1
842c191ffffffff-2023-02,3
842c19dffffffff-2021-08,2
842c1ddffffffff-2016-05,1
842c1ddffffffff-2018-04,5
842c1ddffffffff-2018-05,1
842c1ddffffffff-2019-05,1
842c1ddffffffff-2019-09,1
842c205ffffffff-2016-09,2
842c205ffffffff-2017-05,1
842c205ffffffff-2020-08,1
842c207ffffffff-2019-08,2
842c207ffffffff-2020-10,1
842c215ffffffff-2018-05,1
842c217ffffffff-2020-06,1
842c229ffffffff-2021-08,2
842c263ffffffff-2013-05,6
842c263ffffffff-2013-06,2
842c263ffffffff-2015-05,7
842c263ffffffff-2015-06,1
842c263ffffffff-2017-07,1
842c263ffffffff-2018-04,2
842c263ffffffff-2018-06,2
842c263ffffffff-2018-08,1
842c263ffffffff-2019-05,1
842c263ffffffff-2019-06,2
842c263ffffffff-2020-11,1
842c263ffffffff-2022-06,2
842c263ffffffff-2022-07,2
842c263ffffffff-2022-09,2
842c263ffffffff-2022-10,1
842c2e9ffffffff-2021-09,1
842c2e9ffffffff-2022-06,1
842c2e9ffffffff-2022-07,1
842c2e9ffffffff-2023-09,1
842c8a3ffffffff-2022-05,1
842c8a7ffffffff-2022-05,1
842c8a9ffffffff-2019-06,1
