index,n
84684e5ffffffff-2012-03,2
84684e5ffffffff-2014-01,2
84684e5ffffffff-2014-02,3
84684e5ffffffff-2014-03,1
84684e5ffffffff-2014-06,2
84684e5ffffffff-2015-02,5
84684e5ffffffff-2015-04,2
84684e5ffffffff-2016-01,1
84684e5ffffffff-2016-02,2
84684e5ffffffff-2016-03,6
84684e5ffffffff-2016-05,2
84684e5ffffffff-2016-06,3
84684e5ffffffff-2016-12,1
84684e5ffffffff-2017-01,3
84684e5ffffffff-2017-02,5
84684e5ffffffff-2017-03,3
84684e5ffffffff-2017-05,1
84684e5ffffffff-2017-10,2
84684e5ffffffff-2017-12,4
84684e5ffffffff-2018-02,3
84684e5ffffffff-2018-03,1
84684e5ffffffff-2018-05,2
84684e5ffffffff-2018-06,2
84684e5ffffffff-2019-02,1
84684e5ffffffff-2019-03,1
84684e5ffffffff-2020-01,6
84684e5ffffffff-2020-02,7
84684e5ffffffff-2020-03,6
84684e5ffffffff-2021-04,3
84684e5ffffffff-2022-05,14
84684e5ffffffff-2022-08,2
84684e5ffffffff-2022-10,1
84684e5ffffffff-2022-12,1
84684e5ffffffff-2023-01,15
84684e5ffffffff-2023-02,6
84684e5ffffffff-2023-03,4
84684e5ffffffff-2023-04,4
84684e5ffffffff-2023-05,7
84684e5ffffffff-2023-10,1
84685e9ffffffff-2018-08,1
84685e9ffffffff-2022-08,3
84685e9ffffffff-2023-02,3
84686e9ffffffff-2013-04,1
84686e9ffffffff-2015-05,1
84686e9ffffffff-2016-06,1
84686e9ffffffff-2017-05,1
84686e9ffffffff-2022-08,2
84686e9ffffffff-2023-02,3
84686e9ffffffff-2023-08,3
846969dffffffff-2017-01,2
