index,n
8464145ffffffff-2018-02,1
8464149ffffffff-2018-03,1
8464149ffffffff-2019-05,1
846414dffffffff-2015-06,2
8464161ffffffff-2015-12,2
8464169ffffffff-2019-03,1
8464169ffffffff-2019-05,1
8464169ffffffff-2020-02,1
8464169ffffffff-2021-03,1
846416dffffffff-2012-01,1
846416dffffffff-2012-05,1
846416dffffffff-2013-03,1
846416dffffffff-2014-01,1
846416dffffffff-2014-03,3
846416dffffffff-2014-05,1
846416dffffffff-2015-01,1
846416dffffffff-2015-04,2
846416dffffffff-2015-05,2
846416dffffffff-2015-06,1
846416dffffffff-2015-11,3
846416dffffffff-2015-12,2
846416dffffffff-2016-01,2
846416dffffffff-2016-02,2
846416dffffffff-2016-03,2
846416dffffffff-2016-04,2
846416dffffffff-2016-05,3
846416dffffffff-2016-06,1
846416dffffffff-2017-02,4
846416dffffffff-2017-03,1
846416dffffffff-2017-04,3
846416dffffffff-2017-05,2
846416dffffffff-2017-06,16
846416dffffffff-2018-03,1
846416dffffffff-2018-04,6
846416dffffffff-2018-05,6
846416dffffffff-2018-06,1
846416dffffffff-2018-11,3
846416dffffffff-2019-01,2
846416dffffffff-2019-02,8
846416dffffffff-2019-03,21
846416dffffffff-2019-05,1
846416dffffffff-2019-06,3
846416dffffffff-2019-07,1
846416dffffffff-2019-11,8
846416dffffffff-2019-12,1
846416dffffffff-2020-01,9
846416dffffffff-2020-02,17
846416dffffffff-2020-03,12
846416dffffffff-2020-07,3
846416dffffffff-2021-01,1
846416dffffffff-2021-02,4
846416dffffffff-2021-03,1
846416dffffffff-2021-04,1
846416dffffffff-2021-05,6
846416dffffffff-2021-06,2
846416dffffffff-2021-07,2
846416dffffffff-2021-11,1
846416dffffffff-2022-03,6
846416dffffffff-2022-04,15
846416dffffffff-2022-05,4
846416dffffffff-2022-06,5
846416dffffffff-2022-07,1
846416dffffffff-2022-08,1
846416dffffffff-2022-09,3
846416dffffffff-2022-10,4
846416dffffffff-2022-11,2
846416dffffffff-2022-12,4
846416dffffffff-2023-01,4
846416dffffffff-2023-02,7
846416dffffffff-2023-03,6
846416dffffffff-2023-04,19
846416dffffffff-2023-05,6
846416dffffffff-2023-07,7
846416dffffffff-2023-08,2
846416dffffffff-2023-10,26
846416dffffffff-2023-11,7
8464225ffffffff-2014-02,1
8464225ffffffff-2017-07,1
8464225ffffffff-2019-07,1
8464225ffffffff-2022-08,1
846422dffffffff-2015-11,1
846422dffffffff-2016-09,1
846422dffffffff-2017-01,2
846422dffffffff-2018-04,2
846422dffffffff-2022-03,1
846422dffffffff-2023-03,2
846422dffffffff-2023-06,1
846422dffffffff-2023-07,1
846430bffffffff-2018-07,1
846430bffffffff-2018-08,1
846430bffffffff-2019-04,3
846430bffffffff-2023-04,2
8464319ffffffff-2015-03,1
8464319ffffffff-2015-08,1
8464319ffffffff-2015-11,1
8464319ffffffff-2015-12,1
8464319ffffffff-2016-02,1
8464319ffffffff-2016-03,3
8464319ffffffff-2016-04,4
8464319ffffffff-2016-07,1
8464319ffffffff-2016-10,1
