index,n
8497003ffffffff-2023-09,1
8497003ffffffff-2023-10,4
8497007ffffffff-2023-04,1
8497007ffffffff-2023-10,3
849702bffffffff-2018-11,1
849702bffffffff-2019-11,8
849702bffffffff-2019-12,2
849702bffffffff-2021-11,6
849702bffffffff-2021-12,2
8497035ffffffff-2014-01,3
8497035ffffffff-2014-03,1
8497035ffffffff-2014-08,2
8497035ffffffff-2014-12,1
8497035ffffffff-2015-05,1
8497035ffffffff-2015-08,1
8497035ffffffff-2015-11,16
8497035ffffffff-2015-12,1
8497035ffffffff-2016-05,1
8497035ffffffff-2016-06,1
8497035ffffffff-2016-07,4
8497035ffffffff-2016-08,1
8497035ffffffff-2016-09,1
8497035ffffffff-2016-10,1
8497035ffffffff-2016-11,1
8497035ffffffff-2016-12,2
8497035ffffffff-2017-01,3
8497035ffffffff-2017-05,1
8497035ffffffff-2017-08,3
8497035ffffffff-2017-12,5
8497035ffffffff-2018-04,1
8497035ffffffff-2018-05,1
8497035ffffffff-2018-06,7
8497035ffffffff-2018-08,1
8497035ffffffff-2018-11,4
8497035ffffffff-2019-02,1
8497035ffffffff-2019-03,2
8497035ffffffff-2019-04,1
8497035ffffffff-2019-08,5
8497035ffffffff-2019-09,2
8497035ffffffff-2019-11,2
8497035ffffffff-2020-01,3
8497035ffffffff-2020-03,6
8497035ffffffff-2020-04,4
8497035ffffffff-2020-05,6
8497035ffffffff-2020-06,10
8497035ffffffff-2021-03,1
8497035ffffffff-2021-04,1
8497035ffffffff-2021-06,1
8497035ffffffff-2021-08,6
8497035ffffffff-2021-09,1
8497035ffffffff-2021-11,7
8497035ffffffff-2021-12,3
8497035ffffffff-2022-03,2
8497035ffffffff-2022-04,1
8497035ffffffff-2022-06,1
8497035ffffffff-2022-08,1
8497035ffffffff-2022-09,5
8497035ffffffff-2022-10,7
8497035ffffffff-2022-11,3
8497035ffffffff-2022-12,3
8497035ffffffff-2023-01,1
8497035ffffffff-2023-04,2
8497035ffffffff-2023-05,1
8497035ffffffff-2023-07,2
8497035ffffffff-2023-08,2
8497035ffffffff-2023-09,11
8497035ffffffff-2023-11,5
8497039ffffffff-2021-10,3
849703dffffffff-2012-04,3
849703dffffffff-2018-11,1
849703dffffffff-2019-11,9
849703dffffffff-2022-05,1
849703dffffffff-2023-05,1
849703dffffffff-2023-10,1
8497113ffffffff-2015-11,1
8497113ffffffff-2015-12,5
8497113ffffffff-2022-05,1
8497113ffffffff-2023-04,1
8497113ffffffff-2023-07,3
84971c1ffffffff-2013-02,1
84971c1ffffffff-2016-08,1
84971c1ffffffff-2018-06,2
84971c1ffffffff-2020-05,3
84971c1ffffffff-2020-11,1
84971c1ffffffff-2021-02,2
84971c1ffffffff-2021-05,1
84971c1ffffffff-2021-10,2
84971c1ffffffff-2022-02,5
84971c1ffffffff-2022-03,1
84971c1ffffffff-2022-04,1
84971c1ffffffff-2022-05,6
84971c1ffffffff-2022-06,2
84971c1ffffffff-2022-07,1
84971c1ffffffff-2022-10,3
84971c1ffffffff-2022-12,1
84971c1ffffffff-2023-01,3
84971c1ffffffff-2023-02,3
84971c1ffffffff-2023-03,4
84971c1ffffffff-2023-04,4
84971c1ffffffff-2023-05,1
84971c1ffffffff-2023-06,1
84971c1ffffffff-2023-09,2
84971c1ffffffff-2023-10,3
84971c3ffffffff-2015-02,1
84971c3ffffffff-2020-05,2
84971c3ffffffff-2020-06,1
84971c3ffffffff-2020-11,1
84971c3ffffffff-2021-01,2
84971c3ffffffff-2021-02,1
84971c3ffffffff-2021-04,3
84971c3ffffffff-2021-05,4
84971c3ffffffff-2021-06,2
84971c3ffffffff-2021-08,1
84971c3ffffffff-2021-09,1
84971c3ffffffff-2021-12,3
84971c3ffffffff-2022-01,3
84971c3ffffffff-2022-05,7
84971c3ffffffff-2022-08,1
84971c3ffffffff-2022-09,1
84971c3ffffffff-2022-10,7
84971c3ffffffff-2022-11,4
84971c3ffffffff-2022-12,4
84971c3ffffffff-2023-01,2
84971c3ffffffff-2023-02,3
84971c3ffffffff-2023-04,3
84971c3ffffffff-2023-06,1
84971c3ffffffff-2023-09,3
84971c7ffffffff-2022-02,1
84971c7ffffffff-2022-05,1
84971c7ffffffff-2022-06,1
84971c7ffffffff-2022-10,1
84971c7ffffffff-2023-10,1
84971cbffffffff-2018-06,2
84971cbffffffff-2020-02,5
84971cbffffffff-2020-03,2
84971cbffffffff-2020-04,2
84971cbffffffff-2020-05,2
84971cbffffffff-2020-06,2
84971cbffffffff-2020-07,3
84971cbffffffff-2020-08,1
84971cbffffffff-2020-10,1
84971cbffffffff-2020-12,1
84971cbffffffff-2021-01,2
84971cbffffffff-2021-02,1
84971cbffffffff-2021-03,1
84971cbffffffff-2021-10,1
84971cbffffffff-2022-01,1
84971cbffffffff-2022-05,8
84971cbffffffff-2023-03,1
84971cbffffffff-2023-10,1
84971cbffffffff-2023-11,1
