index,n
84309a5ffffffff-2021-06,1
84309a5ffffffff-2021-07,7
84309a5ffffffff-2022-03,3
84309a5ffffffff-2022-04,2
8440035ffffffff-2015-05,1
8440035ffffffff-2016-05,1
8440035ffffffff-2021-07,1
8440035ffffffff-2022-07,5
844004dffffffff-2013-08,2
844004dffffffff-2015-05,1
844004dffffffff-2015-06,2
844005dffffffff-2023-07,2
84400c1ffffffff-2022-11,1
84400cdffffffff-2019-08,1
84400d9ffffffff-2021-07,3
8440197ffffffff-2022-09,1
8440201ffffffff-2022-07,1
8440203ffffffff-2022-07,1
844020bffffffff-2022-07,1
844023dffffffff-2022-06,1
8440257ffffffff-2021-08,2
8440257ffffffff-2022-08,1
84402a9ffffffff-2021-07,1
84402e7ffffffff-2015-06,1
84402e7ffffffff-2016-05,1
84402e7ffffffff-2020-08,1
8440317ffffffff-2016-06,5
844034bffffffff-2018-08,1
844034bffffffff-2019-06,1
8440e6dffffffff-2019-08,1
8441103ffffffff-2019-04,1
8441181ffffffff-2018-05,1
8441181ffffffff-2023-04,1
8441185ffffffff-2018-05,3
8441185ffffffff-2018-06,2
8441185ffffffff-2019-05,4
8441185ffffffff-2019-06,6
8441185ffffffff-2020-05,5
8441185ffffffff-2020-06,1
8441185ffffffff-2021-05,5
8441185ffffffff-2023-06,2
8441189ffffffff-2018-07,1
8441189ffffffff-2019-06,2
8441189ffffffff-2020-06,1
8441189ffffffff-2022-07,1
8441189ffffffff-2023-05,1
844118bffffffff-2017-06,1
844118bffffffff-2017-07,2
844118bffffffff-2019-03,1
844118bffffffff-2023-01,1
844118bffffffff-2023-02,1
844118bffffffff-2023-06,1
844118dffffffff-2014-12,1
844118dffffffff-2017-07,1
844118dffffffff-2018-04,1
844118dffffffff-2018-05,1
844118dffffffff-2018-06,1
844118dffffffff-2018-07,1
844118dffffffff-2020-03,1
844118dffffffff-2020-04,2
844118dffffffff-2020-05,5
844118dffffffff-2020-06,1
844118dffffffff-2020-08,1
844118dffffffff-2021-03,1
844118dffffffff-2022-05,1
844118dffffffff-2023-06,2
8441193ffffffff-2015-08,1
8441193ffffffff-2016-07,1
8441199ffffffff-2018-02,1
8441199ffffffff-2019-01,3
8441199ffffffff-2019-03,1
8441199ffffffff-2019-05,1
8441199ffffffff-2019-06,3
8441199ffffffff-2019-08,2
8441199ffffffff-2019-10,1
8441199ffffffff-2020-05,2
8441199ffffffff-2021-02,2
8441199ffffffff-2021-05,1
8441199ffffffff-2022-03,1
8441199ffffffff-2022-05,4
8441199ffffffff-2023-04,1
84411a3ffffffff-2023-05,4
84411a5ffffffff-2020-05,1
84411a7ffffffff-2018-06,1
84411a7ffffffff-2019-05,2
84411a7ffffffff-2022-03,1
84411a7ffffffff-2023-06,1
84411a7ffffffff-2023-07,1
84411a9ffffffff-2020-05,2
84411adffffffff-2019-07,1
84411adffffffff-2020-06,1
84411b5ffffffff-2014-05,1
84411b5ffffffff-2015-04,1
84411b5ffffffff-2015-05,1
84411b5ffffffff-2015-08,2
84411b5ffffffff-2016-05,11
84411b5ffffffff-2017-04,1
84411b5ffffffff-2017-05,1
84411b5ffffffff-2017-06,1
84411b5ffffffff-2017-10,1
84411b5ffffffff-2018-07,1
84411b5ffffffff-2019-06,12
84411b5ffffffff-2020-05,2
84411b5ffffffff-2020-06,1
84411b5ffffffff-2021-11,1
84411b5ffffffff-2022-07,1
84411b5ffffffff-2023-08,2
84411bdffffffff-2020-07,1
84411c1ffffffff-2021-03,1
84411c7ffffffff-2017-06,1
84411c7ffffffff-2018-05,4
84411c7ffffffff-2018-06,1
84411c7ffffffff-2023-04,2
84411c7ffffffff-2023-06,2
84411c9ffffffff-2020-04,1
84411c9ffffffff-2020-05,1
84411c9ffffffff-2022-01,2
84411c9ffffffff-2022-02,10
84411c9ffffffff-2022-03,3
84411c9ffffffff-2022-04,2
84411c9ffffffff-2023-01,1
84411c9ffffffff-2023-03,5
84411c9ffffffff-2023-04,1
84411c9ffffffff-2023-06,1
84411cbffffffff-2016-03,4
84411cbffffffff-2016-04,5
84411cbffffffff-2016-05,2
84411cbffffffff-2018-04,1
84411cbffffffff-2018-05,2
84411cbffffffff-2018-08,2
84411cbffffffff-2019-02,13
84411cbffffffff-2019-03,13
84411cbffffffff-2019-04,21
84411cbffffffff-2019-05,5
84411cbffffffff-2019-06,1
84411cbffffffff-2019-09,1
84411cbffffffff-2020-04,10
84411cbffffffff-2020-05,7
84411cbffffffff-2020-06,1
84411cbffffffff-2020-07,15
84411cbffffffff-2020-11,1
84411cbffffffff-2021-01,6
84411cbffffffff-2021-02,24
84411cbffffffff-2021-03,42
84411cbffffffff-2021-04,36
84411cbffffffff-2021-05,32
84411cbffffffff-2021-06,7
84411cbffffffff-2021-07,9
84411cbffffffff-2021-09,1
84411cbffffffff-2022-01,1
84411cbffffffff-2022-02,2
84411cbffffffff-2022-03,25
84411cbffffffff-2022-04,58
84411cbffffffff-2022-05,11
84411cbffffffff-2022-06,2
84411cbffffffff-2022-09,1
84411cbffffffff-2023-02,1
84411cbffffffff-2023-03,16
84411cbffffffff-2023-04,23
84411cbffffffff-2023-05,15
84411cbffffffff-2023-06,1
84411cbffffffff-2023-09,2
84411cdffffffff-2021-05,1
84411e1ffffffff-2019-05,1
84411e3ffffffff-2019-03,2
84411e7ffffffff-2013-08,1
84411e7ffffffff-2019-11,1
84411e9ffffffff-2018-01,1
84411e9ffffffff-2018-07,1
84411e9ffffffff-2018-12,1
84411ebffffffff-2022-01,1
84415e9ffffffff-2023-01,1
84415edffffffff-2019-02,4
8441701ffffffff-2022-01,1
8441701ffffffff-2023-03,9
8441703ffffffff-2017-01,2
8441703ffffffff-2018-04,1
8441703ffffffff-2019-02,1
8441703ffffffff-2022-01,1
8441705ffffffff-2021-09,1
8441707ffffffff-2023-03,2
8441709ffffffff-2018-05,1
8441709ffffffff-2019-04,2
8441709ffffffff-2019-11,4
8441709ffffffff-2023-01,1
8441709ffffffff-2023-02,1
844170bffffffff-2017-04,5
844170bffffffff-2019-01,1
844170bffffffff-2019-03,3
844170bffffffff-2021-01,2
844170bffffffff-2021-09,1
844170bffffffff-2022-02,1
844170bffffffff-2022-07,1
844170bffffffff-2023-01,1
844170bffffffff-2023-08,1
8441715ffffffff-2015-02,1
8441715ffffffff-2016-12,6
8441715ffffffff-2019-01,1
8441715ffffffff-2020-08,1
8441715ffffffff-2021-02,2
8441715ffffffff-2022-01,6
8441715ffffffff-2022-02,4
8441715ffffffff-2022-12,2
8441715ffffffff-2023-03,1
8441719ffffffff-2014-01,1
8441719ffffffff-2014-12,15
8441719ffffffff-2015-01,1
8441719ffffffff-2015-02,1
8441719ffffffff-2015-10,1
8441719ffffffff-2015-11,1
8441719ffffffff-2016-03,1
8441719ffffffff-2016-04,1
8441719ffffffff-2016-12,12
8441719ffffffff-2017-01,4
8441719ffffffff-2017-02,1
8441719ffffffff-2017-04,1
8441719ffffffff-2017-11,6
8441719ffffffff-2017-12,2
8441719ffffffff-2018-01,2
8441719ffffffff-2018-02,1
8441719ffffffff-2018-04,3
8441719ffffffff-2018-09,2
8441719ffffffff-2018-12,27
8441719ffffffff-2019-01,1
8441719ffffffff-2019-02,4
8441719ffffffff-2019-03,3
8441719ffffffff-2019-09,2
8441719ffffffff-2019-11,1
8441719ffffffff-2019-12,12
8441719ffffffff-2020-01,8
8441719ffffffff-2020-08,3
8441719ffffffff-2020-11,3
8441719ffffffff-2020-12,10
8441719ffffffff-2021-01,28
8441719ffffffff-2021-02,17
8441719ffffffff-2021-03,18
8441719ffffffff-2021-04,2
8441719ffffffff-2021-05,3
8441719ffffffff-2021-06,2
8441719ffffffff-2021-09,4
