index,n
848b083ffffffff-2021-09,1
848b083ffffffff-2022-12,1
848b08bffffffff-2023-08,3
848b095ffffffff-2021-08,1
848b095ffffffff-2022-12,2
848b0c9ffffffff-2015-06,1
848b0cdffffffff-2021-09,1
848b0d1ffffffff-2012-04,5
848b0d1ffffffff-2014-06,3
848b0d1ffffffff-2014-07,1
848b0d1ffffffff-2015-06,1
848b0d1ffffffff-2015-07,3
848b0d1ffffffff-2015-08,2
848b0d1ffffffff-2015-09,8
848b0d1ffffffff-2015-10,4
848b0d1ffffffff-2015-12,1
848b0d1ffffffff-2016-05,1
848b0d1ffffffff-2016-08,1
848b0d1ffffffff-2016-10,2
848b0d1ffffffff-2016-12,3
848b0d1ffffffff-2017-04,1
848b0d1ffffffff-2017-09,2
848b0d1ffffffff-2017-10,2
848b0d1ffffffff-2018-07,2
848b0d1ffffffff-2018-09,3
848b0d1ffffffff-2018-10,2
848b0d1ffffffff-2019-04,1
848b0d1ffffffff-2019-08,1
848b0d1ffffffff-2019-09,2
848b0d1ffffffff-2020-09,1
848b0d1ffffffff-2020-10,1
848b0d1ffffffff-2020-11,2
848b0d1ffffffff-2021-09,9
848b0d1ffffffff-2021-10,1
848b0d1ffffffff-2021-11,4
848b0d1ffffffff-2022-05,4
848b0d1ffffffff-2022-07,6
848b0d1ffffffff-2022-08,7
848b0d1ffffffff-2022-09,5
848b0d1ffffffff-2022-10,9
848b0d1ffffffff-2022-11,2
848b0d1ffffffff-2023-05,1
848b0d1ffffffff-2023-06,1
848b0d1ffffffff-2023-07,5
848b0d1ffffffff-2023-08,1
848b0d1ffffffff-2023-09,4
848b0d1ffffffff-2023-10,6
848b0d3ffffffff-2017-01,1
848b0d5ffffffff-2021-09,3
848b0e7ffffffff-2022-01,1
848b2a5ffffffff-2021-11,1
848b2a5ffffffff-2023-05,1
848b2a7ffffffff-2023-05,1
848b72dffffffff-2017-01,1
848b72dffffffff-2017-02,1
848b72dffffffff-2017-03,1
848b72dffffffff-2021-10,1
848b72dffffffff-2022-09,5
848b76bffffffff-2023-05,3
84a8009ffffffff-2020-06,2
84a8009ffffffff-2020-12,1
84a8041ffffffff-2019-10,1
84a8041ffffffff-2019-12,1
84a8041ffffffff-2020-02,7
84a8041ffffffff-2020-03,4
84a8041ffffffff-2020-04,1
84a8041ffffffff-2020-05,1
84a8041ffffffff-2023-04,1
84a8041ffffffff-2023-06,1
84a8041ffffffff-2023-07,1
84a8041ffffffff-2023-08,3
84a8043ffffffff-2021-06,1
84a8043ffffffff-2021-08,1
84a8043ffffffff-2021-09,1
84a8043ffffffff-2021-10,1
84a8043ffffffff-2022-02,1
84a8043ffffffff-2023-07,1
84a8049ffffffff-2017-02,3
84a8049ffffffff-2018-05,2
84a8049ffffffff-2018-10,3
84a8049ffffffff-2020-04,1
84a8049ffffffff-2020-06,1
84a8049ffffffff-2023-02,2
84a8049ffffffff-2023-03,1
84a8049ffffffff-2023-05,1
84a8049ffffffff-2023-09,4
84a8049ffffffff-2023-11,1
84a804bffffffff-2017-10,1
84a804bffffffff-2020-10,1
84a804bffffffff-2021-07,1
84a804bffffffff-2022-09,1
84a804bffffffff-2022-12,1
84a804bffffffff-2023-01,1
84a804dffffffff-2018-01,1
84a804dffffffff-2018-08,2
84a804dffffffff-2018-11,2
84a804dffffffff-2019-12,2
84a804dffffffff-2020-03,2
84a804dffffffff-2020-04,2
84a804dffffffff-2020-11,1
84a804dffffffff-2023-05,1
84a8055ffffffff-2016-07,1
84a8055ffffffff-2017-07,1
84a8055ffffffff-2018-10,1
84a8055ffffffff-2019-09,1
84a8055ffffffff-2020-07,1
84a8055ffffffff-2022-04,3
84a8055ffffffff-2022-10,2
84a8055ffffffff-2023-01,1
84a8055ffffffff-2023-04,2
84a8055ffffffff-2023-06,1
84a8055ffffffff-2023-07,4
84a8055ffffffff-2023-11,4
84a8057ffffffff-2017-07,1
84a805dffffffff-2019-10,2
84a805dffffffff-2020-11,1
84a805dffffffff-2021-06,1
84a805dffffffff-2022-07,6
84a805dffffffff-2022-10,2
84a805dffffffff-2023-01,1
84a80d9ffffffff-2018-01,1
84a8107ffffffff-2013-08,2
84a8107ffffffff-2015-05,2
84a8109ffffffff-2018-05,2
84a810dffffffff-2015-06,1
84a810dffffffff-2023-01,2
84a8123ffffffff-2021-11,1
84a8127ffffffff-2015-11,2
84a8127ffffffff-2022-03,1
84a8129ffffffff-2020-08,1
84a813bffffffff-2018-07,2
84a813bffffffff-2023-08,1
84a813dffffffff-2018-01,2
84a8143ffffffff-2016-08,1
84a8143ffffffff-2023-06,1
84a815bffffffff-2022-11,1
84a815dffffffff-2017-06,1
84a815dffffffff-2019-05,1
84a815dffffffff-2022-03,1
84a815dffffffff-2022-04,1
84a815dffffffff-2022-05,1
84a8203ffffffff-2022-02,1
84a8203ffffffff-2022-06,2
84a8203ffffffff-2023-10,3
84a8207ffffffff-2023-03,1
84a8207ffffffff-2023-10,2
84a8209ffffffff-2017-03,1
84a8209ffffffff-2022-10,3
