index,n
848a069ffffffff-2015-07,2
848a069ffffffff-2016-05,1
848a069ffffffff-2016-06,1
848a069ffffffff-2017-06,1
848a069ffffffff-2017-07,3
848a069ffffffff-2017-08,3
848a069ffffffff-2017-09,2
848a069ffffffff-2017-10,1
848a069ffffffff-2018-07,6
848a069ffffffff-2019-06,2
848a069ffffffff-2019-10,1
848a069ffffffff-2020-11,1
848a069ffffffff-2021-07,3
848a069ffffffff-2021-08,3
848a069ffffffff-2021-11,2
848a069ffffffff-2022-03,4
848a069ffffffff-2022-05,1
848a069ffffffff-2022-06,4
848a069ffffffff-2022-07,5
848a069ffffffff-2022-08,1
848a069ffffffff-2022-10,1
848a069ffffffff-2023-01,2
848a069ffffffff-2023-03,4
848a069ffffffff-2023-04,12
848a069ffffffff-2023-05,7
848a069ffffffff-2023-06,2
848a069ffffffff-2023-09,4
848a069ffffffff-2023-10,2
848a069ffffffff-2023-11,4
848a115ffffffff-2015-08,1
848a11bffffffff-2022-06,2
848a155ffffffff-2021-05,2
848a155ffffffff-2021-09,7
848a155ffffffff-2021-11,2
848a155ffffffff-2022-07,1
848a155ffffffff-2022-09,2
848a155ffffffff-2023-09,4
848a1a7ffffffff-2016-07,2
848a1cdffffffff-2022-06,3
848a313ffffffff-2016-06,1
848a313ffffffff-2017-10,1
848a313ffffffff-2022-06,1
848a313ffffffff-2023-07,1
848a317ffffffff-2017-06,1
848a317ffffffff-2018-07,1
848a317ffffffff-2019-06,1
848a317ffffffff-2022-05,1
848a317ffffffff-2022-06,1
848a337ffffffff-2014-06,1
848a337ffffffff-2015-06,1
848a337ffffffff-2022-06,1
