index,n
8494915ffffffff-2023-09,1
8494917ffffffff-2018-06,1
84949edffffffff-2017-08,3
8494db5ffffffff-2017-05,1
849c6cbffffffff-2017-03,1
849c6cbffffffff-2019-06,1
849c6cbffffffff-2020-01,2
849c6cbffffffff-2020-03,2
849c6cbffffffff-2021-04,1
849c6cbffffffff-2022-09,3
849c6cbffffffff-2023-02,3
849c6cbffffffff-2023-03,2
849c6d1ffffffff-2023-02,3
849c6ddffffffff-2016-12,2
849c6ddffffffff-2020-03,3
849c6ddffffffff-2021-04,2
849d4d3ffffffff-2014-09,1
849d4d3ffffffff-2015-07,1
84a6045ffffffff-2015-07,1
84a6045ffffffff-2021-07,1
84a6045ffffffff-2021-09,1
84a604dffffffff-2015-07,1
84a6065ffffffff-2022-05,1
84a6067ffffffff-2022-04,2
84a6067ffffffff-2023-04,3
84a606bffffffff-2016-08,1
84a606bffffffff-2019-10,1
84a606bffffffff-2021-07,2
84a606bffffffff-2021-08,2
84a606bffffffff-2022-06,1
84a606dffffffff-2015-07,1
84a606dffffffff-2017-05,2
84a606dffffffff-2018-07,8
84a606dffffffff-2019-06,1
84a606dffffffff-2023-07,1
84a6103ffffffff-2022-08,1
84a6103ffffffff-2022-12,1
84a6129ffffffff-2022-08,2
84a612dffffffff-2016-08,1
84a612dffffffff-2016-10,1
84a612dffffffff-2018-02,1
84a6143ffffffff-2018-07,1
84a6153ffffffff-2020-06,1
84a6153ffffffff-2020-07,1
84a6153ffffffff-2022-04,2
84a6155ffffffff-2021-09,1
84a6155ffffffff-2022-08,3
84a6157ffffffff-2014-09,3
84a6157ffffffff-2014-10,1
84a6157ffffffff-2015-07,1
84a6157ffffffff-2015-08,2
84a6157ffffffff-2015-09,3
84a6157ffffffff-2016-08,1
84a6157ffffffff-2017-08,1
84a6157ffffffff-2018-08,7
84a6157ffffffff-2018-09,2
84a6157ffffffff-2019-07,2
84a6157ffffffff-2021-05,4
84a6157ffffffff-2021-06,1
84a6157ffffffff-2021-08,3
84a6157ffffffff-2021-09,2
84a6157ffffffff-2022-05,1
84a6157ffffffff-2022-06,1
84a6157ffffffff-2022-08,2
84a6157ffffffff-2023-07,1
84a615bffffffff-2017-04,1
84a615bffffffff-2019-08,1
84a615bffffffff-2021-07,1
84a615dffffffff-2021-08,1
84a615dffffffff-2022-07,1
84a6167ffffffff-2018-06,1
84a6167ffffffff-2018-07,1
84a6167ffffffff-2019-04,4
84a6225ffffffff-2014-07,2
84a6225ffffffff-2016-08,1
84a6225ffffffff-2016-09,1
84a6225ffffffff-2017-11,1
84a6225ffffffff-2018-07,1
84a6225ffffffff-2019-06,1
84a6225ffffffff-2019-08,1
84a6225ffffffff-2020-09,3
84a6225ffffffff-2021-10,1
84a6225ffffffff-2022-05,2
84a6225ffffffff-2022-09,2
84a6225ffffffff-2023-01,1
84a6229ffffffff-2015-09,2
84a6229ffffffff-2019-11,1
84a6229ffffffff-2022-05,1
84a6229ffffffff-2023-08,2
84a622dffffffff-2012-12,2
84a622dffffffff-2019-07,1
84a622dffffffff-2019-10,1
84a622dffffffff-2020-09,1
84a622dffffffff-2021-08,1
84a622dffffffff-2022-09,1
84a622dffffffff-2022-10,1
84a622dffffffff-2023-06,1
84a622dffffffff-2023-08,1
84a6261ffffffff-2012-07,1
84a6261ffffffff-2013-09,2
84a6261ffffffff-2013-10,1
84a6261ffffffff-2015-04,1
84a6261ffffffff-2015-07,2
84a6261ffffffff-2016-06,7
84a6261ffffffff-2016-09,1
84a6261ffffffff-2017-09,1
84a6261ffffffff-2018-09,1
84a6261ffffffff-2018-11,1
84a6261ffffffff-2019-07,1
84a6261ffffffff-2019-08,4
84a6261ffffffff-2021-04,2
84a6261ffffffff-2021-05,4
84a6261ffffffff-2021-08,4
84a6261ffffffff-2022-01,2
84a6261ffffffff-2022-05,2
84a6261ffffffff-2022-06,1
84a6261ffffffff-2022-07,1
84a6261ffffffff-2022-08,4
84a6261ffffffff-2022-09,2
84a6261ffffffff-2022-11,1
84a6261ffffffff-2022-12,3
84a6261ffffffff-2023-01,1
84a6261ffffffff-2023-04,1
84a6261ffffffff-2023-07,3
84a6261ffffffff-2023-08,3
84a6261ffffffff-2023-09,2
84a6265ffffffff-2022-05,1
84a6267ffffffff-2012-07,1
84a6267ffffffff-2014-09,13
84a6267ffffffff-2014-12,1
84a6267ffffffff-2015-01,1
84a6267ffffffff-2015-07,1
84a6267ffffffff-2015-08,2
84a6267ffffffff-2015-09,1
84a6267ffffffff-2016-01,1
84a6267ffffffff-2016-06,4
84a6267ffffffff-2016-07,1
84a6267ffffffff-2016-08,1
84a6267ffffffff-2016-09,2
84a6267ffffffff-2017-01,2
84a6267ffffffff-2017-02,2
84a6267ffffffff-2017-05,2
84a6267ffffffff-2017-07,2
84a6267ffffffff-2017-08,1
84a6267ffffffff-2017-09,4
84a6267ffffffff-2017-11,1
84a6267ffffffff-2017-12,2
84a6267ffffffff-2018-04,1
84a6267ffffffff-2018-06,2
84a6267ffffffff-2018-07,3
84a6267ffffffff-2018-09,3
84a6267ffffffff-2018-10,4
84a6267ffffffff-2018-11,1
84a6267ffffffff-2018-12,4
84a6267ffffffff-2019-05,1
84a6267ffffffff-2019-06,1
84a6267ffffffff-2019-07,4
84a6267ffffffff-2019-08,2
84a6267ffffffff-2019-09,5
84a6267ffffffff-2019-10,3
84a6267ffffffff-2019-11,8
