index,n
8466131ffffffff-2014-07,2
8466131ffffffff-2018-05,3
8466131ffffffff-2019-05,13
8466131ffffffff-2023-07,1
8466139ffffffff-2012-05,1
8466139ffffffff-2014-03,6
8466139ffffffff-2014-07,2
8466139ffffffff-2014-09,1
8466139ffffffff-2018-12,1
8466139ffffffff-2019-02,1
8466139ffffffff-2019-03,1
8466139ffffffff-2019-05,1
8466139ffffffff-2019-08,5
8466139ffffffff-2020-03,2
8466139ffffffff-2020-05,2
8466139ffffffff-2021-03,1
8466139ffffffff-2021-05,4
8466139ffffffff-2021-10,1
8466139ffffffff-2022-02,5
8466139ffffffff-2022-03,2
8466139ffffffff-2023-02,1
8466139ffffffff-2023-03,8
8466139ffffffff-2023-05,2
846613bffffffff-2023-05,1
84661a5ffffffff-2012-11,2
84661a5ffffffff-2014-01,3
84661a5ffffffff-2016-01,1
84661a5ffffffff-2016-12,1
84661a5ffffffff-2017-03,8
84661a5ffffffff-2017-08,1
84661a5ffffffff-2018-03,1
84661a5ffffffff-2018-05,1
84661a5ffffffff-2018-12,2
84661a5ffffffff-2019-01,4
84661a5ffffffff-2019-03,2
84661a5ffffffff-2019-07,2
84661a5ffffffff-2020-01,1
84661a5ffffffff-2020-12,1
84661a5ffffffff-2021-01,2
84661a5ffffffff-2021-03,2
84661a5ffffffff-2021-08,1
84661a5ffffffff-2021-10,4
84661a5ffffffff-2022-01,2
84661a5ffffffff-2022-05,5
84661a5ffffffff-2022-06,1
84661a5ffffffff-2022-08,3
84661a5ffffffff-2022-09,4
84661a5ffffffff-2022-10,2
84661a5ffffffff-2023-03,2
84661a5ffffffff-2023-05,1
84661a5ffffffff-2023-08,2
84661a5ffffffff-2023-09,2
84661a7ffffffff-2022-07,1
84661adffffffff-2017-05,2
84661adffffffff-2018-12,1
84661adffffffff-2019-05,3
84661adffffffff-2019-10,1
84661adffffffff-2020-05,2
84661adffffffff-2021-02,1
84661adffffffff-2021-03,2
84661adffffffff-2021-06,3
84661adffffffff-2021-10,7
84661adffffffff-2022-02,1
84661adffffffff-2022-03,3
84661adffffffff-2022-09,2
84661adffffffff-2022-10,2
84661adffffffff-2023-02,1
84661adffffffff-2023-07,2
84661ebffffffff-2023-01,1
8466a9bffffffff-2015-01,1
8466a9bffffffff-2019-07,1
8466ad9ffffffff-2022-09,1
8466ad9ffffffff-2022-11,1
8466ad9ffffffff-2023-04,1
8466ad9ffffffff-2023-05,1
8466adbffffffff-2020-08,1
8466f03ffffffff-2018-09,9
8466f03ffffffff-2018-12,4
8466f03ffffffff-2019-03,2
8466f03ffffffff-2019-07,1
8466f03ffffffff-2019-08,3
8466f03ffffffff-2020-02,5
8466f03ffffffff-2021-08,7
8466f0bffffffff-2017-02,4
8466f0bffffffff-2018-08,4
8466f0bffffffff-2018-10,1
8466f0bffffffff-2019-04,5
8466f0bffffffff-2019-08,1
8466f0bffffffff-2020-02,2
8466f0bffffffff-2020-03,3
8466f0bffffffff-2023-02,3
8466f0bffffffff-2023-07,2
